META; spain/la-liga-primera/barcelona-v-espanyol; 2017-08-21 14:19:15 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/2; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-espanyol; 2017-08-21 18:19:03 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; ; ; ; ; ; 23/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; ; ; ; ; 27/2; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-espanyol; 2017-08-21 22:19:06 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; ; ; ; ; ; 23/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; ; ; ; ; 27/2; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-espanyol; 2017-08-22 02:18:52 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; ; ; ; ; ; 23/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; ; ; ; ; 27/2; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-espanyol; 2017-08-22 10:18:54 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; ; ; ; ; ; 23/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; ; ; ; ; 27/2; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-espanyol; 2017-08-22 14:18:57 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; ; ; ; ; ; 23/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; ; ; ; ; 27/2; ; ; ; ; ; ; ; ; 
