META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-03 22:19:57 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 3/4
Draw; 27/10; 12/5; 49/20
Getafe; 43/10; 4; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-04 02:19:46 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 3/4
Draw; 27/10; 12/5; 49/20
Getafe; 43/10; 4; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-04 10:19:50 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 3/4
Draw; 27/10; 12/5; 49/20
Getafe; 43/10; 4; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-04 14:19:52 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 3/4
Draw; 27/10; 12/5; 49/20
Getafe; 43/10; 4; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-04 18:19:41 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 3/4
Draw; 27/10; 12/5; 49/20
Getafe; 43/10; 4; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-04 22:19:10 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 8/13; 4/5; 4/6; 4/6; 4/6; 4/6; 7/10; 13/20; 13/20; 4/6
Draw; 5/2; 27/10; 13/5; 14/5; 13/5; 45/17; 12/5; 14/5; 14/5; 45/17
Getafe; 5; 43/10; 4; 9/2; 4; 17/4; 9/2; 17/4; 4; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-05 02:19:27 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 8/13; 73/00; 13/20; 4/6; 7/10; 4/6; 4/6; 7/10; 13/20; 13/20; 4/6
Draw; 5/2; 139/0; 13/5; 13/5; 27/10; 13/5; 13/5; 12/5; 14/5; 14/5; 45/17
Getafe; 5; 24/5; 4; 9/2; 17/4; 5; 17/4; 9/2; 17/4; 77/19; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-05 10:19:26 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 8/13; 73/00; 13/20; 4/6; 7/10; 7/10; 4/6; 4/6; 7/10; 13/20; 13/20; 4/6
Draw; 5/2; 139/0; 13/5; 13/5; 27/10; 14/5; 13/5; 45/17; 12/5; 14/5; 14/5; 45/17
Getafe; 5; 24/5; 4; 9/2; 17/4; 4; 4; 17/4; 9/2; 17/4; 4; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-05 14:19:44 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 8/13; 4/6; 73/00; 4/7; 13/20; 8/15; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 13/20; 13/20; 4/6; 8/15
Draw; 5/2; 11/4; 139/0; 13/5; 13/5; 13/5; 13/5; 27/10; 14/5; 13/5; 45/17; 12/5; 14/5; 14/5; 45/17; 12/5
Getafe; 5; 17/4; 24/5; 4; 4; 9/2; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 4; 7/2; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-05 18:19:47 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
Real Sociedad; 8/13; 4/6; 4/6; 4/6; 69/00; 6/10; 13/20; 4/7; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 7/10; 13/20; 13/20; 11/17; 4/7
Draw; 5/2; 11/4; 27/10; 13/5; 149/0; 13/5; 13/5; 13/5; 14/5; 27/10; 14/5; 11/4; 27/10; 12/5; 11/4; 29/10; 14/5; 27/10; 12/5
Getafe; 5; 17/4; 21/5; 9/2; 24/5; 4; 4; 17/4; 4; 9/2; 17/4; 9/2; 38/11; 17/4; 17/4; 43/10; 7/2; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-05 22:19:50 GMT+2; 2018-03-17 17:30; Nothing; Xlenovo
