META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-02 17:42:38 GMT+2; 2018-03-10 19:45; Nothing; Xlenovo
Barcelona; 2/7; 1/4; 2/7; 1/4; 1/4; 1/5; 1/4; 1/4; 1/4; 2/7; 2/7; 2/7; 1/5; 2/9; 1/4; 1/4; 2/7; 2/7; 2/9
Draw; 19/4; 19/4; 51/10; 5; 19/4; 9/2; 11/2; 9/2; 9/2; 5; 9/2; 50/11; 11/2; 51/10; 11/2; 21/4; 9/2; 23/5; 23/5
Malaga; 8; 11; 25/2; 11; 9; 11; 10; 10; 15/2; 23/2; 9; 10; 10; 15/2; 10; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-02 22:20:17 GMT+2; 2018-03-10 19:45; Nothing; Xlenovo
Barcelona; 2/7; 2/7; 1/4; 2/7; 1/4; 1/4; 1/5; 1/4; 1/4; 1/4; 2/7; 2/7; 2/7; 1/5; 2/9; 1/4; 1/4; 2/7; 2/7; 2/9
Draw; 19/4; 9/2; 19/4; 51/10; 5; 19/4; 9/2; 19/4; 19/4; 9/2; 5; 9/2; 49/11; 11/2; 51/10; 23/5; 5; 9/2; 9/2; 23/5
Malaga; 8; 11; 25/2; 11; 9; 21/2; 11; 10; 10; 31/4; 23/2; 9; 10; 11; 31/4; 10; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-03 02:20:09 GMT+2; 2018-03-10 19:45; Nothing; Xlenovo
Barcelona; 2/7; 1/4; 1/4; 2/7; 1/4; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 3/10; 1/5; 2/9; 1/4; 1/4; 2/7; 2/7; 2/9
Draw; 19/4; 19/4; 19/4; 51/10; 5; 19/4; 9/2; 19/4; 19/4; 5; 9/2; 5; 22/5; 11/2; 51/10; 23/5; 5; 9/2; 9/2; 23/5; 
Malaga; 8; 11; 25/2; 11; 19/2; 9; 21/2; 11; 10; 10; 10; 29/4; 23/2; 9; 10; 11; 31/4; 10; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-03 14:20:17 GMT+2; 2018-03-10 19:45; Nothing; Xlenovo
Barcelona; 2/7; 2/7; 1/4; 2/7; 1/4; 1/4; 1/5; 1/4; 1/4; 1/4; 2/7; 1/4; 3/10; 1/5; 2/9; 1/4; 1/4; 2/7; 3/10; 2/9
Draw; 19/4; 19/4; 19/4; 51/10; 5; 19/4; 9/2; 19/4; 19/4; 9/2; 5; 22/5; 11/2; 51/10; 23/5; 5; 9/2; 49/11; 23/5; 
Malaga; 8; 11; 25/2; 11; 9; 21/2; 11; 10; 10; 10; 29/4; 23/2; 9; 10; 11; 29/4; 10; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-03 18:20:05 GMT+2; 2018-03-10 19:45; Nothing; Xlenovo
Barcelona; 2/7; 2/7; 1/4; 2/7; 1/4; 1/4; 1/5; 1/4; 1/4; 1/4; 2/7; 1/4; 2/7; 1/5; 1/4; 1/4; 1/4; 2/7; 2/7; 2/9
Draw; 19/4; 19/4; 19/4; 51/10; 5; 19/4; 9/2; 19/4; 19/4; 9/2; 5; 49/11; 11/2; 24/5; 23/5; 5; 9/2; 49/11; 23/5; 
Malaga; 8; 11; 25/2; 11; 9; 21/2; 11; 10; 10; 10; 31/4; 23/2; 81/10; 10; 11; 31/4; 10; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-03 22:19:23 GMT+2; 2018-03-10 19:45; Nothing; Xlenovo
Barcelona; 2/7; 2/7; 1/4; 2/7; 1/4; 1/5; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 2/7; 1/5; 1/4; 1/4; 2/7; 3/10; 2/9
Draw; 19/4; 19/4; 19/4; 51/10; 5; 9/2; 19/4; 19/4; 9/2; 19/4; 5; 9/2; 11/2; 23/5; 5; 9/2; 50/11; 21/5; 
Malaga; 8; 11; 25/2; 11; 19/2; 9; 21/2; 11; 10; 10; 10; 10; 23/2; 10; 11; 8; 10; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-04 02:19:12 GMT+2; 2018-03-10 19:45; Nothing; Xlenovo
Barcelona; 2/7; 1/4; 1/4; 2/7; 1/4; 1/5; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 2/7; 1/5; 1/4; 1/4; 1/4; 2/7; 2/7; 2/9
Draw; 19/4; 5; 19/4; 51/10; 5; 9/2; 19/4; 19/4; 9/2; 19/4; 5; 50/11; 11/2; 24/5; 23/5; 5; 9/2; 23/5; 21/5; 
Malaga; 8; 11; 25/2; 11; 9; 21/2; 11; 10; 10; 10; 10; 23/2; 81/10; 10; 11; 8; 10; ; ; 
