META; spain/la-liga-primera/athletic-bilbao-v-leganes; 2018-03-02 17:42:52 GMT+2; 2018-03-11 19:45; Nothing; Xlenovo
Athletic Bilbao; 4/5; 5/6; 87/100; 3/4; 5/6; 8/11; 5/6; 20/23; 17/20; 5/6; 13/15; 4/5; 9/11; 4/5; 5/6; 13/15; 4/6
Draw; 12/5; 11/5; 13/5; 11/5; 23/10; 11/5; 11/5; 11/5; 5/2; 23/10; 11/5; 12/5; 23/10; 12/5; 47/20; 9/4; 21/10
Leganes; 15/4; 19/5; 79/20; 7/2; 7/2; 7/2; 15/4; 15/4; 7/2; 15/4; 17/5; 7/2; 57/17; 15/4; 38/11; 3; 
META; spain/la-liga-primera/athletic-bilbao-v-leganes; 2018-03-02 22:20:31 GMT+2; 2018-03-11 19:45; Nothing; Xlenovo
Athletic Bilbao; 4/5; 4/5; 5/6; 87/00; 5/6; 5/6; 8/11; 4/5; 5/6; 4/5; 17/20; 5/6; 5/6; 4/5; 9/11; 4/5; 4/5; 4/5; 5/6; 8/11
Draw; 12/5; 11/5; 11/5; 13/5; 23/10; 23/10; 21/10; 12/5; 11/5; 9/4; 5/2; 23/10; 9/4; 12/5; 23/10; 12/5; 12/5; 47/20; 23/10; 21/10
Leganes; 15/4; 19/5; 19/5; 79/20; 4; 7/2; 7/2; 37/10; 19/5; 4; 7/2; 15/4; 39/11; 7/2; 57/17; 37/10; 15/4; 18/5; 7/2; 
META; spain/la-liga-primera/athletic-bilbao-v-leganes; 2018-03-03 02:20:23 GMT+2; 2018-03-11 19:45; Nothing; Xlenovo
Athletic Bilbao; 4/5; 4/5; 5/6; 87/00; 5/6; 5/6; 8/11; 4/5; 5/6; 4/5; 17/20; 4/5; 5/6; 4/5; 9/11; 4/5; 4/5; 4/5; 5/6; 8/11
Draw; 12/5; 23/10; 11/5; 13/5; 23/10; 23/10; 21/10; 12/5; 11/5; 9/4; 5/2; 23/10; 9/4; 12/5; 23/10; 12/5; 12/5; 47/20; 23/10; 21/10
Leganes; 15/4; 4; 19/5; 79/20; 4; 7/2; 7/2; 37/10; 19/5; 4; 7/2; 4; 39/11; 7/2; 57/17; 37/10; 15/4; 18/5; 7/2; 
META; spain/la-liga-primera/athletic-bilbao-v-leganes; 2018-03-03 10:20:57 GMT+2; 2018-03-11 19:45; Nothing; Xlenovo
Athletic Bilbao; 4/5; 4/5; 5/6; 87/00; 5/6; 4/5; 8/11; 4/5; 5/6; 4/5; 17/20; 4/5; 5/6; 4/5; 9/11; 4/5; 4/5; 5/6; 8/11
Draw; 12/5; 23/10; 11/5; 13/5; 23/10; 23/10; 21/10; 12/5; 11/5; 9/4; 5/2; 23/10; 9/4; 12/5; 23/10; 12/5; 12/5; 23/10; 21/10
Leganes; 15/4; 4; 19/5; 79/20; 4; 7/2; 7/2; 37/10; 19/5; 4; 7/2; 4; 39/11; 7/2; 57/17; 37/10; 18/5; 7/2; 
META; spain/la-liga-primera/athletic-bilbao-v-leganes; 2018-03-03 14:20:31 GMT+2; 2018-03-11 19:45; Nothing; Xlenovo
Athletic Bilbao; 4/5; 4/5; 5/6; 87/00; 5/6; 4/5; 8/11; 4/5; 5/6; 4/5; 17/20; 5/6; 5/6; 4/5; 9/11; 4/5; 4/5; 4/5; 5/6; 8/11
Draw; 12/5; 23/10; 11/5; 13/5; 23/10; 23/10; 21/10; 12/5; 11/5; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 12/5; 47/20; 23/10; 21/10; 
Leganes; 15/4; 4; 19/5; 79/20; 4; 7/2; 7/2; 37/10; 19/5; 4; 7/2; 4; 39/11; 7/2; 57/17; 37/10; 15/4; 18/5; 7/2; 
META; spain/la-liga-primera/athletic-bilbao-v-leganes; 2018-03-03 18:20:19 GMT+2; 2018-03-11 19:45; Nothing; Xlenovo
Athletic Bilbao; 4/5; 4/5; 5/6; 87/00; 5/6; 4/5; 8/11; 4/5; 5/6; 4/5; 17/20; 5/6; 5/6; 4/5; 4/5; 4/5; 4/5; 5/6; 8/11
Draw; 12/5; 23/10; 11/5; 13/5; 23/10; 23/10; 21/10; 12/5; 11/5; 9/4; 5/2; 23/10; 12/5; 12/5; 12/5; 47/20; 23/10; 21/10; 
Leganes; 15/4; 4; 19/5; 79/20; 4; 15/4; 7/2; 37/10; 19/5; 4; 7/2; 4; 39/11; 7/2; 37/10; 15/4; 18/5; 7/2; 
