META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-21 22:19:34 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Girona; 13/8; ; ; ; 31/20; 13/8; 8/5; 13/8; ; ; ; ; ; ; ; 8/5; 8/5; 8/5; 8/5; 52/35; ; 13/8; 13/8; 13/8; 28/17; 6/5; ; 
Athletic Bilbao; 8/5; ; ; ; 101/ 50; 7/4; 13/8; 17/10; ; ; ; ; ; ; ; 7/4; 17/10; 8/5; 17/10; 17/11; ; 13/8; 17/10; 13/8; 8/5; 5/4; ; 
Draw; 12/5; ; ; ; 121/ 50; 12/5; 9/4; 23/10; ; ; ; ; ; ; ; 12/5; 11/5; 9/4; 11/5; 5/2; ; 23/10; 12/5; 23/10; 9/4; 17/10; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-22 02:19:30 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Girona; 13/8; ; ; ; 83/50; 13/8; 8/5; 13/8; ; ; ; ; ; ; ; 8/5; 8/5; 8/5; 8/5; 52/35; ; 13/8; 13/8; 13/8; 28/17; 6/5; ; 
Athletic Bilbao; 8/5; ; ; ; 19/10; 7/4; 13/8; 17/10; ; ; ; ; ; ; ; 17/10; 17/10; 8/5; 17/10; 17/11; ; 13/8; 17/10; 13/8; 8/5; 27/20; ; 
Draw; 12/5; ; ; ; 12/5; 12/5; 9/4; 23/10; ; ; ; ; ; ; ; 12/5; 11/5; 9/4; 11/5; 5/2; ; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-22 10:19:43 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Girona; 13/8; ; ; ; 83/50; 13/8; 8/5; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 8/5; 8/5; 52/35; ; 13/8; 13/8; 33/20; 28/17; 23/20; ; 
Athletic Bilbao; 8/5; ; ; ; 19/10; 9/5; 13/8; 7/4; ; ; ; ; ; ; ; 17/10; 17/10; 8/5; 17/10; 17/11; ; 13/8; 17/10; 13/8; 8/5; 13/10; ; 
Draw; 12/5; ; ; ; 12/5; 12/5; 9/4; 12/5; ; ; ; ; ; ; ; 12/5; 11/5; 9/4; 11/5; 5/2; ; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-22 14:19:41 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Girona; 13/8; 13/8; ; 13/8; 83/50; 13/8; 8/5; 8/5; ; ; ; 13/8; ; 33/20; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; ; 13/8; 13/8; 33/20; 28/17; 23/20; ; 
Athletic Bilbao; 8/5; 13/8; ; 17/10; 19/10; 9/5; 13/8; 7/4; ; ; ; 13/8; ; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 17/11; ; 13/8; 17/10; 13/8; 8/5; 6/5; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 12/5; 9/4; 12/5; ; ; ; 23/10; ; 9/4; 12/5; 12/5; 11/5; 9/4; 11/5; 5/2; ; 23/10; 12/5; 23/10; 23/10; 13/8; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-22 18:19:43 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Girona; 13/8; 13/8; ; 13/8; 83/50; 17/10; 13/8; 17/10; ; ; ; 13/8; ; 33/20; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; ; 13/8; 13/8; 33/20; 28/17; 5/4; ; 
Athletic Bilbao; 8/5; 13/8; ; 17/10; 19/10; 7/4; 13/8; 17/10; ; ; ; 13/8; ; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 17/11; ; 13/8; 17/10; 13/8; 8/5; 5/4; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; ; ; ; 23/10; ; 9/4; 12/5; 12/5; 11/5; 9/4; 11/5; 5/2; ; 23/10; 12/5; 23/10; 9/4; 7/4; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-22 22:19:44 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Girona; 13/8; 13/8; ; 13/8; 83/50; 17/10; 13/8; 17/10; 8/5; ; ; 13/8; ; 33/20; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; 5/4; ; 
Athletic Bilbao; 8/5; 13/8; ; 17/10; 19/10; 7/4; 13/8; 17/10; 17/10; ; ; 13/8; ; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; 5/4; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; 23/10; ; 9/4; 12/5; 12/5; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-23 02:19:33 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 7/4; 13/8; 17/10; 17/10; ; ; 13/8; ; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; 17/10; 8/5; ; ; 13/8; ; 33/20; 13/8; 17/10; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; 23/20; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; 23/10; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-23 10:19:35 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 7/4; 13/8; 17/10; 17/10; ; ; 13/8; ; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; 5/4; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 8/5; 17/10; 8/5; ; ; 13/8; ; 33/20; 13/8; 17/10; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; 5/4; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; 23/10; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-23 14:19:35 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; 17/10; 17/10; ; ; 17/10; ; 17/10; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 8/5; 17/10; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; 23/20; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-23 18:19:36 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; 17/10; 17/10; ; ; 17/10; ; 17/10; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; 17/10; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; 23/20; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-23 22:19:38 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; 17/10; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; 17/10; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 6/5; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-24 02:19:34 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; 17/10; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 5/4; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; 17/10; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 5/4; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-24 10:19:33 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 13/10; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 5/4; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-24 14:19:33 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 23/20; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-24 18:19:31 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 6/5; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-24 22:19:28 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 6/5; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-25 02:19:26 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 6/5; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-25 10:19:22 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 23/20; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-25 14:19:34 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 6/4; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 6/4; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 5/4; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 21/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-25 18:19:24 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 6/4; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 6/4; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 6/5; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 11/5; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 21/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-25 22:19:24 GMT+2; 2018-02-04 17:30; Nothing; Xlenovo
