Real Madrid; 1/6; 1/5; ; 1/5; 11/50; ; 1/7; 1/7; 3/19; ; ; 1/5; ; 1/5; 1/5; 1/6; 1/6; 1/6; 1/6; 2/11; 3/19; 1/5; 2/11; 2/11; 1/6; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; ; 13/2; 6; 6; ; ; 6; ; 6; 6; 11/2; 27/4; 29/5; 27/4; 59/10; 6; 6; 13/2; 6; 76/13; ; 2; ; 
Levante; 14; 12; ; 12; 29/2; ; 14; 14; 15; ; ; 12; ; 13; 12; 10; 11; 49/4; 11; 21/2; 15; 11; 14; 14; 25/2; ; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-26 22:19:39 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 11/50; ; 1/7; 1/7; 3/19; ; ; 1/5; ; 1/5; 1/5; 1/6; 1/6; 1/6; 1/6; 2/11; 3/19; 1/5; 2/11; 2/11; 1/6; ; 1/5; ; 
Draw; 6; 11/2; ; 11/2; 33/5; ; 13/2; 6; 6; ; ; 6; ; 6; 6; 11/2; 27/4; 29/5; 27/4; 59/10; 6; 6; 13/2; 6; 76/13; ; 2; ; 
Levante; 14; 12; ; 12; 29/2; ; 14; 14; 15; ; ; 12; ; 12; 12; 10; 11; 25/2; 11; 21/2; 15; 11; 14; 14; 25/2; ; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-27 02:19:27 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 11/50; ; 2/13; 1/7; 3/19; ; 2/11; 1/5; ; 1/5; 1/5; 1/6; 1/6; 1/6; 1/6; 2/11; 3/19; 1/5; 2/11; 2/11; 1/6; ; 1/5; ; 
Draw; 6; 11/2; ; 11/2; 33/5; ; 6; 6; 6; ; 6; 6; ; 6; 6; 11/2; 27/4; 29/5; 27/4; 59/10; 6; 6; 13/2; 6; 76/13; ; 2; ; 
Levante; 14; 12; ; 12; 29/2; ; 14; 14; 15; ; 14; 12; ; 12; 12; 10; 11; 25/2; 11; 21/2; 15; 11; 14; 14; 25/2; ; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-27 10:21:21 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 11/50; ; 2/13; 1/7; 3/19; ; 2/11; 1/5; ; 1/5; 1/5; 1/6; 1/6; 1/6; 1/6; 2/11; 3/19; 1/5; 2/11; 2/11; 1/6; ; 1/5; ; 
Draw; 6; 11/2; ; 11/2; 33/5; ; 13/2; 6; 6; ; 6; 6; ; 6; 6; 11/2; 27/4; 29/5; 27/4; 59/10; 6; 6; 13/2; 6; 76/13; ; 2; ; 
Levante; 14; 11; ; 12; 29/2; ; 14; 14; 15; ; 14; 12; ; 12; 12; 10; 11; 25/2; 11; 21/2; 15; 11; 14; 14; 25/2; ; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-27 14:20:18 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 11/50; ; 2/13; 1/7; 3/19; ; 2/11; 1/5; ; 1/5; 1/5; 2/11; 1/6; 1/6; 1/6; ; 3/19; 1/5; 2/11; 2/11; 1/6; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; ; 6; 6; 6; ; 6; 11/2; ; 6; 6; 11/2; 27/4; 29/5; 27/4; ; 6; 6; 13/2; 6; 76/13; ; 2; ; 
Levante; 14; 11; ; 12; 29/2; ; 14; 14; 15; ; 14; 12; ; 12; 12; 10; 11; 25/2; 11; ; 15; 11; 14; 14; 25/2; ; 4/6; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-27 18:19:39 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; ; 1/7; 1/7; 3/19; ; 2/11; 2/11; ; 1/5; 2/9; 1/6; 1/6; 1/6; 1/6; ; 3/19; 1/5; 1/6; 2/11; 1/6; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 69/10; ; 13/2; 6; 6; ; 6; 11/2; ; 6; 6; 11/2; 27/4; 76/13; 27/4; ; 6; 6; 13/2; 6; 59/10; ; 6; ; 
Levante; 14; 11; ; 12; 15; ; 14; 14; 15; ; ; 14; ; 13; 10; 12; 11; 25/2; 11; ; 15; 12; 16; 14; 25/2; ; 62/5; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-27 22:19:15 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 1/5; 1/6; 2/13; 1/7; 3/19; ; 1/6; 1/6; ; 1/6; 1/5; 1/6; 1/6; 1/6; 1/6; 2/13; 3/19; 1/6; 2/13; 1/6; 1/6; ; 2/11; ; 
