META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-14 22:19:16 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 11/10; 1; 10/11; 
Draw; 62/25; 23/10; 11/5; 9/5
Malaga; 149/50; 16/5; 3; 6/4
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-15 02:19:05 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 11/10; 1; 10/11; 
Draw; 62/25; 23/10; 11/5; 9/5
Malaga; 149/50; 16/5; 3; 6/4
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-15 10:19:06 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 11/10; 1; 10/11; 
Draw; 62/25; 23/10; 11/5; 9/5
Malaga; 149/50; 16/5; 3; 6/4
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-15 14:19:10 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 11/10; 1; 10/11; 4/7
Draw; 62/25; 23/10; 11/5; 9/5
Malaga; 149/50; 16/5; 3; 6/4
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-15 18:18:50 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 11/10; 1; 10/11; 4/7
Draw; 62/25; 23/10; 11/5; 9/5
Malaga; 149/50; 16/5; 3; 6/4
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-15 22:19:01 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 17/20; 1; 19/20; 20/21; 5/6; 1; 9/10; 1; 19/20; 1; 1; 10/11; ; 
Draw; 12/5; 23/10; 129/50; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 5/2; 12/5; 21/10
Malaga; 10/3; 11/4; 13/4; 3; 14/5; 11/4; 27/10; 16/5; 14/5; 16/5; 14/5; 14/5; 14/5; 2
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-16 02:18:51 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 17/20; 1; 19/20; 20/21; 5/6; 1; 10/11; 1; 19/20; 1; 19/20; 20/21; 1; 8/11; 
Draw; 12/5; 23/10; 129/50; 5/2; 12/5; 23/10; 23/10; 5/2; 23/10; 12/5; 40/17; 40/17; 5/2; 12/5; 21/10
Malaga; 10/3; 11/4; 13/4; 3; 29/10; 11/4; 27/10; 3; 14/5; 3; 14/5; 27/11; 29/10; 37/13; 5/2
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-16 10:18:51 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 19/20; 1; 1; 19/20; 1; 5/6; 1; 19/20; 1; 1; 19/20; 1; 8/11; 1; ; ; 
Draw; 23/10; 9/4; 12/5; 129/50; 5/2; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 40/17; 40/17; 12/5; 40/17; 21/10; 12/5
Malaga; 3; 14/5; 14/5; 13/4; 3; 14/5; 11/4; 14/5; 3; 14/5; 3; 11/4; 27/11; 29/10; 11/4; 5/2; 11/4
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-16 14:19:17 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 19/20; 19/20; 1; 109/100; 19/20; 1; 5/6; 1; 19/20; 1; 1; 1; 19/20; 1; 8/11; 21/20; ; ; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 51/20; 5/2; 23/10; 23/10; 9/4; 12/5; 12/5; 47/20; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 21/10; 5/2
Malaga; 3; 29/10; 14/5; 14/5; 73/25; 3; 11/4; 11/4; 14/5; 3; 14/5; 29/10; 14/5; 14/5; 11/4; 27/11; 29/10; 11/4; 2; 14/5
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-16 18:19:29 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 19/20; 19/20; 1; 53/50; 19/20; 1; 5/6; 19/20; 1; 19/20; 1; 1; 1; 19/20; 19/20; 1; 8/11; 1; ; ; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 5/2; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 12/5; 47/20; 5/2; 12/5; 40/17; 40/17; 40/17; 12/5; 12/5; 21/10; 12/5
Malaga; 3; 29/10; 14/5; 14/5; 31/10; 3; 14/5; 11/4; 3; 11/4; 3; 14/5; 29/10; 14/5; 14/5; 37/13; 27/11; 56/19; 29/10; 29/10; 2; 
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-16 22:19:26 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 19/20; 19/20; 1; 53/50; 19/20; 20/21; 5/6; 19/20; 19/20; 19/20; 1; 1; 1; 19/20; 19/20; 20/21; 1; 4/6; 1; ; ; 
Draw; 23/10; 23/10; 23/10; 12/5; 5/2; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 9/4; 47/20; 5/2; 12/5; 40/17; 27/11; 40/17; 12/5; 40/17; 21/10; 12/5
Malaga; 3; 29/10; 29/10; 14/5; 31/10; 3; 14/5; 11/4; 3; 29/10; 3; 29/10; 14/5; 3; 37/13; 13/5; 56/19; 31/10; 29/10; 5/2; 3; 
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-17 02:19:21 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 19/20; 19/20; 1; 53/50; 19/20; 20/21; 5/6; 19/20; 19/20; 19/20; 1; 1; 1; 19/20; 19/20; 20/21; 1; 4/6; 1; ; ; 
Draw; 23/10; 23/10; 23/10; 12/5; 5/2; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 9/4; 47/20; 5/2; 12/5; 40/17; 27/11; 40/17; 12/5; 40/17; 21/10; 12/5
Malaga; 3; 29/10; 29/10; 14/5; 31/10; 3; 29/10; 11/4; 3; 29/10; 3; 29/10; 14/5; 3; 37/13; 13/5; 56/19; 31/10; 29/10; 21/10; 3; 
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-17 10:19:21 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
Real Sociedad; 19/20; 19/20; 1; 53/50; 19/20; 20/21; 5/6; 19/20; 19/20; 19/20; 1; 1; 1; 19/20; 19/20; 20/21; 1; 4/6; 1; ; ; 
Draw; 23/10; 12/5; 23/10; 12/5; 5/2; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 9/4; 47/20; 5/2; 12/5; 40/17; 27/11; 40/17; 12/5; 40/17; 21/10; 12/5
Malaga; 3; 29/10; 14/5; 31/10; 3; 29/10; 11/4; 3; 29/10; 3; 29/10; 14/5; 3; 37/13; 13/5; 56/19; 31/10; 29/10; 21/10; 3; ; 
META; spain/la-liga-primera/malaga-v-real-sociedad; 2018-04-17 14:19:28 GMT+3; 2018-04-22 15:15; Nothing; Xlenovo
