META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-19 02:30:59 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 5/6; 4/5; 20/23; 10/11; 17/20; 9/10; 10/11
Draw; 13/5; 137/0; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11
Atletico Madrid; 3; 79/20; 16/5; 3; 37/13; 33/10; 59/20; 37/13
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-19 10:31:05 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 5/6; 5/6; 5/6; 20/23; 10/11; 10/11; 11/13; 17/20; 9/10; 10/11
Draw; 13/5; 13/5; 137/0; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 28/11
Atletico Madrid; 3; 79/20; 16/5; 3; 37/13; 29/10; 33/10; 59/20; 37/13; ; 
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-19 14:31:06 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 5/6; 20/23; 9/10; 10/11; 10/11; 11/13; 17/20; 17/20; 10/11
Draw; 13/5; 13/5; 137/0; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 53/20; 28/11
Atletico Madrid; 3; 16/5; 79/20; 16/5; 3; 31/10; 3; 37/13; 29/10; 10/3; 3; 37/13
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-19 18:31:10 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 5/6; 9/10; 10/11; 10/11; 11/13; 11/13; 5/6; 5/6; 10/11
Draw; 13/5; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 10/3; 31/10; 3; 37/13; 29/10; 11/4; 33/10; 16/5; 37/13
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-19 22:31:11 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 10/11; 11/13; 11/13; 4/5; 5/6; 5/6; 10/11
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 37/13; 29/10; 11/4; 17/5; 33/10; 16/5; 37/13
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-20 02:31:20 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 10/11; 11/13; 11/13; 4/5; 5/6; 5/6; 10/11
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 37/13; 29/10; 11/4; 17/5; 33/10; 16/5; 37/13
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-20 10:31:25 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 10/11; 11/13; 11/13; 4/5; 5/6; 5/6; 10/11
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 37/13; 29/10; 11/4; 17/5; 33/10; 16/5; 37/13
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-20 14:31:18 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 10/11; 11/13; 11/13; 4/5; 5/6; 5/6; 10/11
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 37/13; 29/10; 11/4; 17/5; 33/10; 16/5; 37/13
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-20 18:31:22 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 16/5; 16/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-20 22:31:21 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 16/5; 16/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-21 02:31:34 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 16/5; 16/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-21 10:31:35 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 16/5; 16/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-21 14:31:37 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 16/5; 16/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-21 18:31:38 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 16/5; 16/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-21 22:31:37 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 16/5; 16/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-22 02:31:33 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 16/5; 71/20; 16/5; 7/2; 10/3; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 16/5; 16/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-22 10:31:39 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 4/5; 4/5; 5/6; 17/20; 10/11; 5/6; 11/13; 11/13; 4/5; 5/6; 5/6; 13/15
Draw; 13/5; 13/5; 13/5; 14/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11
Atletico Madrid; 3; 16/5; 16/5; 71/20; 16/5; 7/2; 16/5; 16/5; 3; 58/19; 29/10; 11/4; 17/5; 33/10; 16/5; 58/19
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-22 14:31:45 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 10/11; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 3; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-22 18:31:44 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 14/5; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 16/5; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-22 22:31:42 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 14/5; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-23 02:31:38 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 13/15; 4/6
Draw; 13/5; 13/5; 13/5; 14/5; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 14/5; 
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-23 10:31:42 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 14/5; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-23 14:31:42 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 14/5; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-23 18:31:48 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 14/5; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-23 22:31:41 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 14/5; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-24 02:31:34 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 22/25; 3/4; 4/5; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 14/5; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-24 10:31:44 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 3/4; 5/6; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-24 14:31:47 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 3/4; 5/6; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 13/15; 4/6
Draw; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 5/2; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 58/19; 29/10; 11/4; 17/5; 33/10; 3; 58/19; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-24 18:31:47 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 3/4; 5/6; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-24 22:31:38 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 3/4; 5/6; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 11/5
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-25 02:31:36 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 3/4; 5/6; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 53/20; 28/11; 9/4
Atletico Madrid; 3; 16/5; 16/5; 71/20; 3; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 41/13; 29/10; 11/4; 17/5; 33/10; 3; 16/5; 14/5
META; spain/la-liga-primera/real-madrid-v-atletico-madrid; 2018-03-25 10:31:27 GMT+2; 2018-04-08 14:15; Nothing; Xlenovo
Real Madrid; 17/20; 17/20; 5/6; 89/00; 3/4; 5/6; 8/11; 4/5; 5/6; 17/20; 5/6; 4/5; 11/13; 11/13; 4/5; 5/6; 17/20; 5/6; 4/6
Draw; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 28/11; 13/5; 27/10; 13/5; 27/10; 13/5; 28/11; 9/4
