META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-26 18:31:41 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/100
Draw; 141/0; 13/5; 1/100
Deportivo La Coruna; 37/10; 7/2; 1/100
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-26 22:31:40 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/25
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-27 02:31:41 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/25
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-27 10:31:44 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/25
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-27 14:31:49 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/3
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-27 18:31:57 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/3
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-27 22:31:48 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/3
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-28 02:31:44 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/3
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-28 10:31:45 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/3
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-28 14:31:55 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/3
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-03-28 18:31:52 GMT+2; 2018-04-15 16:00; Nothing; Xlenovo
Athletic Bilbao; 17/20; 10/13; 1/25
Draw; 141/0; 53/20; 19/10
Deportivo La Coruna; 37/10; 7/2; 1/3
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-04-01 18:19:21 GMT+3; 2018-04-14 19:45; Nothing; Xlenovo
Athletic Bilbao; 17/20; 3/4; 8/11; 8/11; 3/4; 4/5; 4/5; 10/13; 1/2
Draw; 141/50; 23/10; 13/5; 23/10; 13/5; 13/5; 12/5; 51/20; 19/10
Deportivo La Coruna; 37/10; 10/3; 15/4; 10/3; 15/4; 7/2; 4; 15/4; 9/4
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-04-01 22:19:06 GMT+3; 2018-04-14 19:45; Nothing; Xlenovo
Athletic Bilbao; 17/20; 7/10; 3/4; 4/6; 4/5; 4/5; 4/5; 5/6; 4/5; 10/13; 1/2
Draw; 139/50; 23/10; 13/5; 23/10; 5/2; 5/2; 13/5; 45/17; 12/5; 13/5; 2
Deportivo La Coruna; 15/4; 18/5; 10/3; 7/2; 7/2; 15/4; 7/2; 29/10; 4; 7/2; 12/5
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-04-02 02:18:56 GMT+3; 2018-04-14 19:45; Nothing; Xlenovo
Athletic Bilbao; 17/20; 7/10; 4/5; 4/6; 4/5; 4/5; 4/5; 5/6; 14/19; 3/4; 10/13; 5/6; 4/7
Draw; 139/50; 23/10; 13/5; 23/10; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 51/20; 28/11; 21/10
Deportivo La Coruna; 15/4; 18/5; 10/3; 7/2; 15/4; 15/4; 15/4; 58/19; 17/5; 19/5; 15/4; 31/10; 5/2
META; spain/la-liga-primera/athletic-bilbao-v-deportivo-la-coruna; 2018-04-02 10:19:02 GMT+3; 2018-04-14 19:45; Nothing; Xlenovo
Athletic Bilbao; 17/20; 7/10; 4/5; 4/6; 4/5; 4/5; 4/5; 5/6; 14/19; 3/4; 10/13; 5/6; 4/7
Draw; 68/25; 23/10; 13/5; 23/10; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 51/20; 28/11; 21/10
