META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-13 18:16:39 GMT+3; 2018-05-20 19:45; Nothing; Xlenovo
Barcelona; 13/50; 1/4; 1/5; 3/11; 3/11; 1/8
Draw; 63/10; 11/2; 5; 21/4; 51/10; 21/10
Real Sociedad; 89/10; 19/2; 17/2; 8; 15/2; 19/10
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-13 22:15:58 GMT+3; 2018-05-20 19:45; Nothing; Xlenovo
Barcelona; 1/4; 27/00; 2/9; 2/9; 1/6; 3/11; 2/9; 2/9; 1/4; 5/19; 3/11; 2/9; 5/19; 1/9
Draw; 11/2; 6; 6; 11/2; 21/4; 11/2; 6; 11/2; 21/4; 51/10; 6; 53/10; 9/4; 
Real Sociedad; 10; 89/10; 19/2; 9; 17/2; 8; 10; 10; 33/4; 15/2; 10; 33/4; 2; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-14 02:15:45 GMT+3; 2018-05-20 19:45; Nothing; Xlenovo
Barcelona; 1/4; 1/4; 1/4; 7/25; 2/9; 2/9; 1/5; 1/4; 1/4; 1/4; 2/7; 1/4; 1/4; 1/4; 1/4; 1/7
Draw; 5; 11/2; 5; 29/5; 6; 11/2; 5; 11/2; 5; 11/2; 5; 26/5; 21/4; 6; 21/4; 3
Real Sociedad; 9; 17/2; 9; 87/10; 10; 17/2; 17/2; 17/2; 9; 9; 35/4; 8; 17/2; 35/4; 7/2; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-14 10:16:21 GMT+3; 2018-05-20 19:45; Nothing; Xlenovo
Barcelona; 1/4; 1/4; 1/4; 7/25; 1/4; 1/4; 1/5; 1/4; 1/4; 1/4; 2/7; 2/7; 3/11; 5/19; 1/4; 1/4; 3/11; 2/13; 1/4
Draw; 5; 11/2; 11/2; 117/0; 11/2; 11/2; 5; 11/2; 11/2; 5; 11/2; 96/19; 57/10; 21/4; 11/2; 51/10; 7/2; 28/5; 
Real Sociedad; 9; 17/2; 9; 43/5; 9; 17/2; 8; 17/2; 9; 17/2; 8; 15/2; 31/4; 8; 9; 31/4; 7/2; 42/5; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-14 14:16:40 GMT+3; 2018-05-20 19:45; Nothing; Xlenovo
Barcelona; 1/4; 1/4; 2/9; 27/00; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 2/9; 2/9; 1/4; 1/4; 5/19; 1/4; 2/9; 5/19; 1/4; 2/11; 1/4
Draw; 5; 11/2; 6; 117/0; 6; 11/2; 11/2; 11/2; 5; 11/2; 11/2; 6; 11/2; 21/4; 6; 21/4; 6; 53/10; 5; 22/5; 28/5
Real Sociedad; 9; 17/2; 10; 37/4; 19/2; 9; 17/2; 17/2; 10; 10; 10; 33/4; 77/10; 8; 10; 33/4; 37/5; 33/5; 44/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-14 18:16:39 GMT+3; 2018-05-20 19:45; Nothing; Xlenovo
Barcelona; 1/4; 1/4; 2/9; 6/25; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; 2/9; 4/17; 1/4; 2/9; 3/13; 1/4; 1/5; 2/9; 2/9
Draw; 5; 11/2; 6; 33/5; 6; 11/2; 11/2; 5; 11/2; 11/2; 13/2; 113/9; 32/5; 21/4; 6; 26/5; 23/5; 31/5; 32/5; ; ; 
