META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 02:19:43 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 10:19:40 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 14:19:47 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 18:20:14 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 22:20:16 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-21 02:20:01 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-21 10:20:05 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-21 14:20:14 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-21 18:20:03 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-21 22:20:05 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-22 02:19:58 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-22 10:20:08 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-22 14:20:13 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 41/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 27/10; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 41/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-22 18:20:13 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; ; ; ; ; 41/50; ; ; 8/11; ; ; ; ; ; ; ; ; 3/4; ; 3/4; ; ; ; ; 10/13; ; ; ; ; 
