META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-13 18:16:29 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 8/15; 4/9
Draw; 10/3; 19/10
Deportivo La Coruna; 111/0; 10/3
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-13 22:15:48 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 8/15; 8/15; 8/15; 8/15; 8/15; 1/3
Draw; 10/3; 7/2; 17/5; 33/10; 57/17; 12/5
Deportivo La Coruna; 111/0; 17/4; 19/4; 47/10; 19/4; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-14 02:15:35 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 4/9; 4/9; 47/00; 4/9; 2/5; 9/20; 40/85; 4/9; 9/20; 4/9; 1/3
Draw; 16/5; 18/5; 7/2; 7/2; 10/3; 10/3; 18/5; 13/4; 18/5; 13/4; 14/5
Deportivo La Coruna; 13/2; 5; 13/2; 6; 11/2; 6; 11/2; 25/4; 11/2; 25/4; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-14 10:15:55 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 4/9; 1/2; 23/50; 4/9; 7/15; 2/5; 9/20; 4/9; 1/2; 9/20; 10/21; 7/15; 9/20; 17/35; 4/11; 4/9
Draw; 16/5; 18/5; 18/5; 15/4; 7/2; 7/2; 7/2; 15/4; 18/5; 15/4; 13/4; 19/5; 19/5; 33/10; 3; 7/2
Deportivo La Coruna; 13/2; 5; 13/2; 6; 11/2; 11/2; 6; 5; 11/2; 60/11; 51/10; 21/4; 11/2; 7/2; 31/5; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-14 14:16:13 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 4/9; 1/2; 4/9; 23/50; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 9/20; 7/15; 5/11; 9/20; 7/15; 4/11; 4/11; 1/2
Draw; 16/5; 18/5; 15/4; 71/20; 18/5; 7/2; 7/2; 7/2; 7/2; 15/4; 15/4; 17/5; 19/5; 19/5; 38/11; 3; 14/5; 7/2
Deportivo La Coruna; 13/2; 5; 11/2; 33/5; 6; 11/2; 5; 11/2; 11/2; 11/2; 27/5; 27/5; 11/2; 60/11; 7/2; 4; 32/5; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-14 18:16:12 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 2/5; 2/5; 2/5; 21/50; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 4/9; 4/9; 7/19; 5/12; 2/5; 3/8; 4/11; 2/5; 2/5
Draw; 10/3; 4; 19/5; 83/20; 4; 15/4; 7/2; 19/5; 19/5; 4; 19/5; 4; 39/10; 41/10; 4; 75/19; 3; 21/5; 7/2
Deportivo La Coruna; 15/2; 6; 63/10; 13/2; 6; 11/2; 6; 13/2; 11/2; 6; 11/2; 25/4; 28/5; 6; 13/2; 7/2; 34/5; 33/5; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-14 22:16:12 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 2/5; 2/5; 2/5; 2/5; 4/11; 4/11; 3/10; 4/11; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 2/5; 2/5; 4/11; 2/5; 7/18; 4/11; 1/3; 4/11; 4/11
Draw; 10/3; 4; 83/20; 4; 4; 17/4; 19/5; 19/5; 4; 17/4; 62/17; 15/4; 21/5; 41/10; 21/5; 37/10; 3; 21/5; 4; ; ; ; 
Deportivo La Coruna; 8; 6; 34/5; 13/2; 13/2; 6; 6; 6; 6; 13/2; 6; 29/5; 13/2; 6; 13/2; 7/2; 26/5; 36/5; 39/5; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-15 02:16:14 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 2/5; 2/5; 2/5; 39/00; 4/11; 4/11; 3/10; 4/11; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 2/5; 2/5; 4/11; 2/5; 7/18; 4/11; 1/3; 4/11; 4/11
Draw; 10/3; 4; 22/5; 4; 4; 17/4; 19/5; 19/5; 4; 17/4; 62/17; 15/4; 21/5; 41/10; 21/5; 37/10; 3; 21/5; 4; ; ; ; 
Deportivo La Coruna; 8; 11/2; 6; 33/5; 13/2; 13/2; 6; 6; 6; 6; 13/2; 6; 29/5; 13/2; 6; 13/2; 7/2; 26/5; 36/5; 39/5; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-15 10:16:29 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 2/5; 2/5; 4/11; 19/50; 4/11; 4/11; 3/10; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 3/8; 4/11; 4/11; 4/11; 2/7; 3/10; 4/11; 1/3
Draw; 7/2; 4; 87/20; 4; 4; 17/4; 4; 4; 17/4; 77/19; 15/4; 43/10; 41/10; 21/5; 41/10; 10/3; 10/3; 21/5; 4; ; ; ; 
Deportivo La Coruna; 7; 11/2; 13/2; 7; 13/2; 13/2; 6; 13/2; 7; 13/2; 13/2; 6; 27/4; 6; 61/10; 13/2; 13/2; 7; 27/5; 37/5; 39/5; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-15 14:16:44 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 4/11; 2/5; 4/11; 19/50; 4/11; 7/20; 3/10; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 3/8; 4/11; 4/11; 4/11; 1/4; 3/10; 4/11; 4/11
Draw; 7/2; 4; 87/20; 4; 4; 17/4; 4; 4; 17/4; 54/13; 15/4; 43/10; 41/10; 17/4; 21/5; 3; 10/3; 21/5; 21/5; ; ; ; 
Deportivo La Coruna; 8; 11/2; 13/2; 7; 7; 13/2; 7; 13/2; 7; 13/2; 13/2; 6; 29/4; 6; 61/10; 13/2; 13/2; 15/2; 5; 27/5; 37/5; 39/5; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-15 18:16:53 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 4/11; 2/5; 2/5; 4/9; 39/00; 4/11; 4/11; 1/3; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 3/8; 4/11; 4/11; 7/19; 1/3; 1/3; 4/11; 4/11
Draw; 7/2; 4; 4; 87/20; 4; 4; 17/4; 4; 4; 17/4; 41/10; 15/4; 43/10; 41/10; 17/4; 54/13; 7/2; 3; 21/5; 4; ; ; ; 
Deportivo La Coruna; 8; 11/2; 13/2; 5; 67/10; 13/2; 13/2; 13/2; 7; 7; 11/2; 6; 7; 61/10; 13/2; 13/2; 29/4; 29/5; 26/5; 36/5; 41/5; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-15 22:16:33 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 4/11; 2/5; 2/5; 4/9; 41/00; 4/11; 4/11; 1/3; 3/8; 2/5; 4/11; 2/5; 2/5; 4/9; 3/8; 2/5; 3/8; 3/8; 2/5; 3/8; 4/11; 1/3; 2/5; 2/5
Draw; 7/2; 4; 4; 21/5; 4; 4; 43/10; 19/5; 4; 4; 77/19; 15/4; 43/10; 21/5; 17/4; 41/10; 7/2; 3; 21/5; 4; ; ; ; 
Deportivo La Coruna; 8; 11/2; 6; 32/5; 13/2; 6; 13/2; 13/2; 6; 13/2; 11/2; 6; 11/2; 27/4; 6; 61/10; 6; 7; 29/5; 26/5; 34/5; 39/5; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-16 02:16:24 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
Valencia; 4/11; 2/5; 2/5; 4/9; 41/00; 4/11; 4/11; 1/3; 3/8; 2/5; 4/11; 2/5; 2/5; 4/9; 3/8; 2/5; 3/8; 3/8; 2/5; 3/8; 4/11; 1/3; 2/5; 4/9
Draw; 7/2; 4; 4; 21/5; 4; 4; 43/10; 19/5; 4; 4; 41/10; 15/4; 43/10; 21/5; 17/4; 41/10; 7/2; 3; 21/5; 7/2; ; ; ; 
Deportivo La Coruna; 8; 11/2; 6; 32/5; 13/2; 6; 13/2; 13/2; 6; 13/2; 11/2; 6; 11/2; 27/4; 6; 61/10; 6; 7; 29/5; 26/5; 34/5; 34/5; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-16 10:16:31 GMT+3; 2018-05-20 11:00; Nothing; Xlenovo
