META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-03 18:20:29 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 59/50; 11/10; 11/10
Draw; 59/25; 11/5; 9/4
Las Palmas; 143/0; 13/5; 53/20
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-03 22:19:47 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 59/50; 11/10; 11/10
Draw; 59/25; 11/5; 9/4
Las Palmas; 143/0; 13/5; 53/20
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-04 02:19:36 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 59/50; 11/10; 11/10
Draw; 59/25; 11/5; 9/4
Las Palmas; 143/0; 13/5; 53/20
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-04 10:19:40 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 59/50; 11/10; 11/10
Draw; 59/25; 11/5; 9/4
Las Palmas; 143/0; 13/5; 53/20
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-04 14:19:42 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 59/50; 11/10; 11/10
Draw; 59/25; 11/5; 9/4
Las Palmas; 143/0; 13/5; 53/20
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-04 18:19:30 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 59/50; 11/10; 11/10
Draw; 59/25; 11/5; 9/4
Las Palmas; 143/0; 13/5; 53/20
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-04 22:19:03 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 10/11; 117/00; 20/21; 20/21; 1; 19/20; 19/20; 19/20; 10/11; 19/20
Draw; 23/10; 12/5; 12/5; 12/5; 23/10; 40/17; 9/4; 5/2; 51/20; 40/17
Las Palmas; 16/5; 57/20; 11/4; 3; 11/4; 3; 59/20; 14/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-05 02:19:21 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 10/11; 107/00; 20/21; 20/21; 19/20; 1; 19/20; 19/20; 19/20; 10/11; 19/20
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 12/5; 40/17; 9/4; 5/2; 51/20; 40/17
Las Palmas; 16/5; 61/20; 11/4; 14/5; 14/5; 3; 11/4; 3; 59/20; 14/5; 
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-05 10:19:20 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 10/11; 107/00; 20/21; 20/21; 19/20; 19/20; 1; 19/20; 19/20; 19/20; 10/11; 19/20
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 13/5; 12/5; 40/17; 9/4; 5/2; 51/20; 40/17
Las Palmas; 16/5; 61/20; 11/4; 14/5; 14/5; 14/5; 3; 11/4; 3; 59/20; 14/5; 
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-05 14:19:38 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 10/11; 19/20; 107/00; 17/20; 20/21; 5/6; 10/11; 1; 19/20; 19/20; 19/20; 19/20; 1; 19/20; 1; 4/6
Draw; 23/10; 11/4; 5/2; 23/10; 12/5; 23/10; 5/2; 13/5; 13/5; 5/2; 40/17; 9/4; 5/2; 51/20; 40/17; 21/10
Las Palmas; 16/5; 13/5; 61/20; 14/5; 11/4; 11/4; 14/5; 27/10; 14/5; 14/5; 11/4; 3; 14/5; 11/4; 11/4; 21/10
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-05 18:19:40 GMT+2; 2018-03-17 12:00; Nothing; Xlenovo
Deportivo La Coruna; 10/11; 19/20; 19/20; 1; 101/00; 17/20; 20/21; 5/6; 20/21; 1; 19/20; 19/20; 19/20; 19/20; 15/16; 19/20; 19/20; 19/20; 4/6
Draw; 23/10; 11/4; 13/5; 13/5; 139/0; 23/10; 12/5; 23/10; 13/5; 13/5; 13/5; 13/5; 27/11; 9/4; 11/4; 11/4; 13/5; 27/11; 21/10
Las Palmas; 16/5; 13/5; 13/5; 5/2; 74/25; 14/5; 11/4; 11/4; 11/4; 27/10; 14/5; 14/5; 27/10; 3; 40/17; 27/10; 27/10; 11/4; 21/10
