META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-02 02:19:09 GMT+3; 2018-04-15 19:45; Nothing; Xlenovo
Real Madrid; 1/4; 1/5; 1/4; 1/5; 2/7; 30/100; 1/4; 4/13; 2/7; 2/7; 4/13; 2/11
Draw; 32/5; 9/2; 19/4; 9/2; 9/2; 9/2; 5; 77/19; 9/2; 9/2; 41/10; 4
Malaga; 23/2; 19/2; 19/2; 9; 9; 10; 31/4; 10; 8; 17/2; ; 
META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-02 10:19:15 GMT+3; 2018-04-15 19:45; Nothing; Xlenovo
Real Madrid; 1/4; 1/5; 1/4; 1/5; 2/7; 30/100; 1/4; 4/13; 2/7; 2/7; 4/13; 2/11
Draw; 32/5; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 77/19; 9/2; 9/2; 41/10; 4
Malaga; 23/2; 9; 19/2; 9; 9; 10; 31/4; 10; 8; 41/5; ; 
META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-02 14:20:33 GMT+3; 2018-04-15 19:45; Nothing; Xlenovo
Real Madrid; 3/10; 27/100; 1/5; 1/4; 1/5; 3/10; 30/100; 2/7; 6/19; 3/10; 2/7; 2/7; 6/19; 2/11
Draw; 17/4; 59/10; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 4; 9/2; 9/2; 77/19; 4; 
Malaga; 9; 11; 9; 9; 10; 31/4; 9; 10; 31/4; 41/5; ; ; ; 
META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-02 18:20:29 GMT+3; 2018-04-15 19:45; Nothing; Xlenovo
Real Madrid; 3/10; 27/100; 1/5; 1/4; 1/5; 3/10; 30/100; 2/7; 6/19; 3/10; 2/7; 2/7; 6/19; 2/11
Draw; 17/4; 59/10; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 4; 9/2; 9/2; 77/19; 4; 
Malaga; 9; 11; 9; 9; 10; 31/4; 9; 10; 31/4; 41/5; ; ; ; 
META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-02 22:20:27 GMT+3; 2018-04-15 19:45; Nothing; Xlenovo
Real Madrid; 3/10; 27/100; 2/9; 1/4; 2/9; 3/10; 30/100; 2/7; 4/13; 3/10; 5/18; 2/7; 2/7; 6/19; 2/11
Draw; 17/4; 59/10; 4; 9/2; 4; 9/2; 9/2; 77/19; 4; 9/2; 9/2; 9/2; 77/19; 4; 
Malaga; 9; 11; 17/2; 9; 17/2; 9; 10; 31/4; 9; 15/2; 10; 31/4; 41/5; ; 
META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-03 02:20:10 GMT+3; 2018-04-15 19:45; Nothing; Xlenovo
Real Madrid; 3/10; 2/7; 27/100; 2/9; 1/4; 2/9; 2/7; 30/100; 2/7; 4/13; 3/10; 5/18; 2/7; 2/7; 6/19; 1/5
Draw; 17/4; 9/2; 59/10; 4; 9/2; 4; 9/2; 9/2; 77/19; 4; 9/2; 9/2; 9/2; 77/19; 7/2; 
Malaga; 9; 11; 9; 10; 10; 31/4; 9; 15/2; 10; 31/4; 37/5; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-03 10:20:13 GMT+3; 2018-04-15 19:45; Nothing; Xlenovo
Real Madrid; 3/10; 2/7; 27/100; 2/9; 1/4; 2/9; 2/7; 30/100; 2/7; 4/13; 3/10; 5/18; 2/7; 2/7; 4/13; 1/5
Draw; 17/4; 9/2; 59/10; 4; 9/2; 4; 9/2; 9/2; 77/19; 4; 9/2; 9/2; 9/2; 41/10; 7/2; 
