META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-25 18:18:53 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 4/7; 8/13; 11/18; ; 29/50; 4/7; 3/5; 1/2; 6/11; 8/13; 4/7; 8/13; ; ; 8/13; 8/13; 11/18; 6/11; ; 6/11; 4/7; 8/13; 3/5; 8/13; ; 8/15; ; 
Draw; 3; 14/5; 29/10; ; 10/3; 16/5; 3; 11/4; 3; 14/5; 3; 14/5; ; ; 3; 14/5; 56/19; 31/10; ; 56/19; 3; 31/10; ; 56/19; ; 14/5; ; 
Atletico Madrid; 19/4; 9/2; 17/4; ; 28/5; 5; 17/4; 9/2; 24/5; 21/5; 5; 9/2; ; ; 9/2; 9/2; 74/17; 9/2; ; 24/5; 9/2; 22/5; 9/2; 22/5; ; 23/5; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-25 22:18:51 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 4/7; 8/13; 11/18; ; 29/50; 4/7; 4/7; 1/2; 6/11; 8/13; 4/7; 8/13; ; ; 8/13; 8/13; 11/18; 6/11; ; 6/11; 4/7; 8/13; 3/5; 8/13; ; 8/15; ; 
Draw; 3; 14/5; 29/10; ; 33/10; 16/5; 3; 11/4; 3; 14/5; 3; 14/5; ; ; 3; 14/5; 29/10; 31/10; ; 56/19; 3; 31/10; ; 56/19; ; 14/5; ; 
Atletico Madrid; 19/4; 9/2; 17/4; ; 57/10; 5; 9/2; 9/2; 24/5; 21/5; 5; 9/2; ; ; 9/2; 9/2; 74/17; 9/2; ; 24/5; 9/2; 22/5; 9/2; 74/17; ; 23/5; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-26 02:18:32 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 8/13; 4/6; 13/20; 3/5; 4/7; 5/8; 8/15; 8/13; 4/6; 8/13; 4/6; ; ; 7/10; 8/13; 4/6; 3/5; ; 8/13; 8/13; 13/20; 13/20; 4/6; ; 4/7; ; 
Draw; 3; 14/5; 11/4; 13/5; 33/10; 16/5; 29/10; 11/4; 3; 27/10; 3; 14/5; ; ; 14/5; 14/5; 29/10; 3; ; 3; 14/5; 3; 59/20; ; ; 14/5; ; 
Atletico Madrid; 4; 9/2; 4; 19/5; 27/5; 5; 4; 4; 41/10; 4; 4; 15/4; ; ; 4; 9/2; 50/13; 4; ; 4; 4; 21/5; 4; 39/10; ; 4; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-26 10:18:32 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 8/13; 4/6; 13/20; 33/50; 13/20; 5/8; 4/7; 8/13; 4/6; 8/13; 4/6; ; ; 7/10; 4/6; 4/6; 3/5; ; 8/13; 8/13; 13/20; 13/20; 4/6; ; 4/7; ; 
Draw; 3; 14/5; 11/4; 13/5; 61/20; 3; 29/10; 11/4; 3; 27/10; 3; 14/5; ; ; 14/5; 14/5; 37/13; 3; ; 3; 14/5; 3; 59/20; 29/10; ; 14/5; ; 
Atletico Madrid; 4; 9/2; 4; 19/5; 5; 9/2; 4; 4; 41/10; 4; 4; 15/4; ; ; 4; 4; 39/10; 4; ; 4; 4; 21/5; 4; 39/10; ; 4; ; 
META; spain/la-liga-primera/barcelona-v-atletico-madrid; 2018-02-26 14:19:07 GMT+2; 2018-03-04 15:15; Nothing; Xlenovo
Barcelona; 8/13; 4/6; 4/6; 13/20; 17/25; 13/20; 13/20; 4/7; 8/13; 4/6; 8/13; 4/6; ; 7/10; 7/10; 4/6; 4/6; 3/5; ; 8/13; 13/20; 13/20; 9/13; ; 4/7; ; 
