Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 23/5; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 9; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 9; 35/4; 19/2; 17/2; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-01 22:19:07 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 31/100; 3/11; 1/4; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 79/17; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 9; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 9; 35/4; 19/2; 17/2; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-02 02:19:00 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 31/100; 3/11; 1/4; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 79/17; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 9; 8; 9; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 9; 35/4; 19/2; 17/2; 19/2; 37/5; 19/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-02 10:19:00 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 1/4; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 31/100; 3/11; 1/4; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 79/17; 27/5; 47/10; 24/5; ; ; 9/2; ; 14/5; ; 24/5
