META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-04-30 14:18:39 GMT+3; 2018-05-13 13:00; Nothing; Xlenovo
Atletico Madrid; 4/5; 4/9
Draw; 63/25; 6/5
Getafe; 47/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-04-30 18:18:38 GMT+3; 2018-05-13 13:00; Nothing; Xlenovo
Atletico Madrid; 4/5; 4/9
Draw; 63/25; 6/5
Getafe; 47/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-04-30 22:18:30 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; 4/6; 4/5; 4/9
Draw; 63/25; 12/5; 12/5; 9/5
Getafe; 47/10; 7/2; 15/4; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-01 02:18:19 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; 4/6; 4/5; 4/5; 4/9
Draw; 63/25; 12/5; 12/5; 12/5; 9/5
Getafe; 47/10; 7/2; 15/4; 37/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-01 10:18:23 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; 7/10; 4/6; 4/5; 4/5; 4/9
Draw; 63/25; 12/5; 12/5; 12/5; 12/5; 9/5
Getafe; 47/10; 7/2; 7/2; 15/4; 37/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-01 14:18:28 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; 7/10; 4/6; 4/5; 4/5; 4/5; 4/5; 4/9
Draw; 63/25; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 9/5
Getafe; 47/10; 7/2; 7/2; 15/4; 15/4; 4; 37/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-01 18:18:28 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; 7/10; 4/6; 4/5; 4/5; 4/5; 4/5; 4/9
Draw; 63/25; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 9/5
Getafe; 47/10; 7/2; 7/2; 15/4; 15/4; 4; 37/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-01 22:18:31 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; 7/10; 4/6; 4/5; 4/5; 4/5; 4/5; 4/9
Draw; 63/25; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 9/5
Getafe; 47/10; 7/2; 7/2; 15/4; 15/4; 4; 37/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-02 02:18:22 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; 7/10; 4/6; 4/5; 4/5; 4/5; 4/5; 4/9
Draw; 63/25; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 9/5
Getafe; 47/10; 7/2; 7/2; 15/4; 15/4; 4; 37/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-02 10:18:22 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 4/5; 7/10; 4/6; 4/5; 4/5; 4/5; 4/5; 4/9
Draw; 63/25; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 9/5
Getafe; 47/10; 7/2; 7/2; 15/4; 15/4; 4; 37/10; 2
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-02 14:18:35 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 7/10; 4/6; 4/5; 4/5; 4/5; 4/5; 1/2
Draw; 123/0; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 9/5
Getafe; 22/5; 7/2; 7/2; 15/4; 15/4; 4; 37/10; 12/5
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-02 18:18:58 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 7/10; 4/6; 4/5; 4/5; 4/5; 10/13; 4/5; 10/13; 1/2
Draw; 123/0; 12/5; 12/5; 12/5; 23/10; 23/10; 40/17; 12/5; 12/5; 9/5
Getafe; 22/5; 7/2; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 12/5
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-02 22:18:49 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 7/10; 4/6; 4/5; 4/5; 4/5; 10/13; 4/5; 4/5; 1/2
Draw; 123/0; 12/5; 12/5; 12/5; 23/10; 23/10; 40/17; 12/5; 40/17; 9/5
Getafe; 22/5; 7/2; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 12/5
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-03 02:18:44 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 7/10; 4/6; 4/5; 4/5; 4/5; 10/13; 4/5; 4/5; 1/2
Draw; 123/0; 12/5; 12/5; 12/5; 23/10; 23/10; 40/17; 12/5; 40/17; 9/5
Getafe; 22/5; 7/2; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 12/5
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-03 10:18:46 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 7/10; 4/6; 4/5; 4/5; 4/5; 10/13; 4/5; 4/5; 1/2
Draw; 123/0; 12/5; 12/5; 12/5; 23/10; 23/10; 40/17; 12/5; 40/17; 9/5
Getafe; 22/5; 7/2; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 12/5
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-03 14:18:54 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 7/10; 4/6; 4/5; 4/5; 4/5; 10/13; 4/5; 4/5; 1/2
Draw; 123/0; 12/5; 12/5; 12/5; 23/10; 23/10; 40/17; 12/5; 40/17; 9/5
Getafe; 22/5; 7/2; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 12/5
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-03 18:18:53 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 3/4; 4/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 1/2
Draw; 123/0; 13/5; 12/5; 12/5; 5/2; 12/5; 40/17; 12/5; 40/17; 9/5
Getafe; 22/5; 4; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 12/5
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-03 22:18:50 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 3/4; 4/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 1/2
Draw; 123/0; 13/5; 12/5; 12/5; 5/2; 12/5; 40/17; 12/5; 40/17; 9/5
Getafe; 22/5; 4; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 12/5
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-04 02:18:39 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 4/5; 8/11; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/6
Draw; 123/0; 13/5; 12/5; 12/5; 5/2; 12/5; 40/17; 12/5; 40/17; 9/5
Getafe; 22/5; 18/5; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 1/4
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-04 10:18:41 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Atletico Madrid; 17/20; 4/5; 8/11; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/6
Draw; 123/0; 13/5; 12/5; 12/5; 5/2; 12/5; 40/17; 12/5; 40/17; 9/5
Getafe; 22/5; 18/5; 7/2; 15/4; 15/4; 4; 62/17; 37/10; 37/10; 1/4
META; spain/la-liga-primera/getafe-v-atletico-madrid; 2018-05-04 14:18:52 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
