META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-08 22:19:57 GMT+3; 2018-04-19 18:30; Nothing; Xlenovo
Atletico Madrid; 9/10; 10/11; 1; 10/11; 21/20; 21/20; 11/10; 8/13
Draw; 63/25; 2; 23/10; 2; 40/17; 23/10; 12/5; 9/5
Real Sociedad; 39/10; 29/10; 13/5; 11/4; 12/5; 14/5; 12/5; 9/5
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-09 02:19:49 GMT+3; 2018-04-19 18:30; Nothing; Xlenovo
Atletico Madrid; 21/20; 10/11; 21/20; 10/11; 21/20; 1; 21/20; 11/10; 8/11
Draw; 5/2; 2; 23/10; 2; 40/17; 40/17; 23/10; 12/5; 9/5
Real Sociedad; 63/20; 29/10; 5/2; 11/4; 12/5; 28/11; 29/10; 12/5; 5/2
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-09 10:19:49 GMT+3; 2018-04-19 18:30; Nothing; Xlenovo
Atletico Madrid; 21/20; 10/11; 21/20; 10/11; 21/20; 21/20; 1; 21/20; 11/10; 4/5
Draw; 5/2; 11/5; 23/10; 11/5; 5/2; 40/17; 40/17; 23/10; 12/5; 19/10
Real Sociedad; 63/20; 11/4; 5/2; 11/4; 13/5; 12/5; 28/11; 29/10; 12/5; 19/10
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-09 14:20:01 GMT+3; 2018-04-19 18:30; Nothing; Xlenovo
Atletico Madrid; 11/10; 21/20; 10/11; 21/20; 10/11; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 8/11
Draw; 9/4; 5/2; 23/10; 23/10; 23/10; 23/10; 23/10; 5/2; 23/10; 40/17; 40/17; 12/5; 12/5; 19/10
Real Sociedad; 13/5; 63/20; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 14/5; 12/5; 28/11; 11/4; 12/5; 2
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-09 18:19:55 GMT+3; 2018-04-19 18:30; Nothing; Xlenovo
Atletico Madrid; 11/10; 21/20; 10/11; 21/20; 10/11; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 1; 8/11; 
