META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-01 02:20:10 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
Celta Vigo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-01 10:20:07 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
Celta Vigo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-01 14:20:14 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
Celta Vigo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-01 18:19:41 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
Celta Vigo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-01 22:19:26 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
Celta Vigo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-02 02:19:17 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 71/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
Celta Vigo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-02 10:19:44 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; 13/18; ; ; 71/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 3; ; ; ; ; ; ; ; ; 
Celta Vigo; ; ; ; ; ; 21/5; ; ; ; ; ; ; ; ; ; ; 4; ; ; 23/5; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-02 18:19:59 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; 17/20; 17/20; ; ; ; 5/6; 9/10; 5/6; ; ; ; ; ; ; 10/11; ; 4/5; 13/15; 49/50; 11/13; ; ; 17/20; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; 23/10; ; ; ; ; ; ; 23/10; ; 23/10; 9/4; 61/25; 12/5; ; ; 12/5; ; ; ; ; 
Celta Vigo; 7/2; 7/2; ; ; ; 4; 16/5; 7/2; ; ; ; ; ; ; 7/2; ; 15/4; 13/4; 71/20; 31/10; ; ; 18/5; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-02 22:20:22 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; 17/20; 1; ; ; ; 5/6; 9/10; 5/6; 9/10; ; ; ; ; ; 10/11; ; 4/5; 13/15; 49/50; 11/13; 9/10; ; 17/20; ; ; ; ; 
Draw; 23/10; 11/5; ; ; ; 12/5; 23/10; 23/10; 23/10; ; ; ; ; ; 23/10; ; 23/10; 9/4; 61/25; 12/5; 23/10; ; 12/5; ; ; ; ; 
Celta Vigo; 7/2; 3; ; ; ; 4; 16/5; 7/2; 7/2; ; ; ; ; ; 7/2; ; 15/4; 13/4; 71/20; 31/10; 17/5; ; 18/5; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-03 02:20:07 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; 17/20; 10/11; ; ; ; 5/6; 9/10; 5/6; 9/10; ; ; ; ; ; 10/11; ; 4/5; 13/15; 49/50; 11/13; 9/10; ; 17/20; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; 23/10; 23/10; ; ; ; ; ; 23/10; ; 23/10; 9/4; 61/25; 12/5; 23/10; ; 12/5; ; ; ; ; 
Celta Vigo; 7/2; 10/3; ; ; ; 4; 16/5; 7/2; 7/2; ; ; ; ; ; 7/2; ; 15/4; 13/4; 71/20; 31/10; 17/5; ; 18/5; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-03 10:20:19 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; 17/20; 10/11; ; ; ; 5/6; 9/10; 5/6; 9/10; ; ; ; ; ; 10/11; ; 4/5; 13/15; 49/50; 11/13; ; ; 9/10; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; 23/10; 23/10; ; ; ; ; ; 23/10; ; 23/10; 9/4; 61/25; 12/5; ; ; 12/5; ; ; ; ; 
Celta Vigo; 7/2; 10/3; ; ; ; 4; 16/5; 7/2; 7/2; ; ; ; ; ; 7/2; ; 15/4; 13/4; 71/20; 31/10; ; ; 10/3; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-03 14:20:24 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; 17/20; 10/11; ; ; ; 5/6; 9/10; 5/6; 9/10; ; 10/11; ; ; ; 10/11; ; 4/5; 13/15; 49/50; 11/13; 9/10; 9/10; 20/23; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; 23/10; 23/10; ; 23/10; ; ; ; 23/10; ; 23/10; 9/4; 61/25; 12/5; 23/10; 23/10; 23/10; ; ; ; ; 
Celta Vigo; 7/2; 10/3; ; ; ; 4; 16/5; 7/2; 7/2; ; 10/3; ; ; ; 7/2; ; 15/4; 13/4; 71/20; 31/10; 17/5; 10/3; 15/4; ; ; ; ; 
META; spain/la-liga-primera/celta-vigo-v-atletico-madrid; 2017-10-03 18:20:17 GMT+3; 2017-10-22 15:15; Nothing; Xlenovo
Atletico Madrid; 17/20; 10/11; ; ; ; 5/6; 9/10; 5/6; 9/10; ; 10/11; ; ; ; 10/11; ; 4/5; 13/15; 49/50; 11/13; 9/10; 9/10; 17/20; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; 23/10; 23/10; ; 11/5; ; ; ; 23/10; ; 23/10; 9/4; 61/25; 12/5; 23/10; 23/10; 12/5; ; ; ; ; 
Celta Vigo; 7/2; 10/3; ; ; ; 4; 16/5; 7/2; 7/2; ; 7/2; ; ; ; 7/2; ; 15/4; 13/4; 71/20; 31/10; 17/5; 10/3; 18/5; ; ; ; ; 
