META; spain/la-liga-primera/girona-v-real-betis; 2018-04-08 14:19:25 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Draw; 12/5
Real Betis; 13/5
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-08 18:19:00 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Draw; 12/5
Real Betis; 13/5
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-08 22:19:14 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Draw; 12/5
Real Betis; 13/5
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-09 02:19:06 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Draw; 12/5
Real Betis; 13/5
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-09 10:19:06 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 1
Draw; 12/5
Real Betis; 11/4
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-09 14:19:16 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 1
Draw; 12/5
Real Betis; 11/4
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-09 18:19:11 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 1
Draw; 12/5
Real Betis; 14/5
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-09 22:19:13 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 1
Draw; 12/5
Real Betis; 14/5
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-10 02:18:59 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 1
Draw; 12/5
Real Betis; 14/5
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-10 10:19:04 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Real Betis; 12/5
Draw; 5/2
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-10 14:19:16 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Real Betis; 12/5
Draw; 5/2
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-10 18:19:05 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Real Betis; 12/5
Draw; 5/2
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-10 22:19:00 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Real Betis; 12/5
Draw; 5/2
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-11 02:18:49 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 21/20
Real Betis; 12/5
Draw; 5/2
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-11 10:18:55 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 11/10
Draw; 12/5
Real Betis; 12/5
META; spain/la-liga-primera/girona-v-real-betis; 2018-04-11 14:19:00 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Girona; 11/10
Draw; 12/5
Real Betis; 12/5
