META; english/non-league/national-league/southport-v-sutton; 2016-10-16 00:26:19 GMT+3; 2016-10-22 15:00; e70300-dr003
Sutton; ; 11/10; ; ; ; ; 13/10; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 21/10; ; ; ; ; 85/40; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 23/10; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-sutton; 2016-10-16 04:22:48 GMT+3; 2016-10-22 15:00; e70300-dr003
Sutton; ; 11/10; ; ; ; ; 13/10; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 21/10; ; ; ; ; 85/40; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 23/10; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-sutton; 2016-10-16 08:23:31 GMT+3; 2016-10-22 15:00; e70300-dr003
Sutton; ; 11/10; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 21/10; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-sutton; 2016-10-16 12:24:48 GMT+3; 2016-10-22 15:00; e70300-dr003
Sutton; ; 11/10; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 21/10; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-sutton; 2016-10-16 16:23:52 GMT+3; 2016-10-22 15:00; e70300-dr003
Sutton; 5/4; 11/10; ; ; 5/4; ; 5/4; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 2; 21/10; ; ; 21/10; ; 21/10; ; ; ; 2; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; ; 12/5; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-sutton; 2016-10-16 20:24:41 GMT+3; 2016-10-22 15:00; e70300-dr003
Sutton; 5/4; 11/10; ; ; 5/4; ; 5/4; 5/4; 5/4; ; 5/4; 13/10; ; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; 
Southport; 2; 21/10; ; ; 2; ; 2; 2; 2; ; 2; 9/5; ; ; ; ; 19/10; ; ; ; 19/10; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 5/2; ; 5/2; 9/4; 5/2; ; 9/4; 23/10; ; ; ; ; 40/17; ; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-sutton; 2016-10-17 00:23:36 GMT+3; 2016-10-22 15:00; e70300-dr003
Sutton; 5/4; 11/10; ; ; 5/4; ; 6/5; 5/4; 5/4; ; 5/4; 13/10; ; ; ; 5/4; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; 
Southport; 2; 21/10; ; ; 2; ; 21/10; 2; 2; ; 2; 9/5; ; ; ; 2; 19/10; ; ; ; 19/10; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 5/2; ; 5/2; 9/4; 5/2; ; 9/4; 23/10; ; ; ; 12/5; 40/17; ; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-sutton; 2016-10-17 04:23:30 GMT+3; 2016-10-22 15:00; e70300-dr003
Sutton; 5/4; 11/10; ; ; 5/4; ; 6/5; 5/4; 5/4; ; 5/4; 13/10; ; ; ; 5/4; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; 
Southport; 2; 21/10; ; ; 2; ; 21/10; 2; 2; ; 2; 9/5; ; ; ; 2; 19/10; ; ; ; 19/10; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 5/2; ; 5/2; 9/4; 5/2; ; 9/4; 23/10; ; ; ; 12/5; 40/17; ; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-sutton; 2016-10-17 08:23:25 GMT+3; 2016-10-22 15:00; e70300-dr003
