META; english/non-league/national-league/lincoln-v-woking; 2017-02-05 16:25:17 GMT+2; 2017-02-11 15:00; e70300-dr003
Lincoln; 1/2; ; 1/2; ; 8/15; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 16/5; ; 16/5; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 5; ; 19/4; ; 5; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-woking; 2017-02-05 20:25:33 GMT+2; 2017-02-11 15:00; e70300-dr003
Lincoln; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 16/5; ; 10/3; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 5; ; 19/4; ; 5; ; 21/4; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-woking; 2017-02-06 00:22:23 GMT+2; 2017-02-11 15:00; e70300-dr003
Lincoln; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 16/5; ; 10/3; ; 10/3; ; 3; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 5; ; 19/4; ; 5; ; 21/4; ; 5; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-woking; 2017-02-06 04:22:18 GMT+2; 2017-02-11 15:00; e70300-dr003
Lincoln; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 16/5; ; 10/3; ; 10/3; ; 3; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 5; ; 19/4; ; 5; ; 21/4; ; 5; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-woking; 2017-02-06 08:22:15 GMT+2; 2017-02-11 15:00; e70300-dr003
Lincoln; 1/2; ; 1/2; 4/9; 1/2; ; 1/2; ; 1/2; ; ; ; ; ; ; 1/2; 17/35; ; 1/2; 17/35; ; ; 1/2; ; ; ; ; 
Draw; 10/3; ; 16/5; 3; 10/3; ; 10/3; ; 3; ; ; ; ; ; ; 10/3; 56/19; ; 3; 56/19; ; ; 3; ; ; ; ; 
Woking; 5; ; 19/4; 9/2; 5; ; 21/4; ; 5; ; ; ; ; ; ; 5; 47/10; ; 23/5; 47/10; ; ; 19/4; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-woking; 2017-02-06 12:22:19 GMT+2; 2017-02-11 15:00; e70300-dr003
Lincoln; 1/2; ; 1/2; 4/9; 1/2; ; 1/2; ; 1/2; ; ; ; ; ; ; 1/2; 10/21; 10/21; 1/2; 10/21; ; ; 1/2; ; ; ; ; 
Draw; 10/3; ; 16/5; 3; 10/3; ; 10/3; ; 3; ; ; ; ; ; ; 16/5; 58/19; 3; 3; 58/19; ; ; 3; ; ; ; ; 
Woking; 5; ; 19/4; 9/2; 5; ; 21/4; ; 5; ; ; ; ; ; ; 5; 19/4; 9/2; 23/5; 47/10; ; ; 19/4; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-woking; 2017-02-06 16:24:42 GMT+2; 2017-02-11 15:00; e70300-dr003
Lincoln; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; ; ; 1/2; 10/21; 10/21; 1/2; 10/21; ; ; 1/2; ; ; ; ; 
Draw; 10/3; 3; 16/5; 3; 10/3; ; 10/3; ; 3; ; 16/5; ; 16/5; ; ; 16/5; 58/19; 3; 3; 58/19; ; ; 3; ; ; ; ; 
Woking; 5; 5; 19/4; 9/2; 5; ; 21/4; ; 5; ; 24/5; ; 5; ; ; 5; 19/4; 9/2; 23/5; 19/4; ; ; 19/4; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-woking; 2017-02-06 20:23:43 GMT+2; 2017-02-11 15:00; e70300-dr003
Lincoln; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; ; 1/2; ; 1/2; 1/2; 1/2; ; ; 1/2; 17/35; 10/21; 1/2; 17/35; ; ; 1/2; ; ; ; ; 
