META; english/non-league/national-league/north-ferriby-utd-v-bromley; 2016-10-23 16:23:36 GMT+3; 2016-10-29 15:00; e70300-dr003
Bromley; 11/10; ; ; ; 11/10; ; 11/10; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; 23/10; ; 23/10; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 5/2; ; ; ; 13/5; ; 13/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-bromley; 2016-10-23 20:24:15 GMT+3; 2016-10-29 15:00; e70300-dr003
Bromley; 11/10; ; ; ; 11/10; ; 11/10; ; 11/10; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; 12/5; ; 12/5; ; 12/5; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 5/2; ; ; ; 5/2; ; 5/2; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-bromley; 2016-10-24 00:23:20 GMT+3; 2016-10-29 15:00; e70300-dr003
Bromley; 11/10; ; ; ; 11/10; ; 11/10; ; 11/10; ; 21/20; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; 12/5; ; 12/5; ; 12/5; ; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 5/2; ; ; ; 5/2; ; 5/2; ; 12/5; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-bromley; 2016-10-24 04:23:21 GMT+3; 2016-10-29 15:00; e70300-dr003
Bromley; 11/10; ; ; ; 11/10; ; 11/10; ; 11/10; ; 21/20; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; 12/5; ; 12/5; ; 12/5; ; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 5/2; ; ; ; 5/2; ; 5/2; ; 12/5; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-bromley; 2016-10-24 08:23:49 GMT+3; 2016-10-29 15:00; e70300-dr003
Bromley; 11/10; ; ; ; 11/10; ; 11/10; ; 11/10; ; 21/20; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 
