META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-12 00:22:53 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-12 04:23:09 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-12 08:23:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-12 12:22:57 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-12 16:23:00 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 5/2; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-12 20:24:37 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; ; ; 11/10; ; ; ; 21/20; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; ; ; 23/10; ; ; ; 11/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 5/2; 12/5; ; ; ; ; 13/5; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-13 00:22:22 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; ; ; 11/10; ; ; ; 21/20; ; 11/10; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; ; ; 23/10; ; ; ; 11/5; ; 11/5; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 5/2; 12/5; ; ; ; ; 13/5; ; ; ; 12/5; ; 5/2; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-13 04:21:54 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; ; ; 11/10; ; ; ; 21/20; ; 11/10; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; ; ; 23/10; ; ; ; 11/5; ; 11/5; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 5/2; 12/5; ; ; ; ; 13/5; ; ; ; 12/5; ; 5/2; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-13 08:22:24 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 21/20; 21/20; 11/10; ; ; 11/10; 21/20; ; 11/10; 21/20; ; ; 11/10; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 11/5; 11/5; 11/5; ; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
Guiseley; 5/2; 12/5; ; ; 13/5; ; 13/5; ; ; ; 12/5; 9/4; 5/2; ; ; 5/2; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-13 12:23:41 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 21/20; 21/20; 11/10; ; ; 11/10; 21/20; ; 11/10; 21/20; ; ; 11/10; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 11/5; 11/5; 11/5; ; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
Guiseley; 5/2; 12/5; ; ; 13/5; ; 13/5; ; ; ; 12/5; 9/4; 5/2; ; ; 5/2; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-13 16:27:14 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 21/20; 21/20; 11/10; ; ; 11/10; 21/20; ; 11/10; 21/20; ; ; 11/10; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 11/5; 11/5; 11/5; ; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
Guiseley; 5/2; 12/5; ; ; 13/5; ; 13/5; ; ; ; 12/5; 9/4; 5/2; ; ; 5/2; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-13 20:24:23 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 21/20; 21/20; 11/10; ; ; 11/10; 21/20; 21/20; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 11/5; 11/5; 11/5; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 12/5; ; ; 13/5; ; 13/5; ; ; ; 12/5; 9/4; 5/2; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-14 00:22:26 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; ; 11/10; ; 21/20; 21/20; 11/10; ; ; 11/10; 21/20; 21/20; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; 11/5; 11/5; 11/5; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 12/5; ; ; 13/5; ; 13/5; ; 5/2; ; 12/5; 9/4; 5/2; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-14 04:22:25 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; 1; 11/10; ; 21/20; 21/20; 11/10; ; ; 11/10; 21/20; 21/20; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 23/10; ; 11/5; 11/5; 11/5; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 12/5; ; ; 5/2; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 5/2; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-14 08:22:24 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; 1; 11/10; ; 21/20; 21/20; 11/10; ; ; 11/10; 21/20; 21/20; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 23/10; ; 11/5; 11/5; 11/5; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 12/5; ; ; 5/2; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 5/2; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-14 12:24:08 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; 1; 11/10; ; 21/20; 21/20; 11/10; ; ; 21/20; 21/20; 21/20; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 23/10; ; 11/5; 11/5; 11/5; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 13/5; ; ; 5/2; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 5/2; ; ; 13/5; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-14 16:23:04 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; 1; 11/10; ; 21/20; 21/20; 11/10; ; ; 11/10; 21/20; 21/20; 11/10; 21/20; ; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 23/10; ; 11/5; 11/5; 11/5; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 13/5; ; ; 5/2; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 5/2; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-14 20:23:46 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; ; ; 11/10; ; 11/10; 1; 11/10; ; 21/20; 21/20; 11/10; ; ; 21/20; 21/20; 21/20; 11/10; 21/20; 6/5; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 23/10; ; 11/5; 11/5; 11/5; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 13/5; ; ; 5/2; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 5/2; ; ; 13/5; 12/5; 23/10; 12/5; 12/5; 131/50; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-15 00:22:30 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; 11/10; ; 11/10; ; 11/10; 1; 11/10; ; 21/20; 21/20; 11/10; ; ; 21/20; 21/20; 21/20; 11/10; 21/20; 6/5; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; ; 23/10; 9/4; 23/10; ; 11/5; 11/5; 11/5; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 13/5; 12/5; ; 5/2; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 5/2; ; ; 13/5; 12/5; 23/10; 12/5; 12/5; 131/50; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-15 04:21:47 GMT+2; 2017-03-18 15:00; e70300-dr003
Boreham Wood; 11/10; 21/20; 11/10; ; 11/10; ; 11/10; 1; 11/10; ; 21/20; 21/20; 11/10; ; ; 21/20; 21/20; 21/20; 11/10; ; 6/5; ; 11/10; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; ; 23/10; 9/4; 23/10; ; 11/5; 11/5; 11/5; ; ; 9/4; 11/5; 21/10; 11/5; ; 12/5; ; 11/5; ; 11/5; ; ; ; 
Guiseley; 5/2; 13/5; 12/5; ; 5/2; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 5/2; ; ; 13/5; 12/5; 23/10; 12/5; ; 131/50; ; 12/5; ; 12/5; ; ; ; 
