North Ferriby Utd; 9; 6; 8; 13/2; 15/2; 13/2; 8; 15/2; 15/2; 15/2; 15/2; 15/2; 13/2; 8; 8; 8; 15/2; 15/2; 15/2; 11/2; 15/2; 15/2; 83/10; 38/5; 7; ; 39/5; ; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-12 12:22:41 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 1/3; 3/10; 2/7; 3/10; 5/18; 3/10; 3/10; 1/3; 3/10; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 1/3; 5/19; 3/10; 4/11; 3/10; 5/19; 4/11; 4/13; 1/3; ; 1/3; 1/3; 
Draw; 17/4; 19/5; 4; 15/4; 4; 19/5; 17/4; 7/2; 17/4; 4; 17/4; 19/5; 7/2; 4; 19/5; 15/4; 4; 9/2; 4; 7/2; 4; 9/2; 22/5; 21/5; 4; ; 4; 7/2; 
North Ferriby Utd; 9; 7; 8; 7; 15/2; 13/2; 8; 15/2; 15/2; 15/2; 8; 15/2; 10; 17/2; 8; 8; 15/2; 35/4; 15/2; 11/2; 15/2; 35/4; 83/10; 38/5; 7; ; 41/5; 15/2; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-12 16:22:59 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 1/3; 3/10; 2/7; 3/10; 5/18; 3/10; 3/10; 1/3; 3/10; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 5/18; 3/10; 4/11; 3/10; 5/18; 4/11; 4/13; 1/3; ; 1/3; 1/3; 
Draw; 17/4; 19/5; 19/5; 15/4; 4; 19/5; 17/4; 7/2; 17/4; 4; 4; 19/5; 4; 4; 19/5; 15/4; 4; 43/10; 4; 7/2; 4; 43/10; 22/5; 21/5; 4; ; 4; 7/2; 
North Ferriby Utd; 9; 7; 8; 7; 15/2; 13/2; 8; 15/2; 15/2; 15/2; 8; 15/2; 15/2; 17/2; 8; 8; 17/2; 17/2; 15/2; 11/2; 15/2; 17/2; 83/10; 38/5; 7; ; 41/5; 38/5; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-12 20:23:39 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 1/3; 3/10; 2/7; 3/10; 5/18; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 2/7; 1/3; 3/10; 3/11; 3/10; 4/11; 3/10; 3/11; 4/11; 4/13; 3/10; ; 1/3; 4/11; 
