META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 00:23:27 GMT+2; 2017-03-11 15:00; e70300-dr003
Forest Green; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 04:24:22 GMT+2; 2017-03-11 15:00; e70300-dr003
Forest Green; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 08:24:52 GMT+2; 2017-03-11 15:00; e70300-dr003
Forest Green; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 12:25:49 GMT+2; 2017-03-11 15:00; e70300-dr003
Forest Green; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 16:25:19 GMT+2; 2017-03-11 15:00; e70300-dr003
Forest Green; 6/4; 11/8; ; ; ; ; 6/4; ; 6/4; ; 29/20; ; ; ; ; ; ; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Dagenham & Redbridge; 17/10; 17/10; ; ; ; ; 7/4; ; 13/8; ; 33/20; ; ; ; ; ; ; ; 13/8; 8/5; ; ; 28/17; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 12/5; ; 9/4; ; ; ; ; ; ; ; 9/4; 9/4; ; ; 9/4; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 20:23:51 GMT+2; 2017-03-11 15:00; e70300-dr003
Forest Green; 6/4; 11/8; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 29/20; 11/8; ; ; ; ; 16/11; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Dagenham & Redbridge; 17/10; 17/10; 33/20; ; 17/10; ; 7/4; ; 13/8; ; 33/20; 8/5; ; ; ; ; 8/5; ; 13/8; 8/5; ; ; 28/17; ; ; ; ; 
