META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-26 16:28:09 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; ; ; 23/17; ; ; ; ; 
Wrexham; 7/4; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; 
Braintree Town; 7/5; ; ; ; 29/20; ; 7/5; ; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; ; ; 23/17; ; ; ; ; 
Wrexham; 7/4; ; ; ; 9/5; ; 9/5; ; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 28/17; 28/17; 17/10; 28/17; ; ; 17/10; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 40/17; 23/10; 12/5; 40/17; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-27 20:24:24 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; 29/20; ; 7/5; ; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; ; ; 23/17; ; ; 1/7; ; 
Wrexham; 7/4; ; ; ; 9/5; ; 9/5; ; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10; 28/17; 17/10; 17/10; ; ; 17/10; ; ; 1/7; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 5/2; ; 9/4; 11/5; 49/20; ; ; 5/2; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; ; ; 2/15; ; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-28 00:22:47 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; 29/20; ; 7/5; ; 7/5; ; 7/5; 11/8; 7/5; ; ; 7/5; 23/17; 23/17; 27/20; 23/17; ; ; 23/17; ; ; 2/7; ; 
Wrexham; 7/4; ; ; ; 9/5; ; 9/5; ; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10; 28/17; 17/10; 17/10; ; ; 17/10; ; ; 2/7; ; 
