META; english/non-league/national-league/forest-green-v-chester; 2017-04-10 16:43:45 GMT+3; 2017-04-14 15:00; e70300-dr003
Forest Green; 4/11; 3/10; 7/20; ; 1/3; ; 1/3; ; 1/3; ; 1/3; 1/3; 1/3; ; ; 1/3; 1/3; 1/3; 1/3; 1/3; 2/5; ; 6/17; ; 6/17; ; ; ; 
Draw; 15/4; 4; 18/5; ; 19/5; ; 4; ; 19/5; ; 18/5; 16/5; 7/2; ; ; 4; 18/5; 13/4; 7/2; 18/5; 4; ; 7/2; ; 7/2; ; ; ; 
Chester; 15/2; 7; 7; ; 17/2; ; 17/2; ; 15/2; ; 15/2; 7; 17/2; ; ; 15/2; 29/4; 7; 7; 29/4; 8; ; 7; ; 7; ; ; ; 
META; english/non-league/national-league/forest-green-v-chester; 2017-04-11 12:58:17 GMT+3; 2017-04-14 15:00; e70300-dr003
Forest Green; 4/11; 3/10; 7/20; ; 1/3; ; 1/3; 3/10; 1/3; ; 1/3; 1/3; 1/3; ; ; 1/3; 1/3; 1/3; 1/3; 1/3; 2/5; ; 6/17; ; 6/17; ; ; ; 
Draw; 15/4; 4; 18/5; ; 19/5; ; 4; 7/2; 19/5; ; 18/5; 16/5; 7/2; ; ; 4; 18/5; 13/4; 7/2; 18/5; 4; ; 7/2; ; 7/2; ; ; ; 
Chester; 15/2; 7; 7; ; 17/2; ; 8; 15/2; 15/2; ; 15/2; 7; 17/2; ; ; 8; 29/4; 7; 7; 29/4; 8; ; 7; ; 7; ; ; ; 
META; english/non-league/national-league/forest-green-v-chester; 2017-04-12 12:29:35 GMT+3; 2017-04-14 15:00; e70300-dr003
Forest Green; 4/11; 3/10; 7/20; 4/11; 4/11; ; 1/3; 3/10; 1/3; 7/20; 1/3; 1/3; 7/20; 3/10; 4/11; 1/3; 6/19; 1/3; 1/3; 6/19; 41/100; 6/17; 10/29; ; 10/29; ; ; 2/9; 
Draw; 7/2; 4; 37/10; 7/2; 19/5; ; 4; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 18/5; 15/4; 4; 50/13; 13/4; 7/2; 50/13; 4; 18/5; 37/10; ; 37/10; ; ; 3; 
Chester; 8; 7; 7; 13/2; 8; ; 8; 15/2; 7; 15/2; 15/2; 13/2; 8; 15/2; 7; 15/2; 31/4; 7; 7; 31/4; 38/5; 61/10; 7; ; 7; ; ; 29/5; 
