META; english/non-league/national-league/dover-v-southport; 2017-04-10 16:43:39 GMT+3; 2017-04-14 15:00; e70300-dr003
Dover; 1/3; 2/5; ; ; 1/3; ; 3/10; ; 1/3; ; 1/3; 3/10; 3/10; ; ; 1/3; 4/13; 3/10; 3/10; 4/13; 9/25; ; 6/19; ; 6/19; ; ; ; 
Draw; 9/2; 10/3; ; ; 21/5; ; 9/2; ; 9/2; ; 19/5; 7/2; 9/2; ; ; 4; 74/17; 4; 21/5; 74/17; 5; ; 17/4; ; 17/4; ; ; ; 
Southport; 13/2; 11/2; ; ; 8; ; 15/2; ; 13/2; ; 8; 7; 7; ; ; 7; 25/4; 6; 6; 25/4; 71/10; ; 6; ; 6; ; ; ; 
META; english/non-league/national-league/dover-v-southport; 2017-04-11 12:58:15 GMT+3; 2017-04-14 15:00; e70300-dr003
Dover; 1/3; 2/5; 1/3; ; 3/10; ; 3/10; 2/7; 1/3; ; 1/3; 3/10; 3/10; ; ; 1/3; 4/13; 3/10; 3/10; 4/13; 9/25; ; 6/19; ; 6/19; ; ; ; 
Draw; 9/2; 10/3; 15/4; ; 21/5; ; 9/2; 4; 9/2; ; 19/5; 7/2; 9/2; ; ; 4; 74/17; 4; 21/5; 74/17; 5; ; 17/4; ; 17/4; ; ; ; 
Southport; 13/2; 11/2; 15/2; ; 17/2; ; 8; 15/2; 7; ; 8; 7; 7; ; ; 7; 25/4; 6; 6; 25/4; 71/10; ; 6; ; 6; ; ; ; 
META; english/non-league/national-league/dover-v-southport; 2017-04-12 12:29:29 GMT+3; 2017-04-14 15:00; e70300-dr003
Dover; 4/11; 1/3; 4/11; 4/9; 2/5; ; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 10/29; 3/10; 4/11; 10/29; 21/50; 2/5; 3/8; ; 3/8; ; ; 4/11; 
Draw; 15/4; 7/2; 18/5; 10/3; 19/5; ; 19/5; 7/2; 19/5; 15/4; 18/5; 16/5; 15/4; 17/5; 4; 4; 39/10; 4; 7/2; 39/10; 9/2; 18/5; 18/5; ; 18/5; ; ; 10/3; 
Southport; 6; 13/2; 6; 5; 13/2; ; 7; 6; 6; 13/2; 6; 11/2; 6; 13/2; 11/2; 13/2; 13/2; 6; 6; 13/2; 31/5; 49/10; 6; ; 6; ; ; 31/5; 
