META; english/non-league/national-league/sutton-utd-v-bromley; 2016-12-20 16:25:29 GMT+2; 2017-01-01 15:00; e70300-dr003
Sutton Utd; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; 3; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-bromley; 2016-12-20 20:26:42 GMT+2; 2017-01-01 15:00; e70300-dr003
Sutton Utd; 5/6; ; ; ; ; ; 5/6; ; 5/6; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; 13/5; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; 3; ; ; ; ; ; 16/5; ; 3; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-bromley; 2016-12-21 00:24:16 GMT+2; 2017-01-01 15:00; e70300-dr003
Sutton Utd; 5/6; ; ; ; ; ; 5/6; ; 5/6; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; 13/5; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; 3; ; ; ; ; ; 16/5; ; 3; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-bromley; 2016-12-21 04:24:18 GMT+2; 2017-01-01 15:00; e70300-dr003
Sutton Utd; 5/6; ; ; ; ; ; 5/6; ; 5/6; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; 13/5; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; 3; ; ; ; ; ; 16/5; ; 3; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-bromley; 2016-12-21 08:24:26 GMT+2; 2017-01-01 15:00; e70300-dr003
