META; english/non-league/national-league/sutton-v-dagenham-redbridge; 2016-08-28 00:22:58 GMT+3; 2016-08-29 15:00; e70300-dr003
Dagenham & Redbridge; ; 17/10; ; ; ; ; 17/10; ; ; ; ; 13/8; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton; ; 11/8; ; ; ; ; 8/5; ; ; ; ; 13/10; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-v-dagenham-redbridge; 2016-08-28 04:20:52 GMT+3; 2016-08-29 15:00; e70300-dr003
Sutton; ; 11/8; ; ; ; ; 29/20; ; ; ; ; 13/10; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 17/10; ; ; ; ; 9/5; ; ; ; ; 13/8; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-v-dagenham-redbridge; 2016-08-28 08:21:01 GMT+3; 2016-08-29 15:00; e70300-dr003
Dagenham & Redbridge; ; 17/10; ; ; ; ; 17/10; ; ; ; ; 13/8; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton; ; 11/8; ; ; ; ; 8/5; ; ; ; ; 13/10; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-v-dagenham-redbridge; 2016-08-28 12:21:20 GMT+3; 2016-08-29 15:00; e70300-dr003
Sutton; 6/4; 11/8; ; ; 8/5; ; 17/10; ; 13/8; ; ; 13/10; 17/10; ; ; 17/10; 17/11; ; ; ; 8/5; 17/10; ; ; ; ; ; 
Dagenham & Redbridge; 6/4; 17/10; ; ; 6/4; ; 31/20; ; 6/4; ; ; 13/8; 6/5; ; ; 6/4; 17/11; ; ; ; 16/11; 23/13; ; ; ; ; ; 
