META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 00:22:55 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 04:23:11 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 08:23:51 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 12:22:59 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 16:23:03 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; 21/20; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; 11/4; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 20:24:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 00:22:24 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; ; ; 1; ; ; ; 10/11; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; ; ; 11/4; ; ; ; 11/4; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 04:21:56 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; ; ; 1; ; ; ; 10/11; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; ; ; 11/4; ; ; ; 11/4; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 08:22:26 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; 20/21; ; 1; ; ; ; 10/11; 20/21; ; ; ; 1; 10/11; ; 20/21; 10/11; ; ; 19/20; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 23/10; 11/5; ; ; ; 23/10; 9/4; ; 23/10; 9/4; ; ; 23/10; ; ; ; ; 
Southport; 14/5; 9/4; ; ; 29/10; ; 14/5; ; ; ; 11/4; 5/2; ; ; ; 27/10; 45/17; ; 27/10; 45/17; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 12:23:44 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; 20/21; ; 20/21; ; ; ; 10/11; 10/11; ; ; ; 1; 10/11; ; 20/21; 10/11; ; ; 19/20; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; ; ; 23/10; 11/5; ; ; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; ; ; 
Southport; 14/5; 9/4; ; ; 14/5; ; 14/5; ; ; ; 11/4; 13/5; ; ; ; 27/10; 27/10; ; 27/10; 27/10; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 16:27:16 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; 19/20; ; 20/21; ; ; ; 10/11; 10/11; ; ; ; 1; 10/11; ; 20/21; 10/11; ; ; 19/20; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 23/10; 11/5; ; ; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; ; ; 
Southport; 14/5; 9/4; ; ; 29/10; ; 29/10; ; ; ; 11/4; 13/5; ; ; ; 27/10; 45/17; ; 27/10; 45/17; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 20:24:26 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; 19/20; ; 20/21; ; ; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 29/10; ; 29/10; ; ; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 00:22:28 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; 20/21; ; 20/21; ; 10/11; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 14/5; ; 14/5; ; 14/5; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 04:22:28 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; 20/21; ; 20/21; ; 10/11; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 14/5; ; 14/5; ; 14/5; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 08:22:26 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 11/10; ; ; 20/21; ; 20/21; ; 10/11; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 14/5; ; 14/5; ; 14/5; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 12:24:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 19/20; ; ; 20/21; ; 20/21; ; 10/11; ; 10/11; 10/11; ; ; ; 19/20; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 5/2; ; 5/2; ; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 11/4; ; ; 14/5; ; 14/5; ; 14/5; ; 11/4; 13/5; ; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 16:23:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 19/20; ; ; 20/21; ; 37/40; 10/11; 10/11; ; 10/11; 10/11; ; ; ; 19/20; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 12/5; ; 5/2; 12/5; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 11/4; ; ; 29/10; ; 29/10; 11/4; 14/5; ; 11/4; 13/5; ; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 20:23:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 19/20; ; ; 20/21; ; 19/20; 10/11; 10/11; ; 10/11; 10/11; ; ; ; 19/20; 19/20; 10/11; 20/21; 19/20; 1; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 5/2; ; 5/2; 12/5; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 11/4; ; ; 14/5; ; 14/5; 11/4; 14/5; ; 11/4; 13/5; ; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; 61/20; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-15 00:22:32 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 19/20; 19/20; ; 20/21; ; 19/20; 10/11; 10/11; ; 10/11; 10/11; ; ; ; 19/20; 19/20; 10/11; 20/21; 19/20; 1; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 5/2; 47/20; ; 5/2; ; 5/2; 12/5; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 11/4; 11/4; ; 14/5; ; 29/10; 11/4; 14/5; ; 11/4; 13/5; ; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; 61/20; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-15 04:21:50 GMT+2; 2017-03-18 15:00; e70300-dr003
Braintree Town; 20/21; 19/20; 19/20; ; 20/21; ; 37/40; 10/11; 10/11; ; 10/11; 10/11; ; ; ; 19/20; 19/20; 10/11; 20/21; ; 1; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 5/2; 47/20; ; 5/2; ; 5/2; 12/5; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; ; 13/5; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 11/4; 11/4; ; 14/5; ; 29/10; 11/4; 14/5; ; 11/4; 13/5; ; ; ; 14/5; 27/10; 13/5; 27/10; ; 61/20; ; 27/10; ; 27/10; ; ; ; 
