META; english/non-league/national-league/braintree-town-v-woking; 2017-03-18 12:24:53 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-18 16:22:20 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; ; 27/20; ; ; ; 7/5; ; ; 11/8; 11/8; ; 5/4; ; ; 11/8; 13/10; ; ; 13/10; ; ; ; ; ; ; ; ; 
Braintree Town; 13/10; 5/4; 13/10; 11/8; 7/5; 5/4; 13/10; 13/10; 7/5; 13/10; 13/10; 13/10; 27/20; ; 11/8; 13/10; 23/17; ; 13/10; 23/17; 6/4; 24/19; 25/19; ; 25/19; ; ; 13/10; 
Woking; 9/5; 19/10; 19/10; 7/4; 19/10; 7/4; 2; 9/5; 15/8; 19/10; 15/8; 7/4; 19/10; ; 19/10; 15/8; 19/10; ; 19/10; 19/10; 101/50; 24/13; 19/10; ; 19/10; ; ; 19/10; 
Draw; 23/10; 12/5; 9/4; 23/10; 23/10; 43/20; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; 23/10; ; 9/4; 12/5; 9/4; ; 11/5; 9/4; 12/5; 23/10; 11/5; ; 11/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-20 04:20:46 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 5/4; 13/10; 11/8; 7/5; 5/4; 13/10; 13/10; 7/5; 13/10; 13/10; 13/10; 27/20; ; 11/8; 13/10; 23/17; 13/10; 13/10; 23/17; 6/4; 24/19; 25/19; ; 25/19; ; ; 13/10; 
Woking; 9/5; 19/10; 19/10; 7/4; 19/10; 9/5; 2; 9/5; 15/8; 19/10; 15/8; 7/4; 19/10; ; 19/10; 15/8; 19/10; 7/4; 19/10; 19/10; 101/50; 24/13; 19/10; ; 19/10; ; ; 19/10; 
Draw; 23/10; 12/5; 9/4; 23/10; 23/10; 43/20; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; ; 9/4; 12/5; 23/10; 9/4; 11/5; 23/10; 12/5; 23/10; 11/5; ; 11/5; ; ; 21/10; 
META; english/non-league/national-league/braintree-town-v-woking; 2017-03-20 08:21:08 GMT+2; 2017-03-21 19:45; e70300-dr003
Braintree Town; 13/10; 5/4; 13/10; 11/8; 7/5; 5/4; 13/10; 13/10; 7/5; 13/10; 13/10; 13/10; 27/20; ; 11/8; 11/8; 23/17; 13/10; 13/10; 23/17; 6/4; 24/19; 25/19; ; 25/19; ; ; 5/4; 
Woking; 21/10; 19/10; 39/20; 7/4; 19/10; 20/11; 2; 9/5; 15/8; 19/10; 15/8; 7/4; 19/10; ; 19/10; 15/8; 19/10; 7/4; 19/10; 19/10; 101/50; 24/13; 19/10; ; 19/10; ; ; 19/10; 
