META; english/non-league/national-league/gateshead-v-dover; 2016-10-03 20:24:48 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-04 00:23:19 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-04 04:23:08 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-04 08:24:08 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-04 12:24:47 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-04 16:25:22 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-04 20:25:32 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-05 00:23:58 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-05 04:23:55 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-05 08:23:53 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Dover; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-05 12:25:41 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; ; ; ; 7/5; ; 11/8; ; ; ; ; 13/10; 7/5; ; 13/10; ; 7/5; ; ; ; ; ; 7/5; ; ; ; 6/5; ; 
Dover; 7/4; ; ; ; 9/5; ; 7/4; ; ; ; ; 8/5; 17/10; ; 17/10; ; 7/4; ; ; ; ; ; 83/41; ; ; ; 6/4; ; 
Draw; 13/5; ; ; ; 5/2; ; 13/5; ; ; ; ; 9/4; 23/10; ; 9/4; ; 5/2; ; ; ; ; ; 13/5; ; ; ; 21/10; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-05 16:24:43 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 11/8; ; 13/10; 29/20; ; 29/20; ; 7/5; ; 7/5; 13/10; 7/5; 7/5; 13/10; 11/8; 7/5; 23/17; ; 13/10; ; 23/17; 7/5; 23/17; ; ; 6/5; ; 
Dover; 17/10; 13/8; ; 31/20; 17/10; ; 17/10; ; 13/8; ; 7/4; 8/5; 17/10; 33/20; 8/5; 17/10; 7/4; 28/17; ; 28/17; ; 28/17; 83/41; 17/11; ; ; 7/5; ; 
Draw; 13/5; 5/2; ; 5/2; 13/5; ; 5/2; ; 5/2; ; 5/2; 9/4; 23/10; 51/20; 5/2; 13/5; 5/2; 28/11; ; 12/5; ; 28/11; 13/5; 28/11; ; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-05 20:24:40 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 11/8; ; 11/8; 29/20; ; 29/20; ; 7/5; 7/5; 7/5; 13/10; 7/5; 7/5; 29/20; 11/8; 7/5; 16/11; 7/5; 13/10; 7/5; 16/11; 32/21; 4/3; ; ; 7/5; ; 
Dover; 17/10; 13/8; ; 13/8; 7/4; ; 7/4; ; 7/4; 8/5; 7/4; 8/5; 17/10; 17/10; 7/4; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 15/8; 19/12; ; ; 13/8; ; 
Draw; 13/5; 5/2; ; 9/4; 5/2; ; 5/2; ; 12/5; 5/2; 12/5; 9/4; 23/10; 49/20; 2; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 28/11; 28/11; ; ; 23/10; ; 
META; english/non-league/national-league/gateshead-v-dover; 2016-10-06 00:23:22 GMT+3; 2016-10-08 15:00; e70300-dr003
Gateshead; 11/8; 7/5; ; 11/8; 29/20; ; 7/5; ; 7/5; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 11/8; 7/5; 23/17; 7/5; 13/10; 7/5; 23/17; 32/21; 4/3; ; ; 7/5; ; 
