META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-08 16:23:21 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; ; ; ; ; 8/15; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 5; ; ; ; ; ; 11/2; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-08 20:23:22 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; ; ; ; ; 8/15; ; 8/15; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; 3; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 5; ; ; ; ; ; 11/2; ; 21/4; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-09 00:22:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; ; ; ; ; 8/15; ; 8/15; ; 1/2; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; 3; ; 3; ; 59/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 5; ; ; ; ; ; 11/2; ; 21/4; ; 24/5; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-09 04:21:55 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; ; 4/9; ; ; 8/15; ; 8/15; ; 1/2; ; 1/2; ; ; ; ; 1/2; ; 1/2; ; ; ; 1/2; ; ; ; ; 
Draw; 3; ; ; 3; ; ; 3; ; 3; ; 3; ; 59/20; ; ; ; ; 3; ; 3; ; ; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; ; 9/2; ; ; 11/2; ; 21/4; ; 24/5; ; 11/2; ; ; ; ; 24/5; ; 24/5; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-09 08:22:02 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; ; 4/9; ; ; 8/15; ; 8/15; ; 1/2; ; 1/2; ; ; ; ; 1/2; ; 1/2; ; ; ; 1/2; ; ; ; ; 
Draw; 3; ; ; 3; ; ; 3; ; 3; ; 3; ; 59/20; ; ; ; ; 3; ; 3; ; ; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; ; 9/2; ; ; 11/2; ; 21/4; ; 24/5; ; 11/2; ; ; ; ; 24/5; ; 24/5; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-09 16:23:02 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; 8/15; 4/9; 8/15; ; 1/2; ; 8/15; ; 1/2; 1/2; 1/2; ; 8/15; 8/15; 17/35; 1/2; 1/2; 1/2; 17/35; ; ; 1/2; ; ; ; ; 
Draw; 3; ; 29/10; 3; 31/10; ; 31/10; ; 3; ; 3; 3; 59/20; ; 3; 3; 56/19; 3; 31/10; 3; 56/19; ; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; 19/4; 9/2; 5; ; 11/2; ; 21/4; ; 24/5; 9/2; 11/2; ; 5; 5; 47/10; 24/5; 4; 24/5; 47/10; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-09 20:22:45 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; 8/15; 4/9; 8/15; ; 1/2; ; 8/15; ; 1/2; 1/2; 1/2; ; 8/15; 8/15; 1/2; 1/2; 1/2; 1/2; ; ; 1/2; ; ; ; ; 
Draw; 3; ; 29/10; 3; 31/10; ; 31/10; ; 3; ; 3; 3; 59/20; ; 3; 3; 3; 31/10; 3; 3; ; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; 19/4; 9/2; 5; ; 11/2; ; 21/4; ; 24/5; 9/2; 11/2; ; 5; 5; 24/5; 4; 24/5; 24/5; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-10 00:22:27 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; 8/15; 4/9; 8/15; ; 8/15; ; 8/15; ; 1/2; 1/2; 1/2; ; 8/15; 8/15; 1/2; 1/2; 1/2; 1/2; ; ; 1/2; ; ; ; ; 
Draw; 3; ; 29/10; 3; 31/10; ; 31/10; ; 3; ; 3; 3; 59/20; ; 3; 3; 3; 31/10; 3; 3; ; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; 19/4; 9/2; 5; ; 21/4; ; 21/4; ; 24/5; 9/2; 11/2; ; 5; 5; 24/5; 4; 24/5; 24/5; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-10 04:22:26 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; 8/15; 4/9; 8/15; ; 8/15; ; 8/15; ; 1/2; 1/2; 1/2; ; 8/15; 8/15; 1/2; 1/2; 1/2; 1/2; ; ; 1/2; ; ; ; ; 
Draw; 3; ; 29/10; 3; 31/10; ; 31/10; ; 3; ; 3; 3; 59/20; ; 3; 3; 3; 31/10; 3; 3; ; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; 19/4; 9/2; 5; ; 21/4; ; 21/4; ; 24/5; 9/2; 11/2; ; 5; 5; 24/5; 4; 24/5; 24/5; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-10 08:22:42 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; 8/15; 4/9; 8/15; ; 1/2; 4/9; 8/15; ; 1/2; 1/2; 1/2; ; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; ; ; 1/2; ; ; ; ; 
Draw; 3; ; 29/10; 3; 16/5; ; 31/10; 16/5; 3; ; 3; 3; 59/20; ; 3; 10/3; 58/19; 31/10; 3; 58/19; ; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; 19/4; 9/2; 5; ; 11/2; 5; 21/4; ; 24/5; 9/2; 11/2; ; 5; 5; 24/5; 4; 24/5; 24/5; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-10 12:22:53 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; 8/15; 4/9; 1/2; ; 1/2; 4/9; 8/15; ; 1/2; 1/2; 1/2; ; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; ; ; 1/2; ; ; ; ; 
Draw; 3; ; 29/10; 3; 16/5; ; 16/5; 16/5; 3; ; 3; 3; 3; ; 3; 10/3; 58/19; 31/10; 3; 58/19; ; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; 19/4; 9/2; 5; ; 11/2; 5; 5; ; 24/5; 9/2; 21/4; ; 5; 5; 63/13; 4; 24/5; 63/13; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-north-ferriby-utd; 2017-01-10 16:23:14 GMT+2; 2017-01-14 15:00; e70300-dr003
Wrexham; 8/15; ; 8/15; 4/9; 1/2; ; 1/2; 4/9; 8/15; ; 1/2; 1/2; 1/2; ; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 57/100; ; 1/2; ; ; ; ; 
Draw; 3; ; 29/10; 3; 16/5; ; 16/5; 16/5; 3; ; 3; 3; 3; ; 3; 10/3; 58/19; 31/10; 3; 58/19; 10/3; ; 3; ; ; ; ; 
North Ferriby Utd; 5; ; 19/4; 9/2; 5; ; 11/2; 5; 5; ; 24/5; 9/2; 21/4; ; 5; 5; 19/4; 4; 24/5; 19/4; 53/10; ; 24/5; ; ; ; ; 
