META; english/non-league/national-league/tranmere-v-bromley; 2017-02-06 08:22:24 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; ; 8/13; ; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; 8/13; 10/17; ; 4/7; 10/17; ; ; 3/5; ; ; ; ; 
Draw; 14/5; ; 13/5; ; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; 14/5; 45/17; ; 27/10; 45/17; ; ; 27/10; ; ; ; ; 
Bromley; 9/2; ; 9/2; ; 9/2; ; 19/4; ; 9/2; ; ; ; ; ; ; 9/2; 54/13; ; 21/5; 54/13; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-06 12:22:29 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; ; 8/13; 6/10; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; 8/13; 4/7; 4/7; 4/7; 4/7; ; ; 3/5; ; ; ; ; 
Draw; 14/5; ; 13/5; 13/5; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; 14/5; 45/17; 13/5; 27/10; 45/17; ; ; 27/10; ; ; ; ; 
Bromley; 9/2; ; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; ; ; ; ; ; 9/2; 21/5; 4; 21/5; 21/5; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-06 16:24:57 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 8/13; 8/13; 6/10; 8/13; ; 3/5; ; 4/7; ; 6/10; ; 8/13; ; ; 8/13; 4/7; 4/7; 4/7; 4/7; ; ; 3/5; ; ; ; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 29/10; ; 29/10; ; 14/5; ; 13/5; ; 14/5; ; ; 11/4; 45/17; 13/5; 27/10; 45/17; ; ; 27/10; ; ; ; ; 
Bromley; 9/2; 9/2; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; 9/2; ; 17/4; ; ; 9/2; 17/4; 4; 21/5; 17/4; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-06 20:23:56 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 8/13; 8/13; 6/10; 8/13; ; 3/5; ; 4/7; ; 6/10; 4/7; 8/13; ; ; 8/13; 10/17; 4/7; 4/7; 10/17; ; ; 3/5; ; ; ; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 29/10; ; 29/10; ; 14/5; ; 13/5; 3; 14/5; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; ; ; ; 
Bromley; 9/2; 9/2; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; 9/2; 19/5; 17/4; ; ; 9/2; 74/17; 4; 21/5; 74/17; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-07 00:22:24 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 8/13; 8/13; 6/10; 8/13; ; 3/5; ; 4/7; ; 6/10; 4/7; 8/13; ; ; 8/13; 10/17; 4/7; 4/7; 10/17; ; ; 3/5; ; ; ; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 29/10; ; 29/10; ; 14/5; ; 13/5; 3; 14/5; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; ; ; ; 
Bromley; 9/2; 9/2; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; 9/2; 19/5; 17/4; ; ; 9/2; 74/17; 4; 21/5; 74/17; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-07 04:22:38 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 8/13; 8/13; 6/10; 8/13; ; 3/5; ; 4/7; ; 6/10; 4/7; 8/13; ; ; 8/13; 10/17; 4/7; 4/7; 10/17; ; ; 3/5; ; ; ; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 29/10; ; 29/10; ; 14/5; ; 13/5; 3; 14/5; ; ; 14/5; 11/4; 13/5; 27/10; 11/4; ; ; 27/10; ; ; ; ; 
Bromley; 9/2; 9/2; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; 9/2; 19/5; 17/4; ; ; 9/2; 43/10; 4; 21/5; 43/10; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-07 08:22:46 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 8/13; 8/13; 6/10; 8/13; ; 3/5; ; 4/7; ; 6/10; 4/7; 8/13; ; ; 8/13; 10/17; 4/7; 4/7; 10/17; ; ; 3/5; ; ; ; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 29/10; ; 29/10; ; 14/5; ; 13/5; 3; 14/5; ; ; 14/5; 11/4; 13/5; 27/10; 11/4; ; ; 27/10; ; ; ; ; 
Bromley; 9/2; 9/2; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; 9/2; 19/5; 17/4; ; ; 9/2; 43/10; 4; 21/5; 43/10; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-07 12:24:14 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 8/13; 8/13; 6/10; 8/13; ; 3/5; 8/15; 4/7; ; 6/10; 4/7; 8/13; ; ; 8/13; 4/7; 4/7; 4/7; 4/7; ; ; 3/5; ; ; ; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 29/10; ; 29/10; 11/4; 14/5; ; 13/5; 3; 14/5; ; ; 14/5; 11/4; 13/5; 27/10; 11/4; ; ; 27/10; ; ; ; ; 
Bromley; 9/2; 9/2; 9/2; 4; 9/2; ; 9/2; 9/2; 9/2; ; 9/2; 19/5; 17/4; ; ; 9/2; 22/5; 4; 21/5; 22/5; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-07 16:23:39 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 4/7; 6/10; 4/7; 3/5; 11/20; 3/5; 8/15; 4/7; 3/5; 4/7; 6/10; 3/5; ; 4/7; 8/13; 8/15; 4/7; 4/7; 8/15; 63/100; 4/7; 3/5; ; ; ; ; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 5/2; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; ; 14/5; 14/5; 37/13; 13/5; 27/10; 37/13; 13/4; 14/5; 27/10; ; ; ; ; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 19/4; 9/2; 4; 17/4; ; 19/4; 9/2; 19/4; 4; 21/5; 19/4; 47/10; 4; 21/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-07 20:23:34 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 11/20; 3/5; 8/15; 4/7; 3/5; 4/7; 6/10; 3/5; ; 4/7; 8/13; 8/15; 4/7; 4/7; 8/15; 63/100; 4/7; 3/5; ; ; ; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 5/2; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; ; 14/5; 14/5; 14/5; 13/5; 27/10; 14/5; 13/4; 14/5; 27/10; ; ; ; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 19/4; 9/2; 4; 17/4; ; 19/4; 9/2; 19/4; 4; 21/5; 19/4; 47/10; 4; 21/5; ; ; ; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-08 00:22:33 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 11/20; 3/5; 8/15; 4/7; 3/5; 4/7; 6/10; 3/5; ; 4/7; 8/13; 8/15; 4/7; 4/7; 8/15; 63/100; 4/7; 3/5; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 5/2; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; ; 14/5; 14/5; 14/5; 13/5; 27/10; 14/5; 13/4; 14/5; 27/10; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 19/4; 9/2; 4; 17/4; ; 19/4; 9/2; 47/10; 4; 21/5; 47/10; 47/10; 4; 21/5; ; ; 21/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-08 04:22:32 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 11/20; 3/5; 8/15; 4/7; 3/5; 4/7; 6/10; 3/5; ; 4/7; 8/13; 8/15; 4/7; 4/7; 8/15; 63/100; 4/7; 3/5; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 5/2; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; ; 14/5; 14/5; 14/5; 13/5; 27/10; 14/5; 13/4; 14/5; 27/10; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 19/4; 9/2; 4; 17/4; ; 19/4; 9/2; 47/10; 4; 21/5; 47/10; 47/10; 4; 21/5; ; ; 21/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-08 08:22:11 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; ; 3/5; 4/7; 6/10; 3/5; ; 4/7; 8/13; 8/15; 4/7; 8/15; 8/15; 63/100; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; ; 14/5; 27/10; 11/4; 14/5; ; 14/5; 14/5; 14/5; 13/5; 14/5; 14/5; 13/4; 29/10; 14/5; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; ; 19/4; 9/2; 4; 17/4; ; 19/4; 9/2; 47/10; 4; 9/2; 47/10; 47/10; 4; 9/2; ; ; 23/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-08 12:25:12 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 3/5; 4/7; 6/10; 3/5; ; 4/7; 8/13; 8/15; 4/7; 8/15; ; ; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; ; 14/5; 14/5; 14/5; 13/5; 14/5; ; ; 29/10; 14/5; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 17/4; ; 19/4; 9/2; 47/10; 4; 9/2; ; ; 4; 9/2; ; ; 22/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-08 16:23:13 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 3/5; 4/7; 6/10; 3/5; ; 4/7; 8/13; 8/15; 4/7; 8/15; 8/15; 63/100; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; ; 14/5; 14/5; 14/5; 13/5; 14/5; 14/5; 13/4; 29/10; 14/5; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 17/4; ; 19/4; 9/2; 47/10; 4; 9/2; 47/10; 47/10; 4; 9/2; ; ; 23/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-08 20:24:06 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 3/5; 4/7; 6/10; 3/5; 11/20; 4/7; 8/13; ; 4/7; 8/15; 5/9; 63/100; 6/11; 6/11; ; ; 4/7; 8/15; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 14/5; 13/5; 14/5; 14/5; ; 13/5; 14/5; 37/13; 13/4; 29/10; 14/5; ; ; 14/5; 5/2; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 17/4; 9/2; 19/4; 9/2; ; 4; 9/2; 24/5; 47/10; 4; 9/2; ; ; 23/5; 4; 
