Guiseley; 6; ; ; 11/2; 6; ; 6; ; 6; ; 11/2; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-25 08:23:37 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 1/2; ; 9/20; 4/9; 1/2; ; 1/2; ; 12/25; ; ; ; ; 5/11; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 3; ; ; 3; 31/10; ; 31/10; 3; 3; ; 3; ; 29/10; ; ; ; ; 3; ; ; ; ; ; ; ; ; 21/10; ; 
Guiseley; 6; ; ; 5; 6; ; 13/2; 11/2; 6; ; 11/2; ; 6; ; ; ; ; 6; ; ; ; ; ; ; ; ; 1/4; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-25 12:24:48 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 1/2; ; 1/2; 4/9; 1/2; ; 1/2; ; 12/25; ; ; ; ; 5/11; ; 4/9; ; ; ; 5/11; ; ; 1/50; ; 
Draw; 3; ; ; 3; 31/10; ; 31/10; 3; 3; ; 3; ; 29/10; ; ; ; ; 3; ; 3; ; ; ; 3; ; ; 21/10; ; 
Guiseley; 6; ; ; 5; 6; ; 6; 11/2; 6; ; 11/2; ; 6; ; ; ; ; 6; ; 6; ; ; ; 6; ; ; 1/3; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-25 16:24:02 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 1/2; ; 9/20; 4/9; 1/2; ; 1/2; ; 9/20; ; ; ; 7/15; 5/11; ; 4/9; 7/15; ; ; 5/11; ; ; 1/50; ; 
Draw; 3; ; ; 3; 31/10; ; 31/10; 3; 3; ; 3; ; 3; ; ; ; 56/19; 3; ; 3; 56/19; ; ; 3; ; ; 21/10; ; 
Guiseley; 6; ; ; 5; 6; ; 13/2; 11/2; 6; ; 11/2; ; 13/2; ; ; ; 57/10; 6; ; 6; 57/10; ; ; 6; ; ; 1/3; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-25 20:24:17 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 1/2; ; 9/20; 4/9; 1/2; ; 1/2; ; 9/20; ; ; ; 7/15; 5/11; ; 4/9; 7/15; ; ; 5/11; ; ; 1/50; ; 
Draw; 3; ; ; 3; 31/10; ; 31/10; 3; 3; ; 3; ; 3; ; ; ; 56/19; 3; ; 3; 56/19; ; ; 3; ; ; 21/10; ; 
Guiseley; 6; ; ; 5; 6; ; 13/2; 11/2; 6; ; 11/2; ; 13/2; ; ; ; 57/10; 6; ; 6; 57/10; ; ; 6; ; ; 4/11; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-26 00:22:46 GMT+3; 2016-10-29 15:00; e70300-dr003
