META; english/non-league/national-league/wrexham-v-tranmere; 2017-03-27 04:19:13 GMT+2; 2017-04-01 15:00; e70300-dr003
Draw 1-1; 11/2; 5; 6; 6; 11/2; 5; 13/2; 6; 5; 5; 5; 5; 21/4; 6; 5; ; 6; 11/2; 6; 6; ; 27/5; 6; 5; 6; ; ; ; 
Wolves 1-0; 6; 6; 7; 13/2; 6; 11/2; 7; 7; 6; 6; 6; 6; 11/2; 13/2; 13/2; ; 13/2; 6; 13/2; 13/2; ; 59/10; 13/2; 6; 13/2; ; ; ; 
Wolves 2-1; 8; 15/2; 17/2; 8; 15/2; 15/2; 17/2; 17/2; 8; 8; 8; 15/2; 15/2; 17/2; 15/2; ; 35/4; 31/4; 17/2; 35/4; ; 39/5; 17/2; 8; 17/2; ; ; ; 
Draw 0-0; 17/2; 9; 9; 17/2; 8; 8; 7; 15/2; 8; 17/2; 8; 15/2; 15/2; 9; 9; ; 7; 13/2; 15/2; 7; ; 9; 15/2; ; 15/2; ; ; ; 
Cardiff 1-0; 17/2; 17/2; 10; 17/2; 9; 8; 19/2; 10; 17/2; 17/2; 17/2; 9; 17/2; 9; 8; ; 17/2; 33/4; 9; 17/2; ; 41/5; 9; 8; 9; ; ; ; 
Wolves 2-0; 9; 17/2; 10; 9; 9; 17/2; 19/2; 11; 17/2; 9; 9; 9; 17/2; 9; 8; ; 19/2; 35/4; 9; 19/2; ; 17/2; 9; 17/2; 9; ; ; ; 
Cardiff 2-1; 11; 10; 12; 11; 11; 10; 12; 12; 11; 10; 11; 10; 10; 11; 10; ; 45/4; 21/2; 23/2; 45/4; ; 11; 23/2; 11; 23/2; ; ; ; 
Draw 2-2; 14; 12; 15; 16; 14; 12; 17; 14; 14; 12; 14; 12; 14; 14; 12; ; 63/4; 29/2; 15; 63/4; ; 15; 15; 14; 15; ; ; ; 
Cardiff 2-0; 16; 16; 18; 16; 16; 12; 17; 19; 16; 16; 16; 16; 16; 16; 14; ; 31/2; 31/2; 16; 31/2; ; 16; 16; 16; 16; ; ; ; 
Wolves 3-1; 16; 16; 18; 18; 16; 12; 19; 20; 16; 16; 16; 16; 16; 18; 12; ; 18; 16; 17; 18; ; 17; 17; 16; 17; ; ; ; 
Wolves 3-0; 18; 18; 20; 18; 18; 16; 21; 22; 18; 18; 20; 18; 18; 18; 16; ; 39/2; 17; 17; 39/2; ; 18; 17; 18; 17; ; ; ; 
Wolves 3-2; 28; 28; 30; 33; 25; 20; 33; 30; 33; 25; 28; 22; 28; 28; 22; ; 29; 25; 29; 29; ; 32; 29; 28; 29; ; ; ; 
Cardiff 3-1; 28; 28; 30; 28; 28; 25; 30; 35; 33; 28; 28; 25; 30; 28; 22; ; 53/2; 22; 28; 53/2; ; 31; 28; 28; 28; ; ; ; 
Cardiff 3-2; 33; 40; 40; 40; 33; 28; 40; 45; 40; 33; 33; 28; 40; 35; 28; ; 35; 35; 40; 35; ; 43; 40; 40; 40; ; ; ; 
Any Other Score; ; ; 40; ; ; ; ; 33; 50; ; ; ; ; ; ; ; ; 30; ; ; ; 35; ; ; ; ; ; ; 
Cardiff 3-0; 40; 40; 45; 40; 40; 40; 45; 55; 40; 40; 45; 40; 45; 40; 33; ; 35; 33; 35; 35; ; 45; 35; 40; 35; ; ; ; 
Wolves 4-1; 40; 40; 45; 40; 40; 40; 50; 60; 40; 40; 45; 33; 40; 40; 28; ; 159/4; 40; 38; 159/4; ; 47; 38; 40; 38; ; ; ; 
Wolves 4-0; 40; 50; 50; 50; 40; 40; 55; 70; 50; 40; 50; 40; 50; 40; 40; ; 169/4; 50; 38; 169/4; ; 50; 38; 40; 38; ; ; ; 
