META; english/non-league/national-league/woking-v-braintree-town; 2016-10-23 00:22:47 GMT+3; 2016-10-25 19:45; e70300-dr003
Woking; 20/21; 11/10; ; ; 19/20; ; 1; ; ; ; ; ; 9/10; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 14/5; 23/10; ; ; 29/10; ; 11/4; ; ; ; ; ; 59/20; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-braintree-town; 2016-10-23 04:21:27 GMT+3; 2016-10-25 19:45; e70300-dr003
Woking; 20/21; 11/10; ; ; 1; ; 21/20; ; ; ; 1; ; 19/20; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 11/5; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 14/5; 23/10; ; ; 11/4; ; 13/5; ; ; ; 11/5; ; 11/4; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-braintree-town; 2016-10-23 08:22:48 GMT+3; 2016-10-25 19:45; e70300-dr003
Woking; 20/21; 11/10; ; ; 1; ; 21/20; ; ; ; 1; ; 19/20; ; ; 21/20; ; 19/20; ; ; ; ; ; 19/20; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 11/5; ; 12/5; ; ; 12/5; ; 23/10; ; ; ; ; ; 23/10; ; ; ; ; 
Braintree Town; 14/5; 23/10; ; ; 11/4; ; 13/5; ; ; ; 11/5; ; 11/4; ; ; 5/2; ; 27/10; ; ; ; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/woking-v-braintree-town; 2016-10-23 12:23:02 GMT+3; 2016-10-25 19:45; e70300-dr003
Woking; 20/21; 11/10; ; 20/21; 1; ; 1; 10/11; ; ; 1; ; 19/20; ; ; 1; 19/20; 19/20; ; 20/21; 19/20; 1; ; 19/20; ; ; ; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; ; 12/5; 23/10; ; ; 11/5; ; 12/5; ; ; 12/5; 40/17; 23/10; ; 23/10; 40/17; 13/5; ; 23/10; ; ; ; ; 
Braintree Town; 14/5; 23/10; ; 13/5; 11/4; ; 14/5; 13/5; ; ; 11/5; ; 11/4; ; ; 13/5; 11/4; 27/10; ; 27/10; 11/4; 58/19; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/woking-v-braintree-town; 2016-10-23 16:23:10 GMT+3; 2016-10-25 19:45; e70300-dr003
Woking; 20/21; 11/10; ; 20/21; 1; ; 1; 10/11; ; ; 1; ; 19/20; ; ; 1; 19/20; 19/20; ; 20/21; 19/20; 1; ; 19/20; ; ; ; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; ; 12/5; 23/10; ; ; 11/5; ; 12/5; ; ; 12/5; 40/17; 23/10; ; 23/10; 40/17; 13/5; ; 23/10; ; ; ; ; 
Braintree Town; 14/5; 23/10; ; 13/5; 11/4; ; 14/5; 13/5; ; ; 11/5; ; 11/4; ; ; 13/5; 11/4; 27/10; ; 27/10; 11/4; 58/19; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/woking-v-braintree-town; 2016-10-23 20:23:41 GMT+3; 2016-10-25 19:45; e70300-dr003
Woking; 1; 11/10; ; 20/21; 1; 17/20; 1; 10/11; 1; 1; 1; ; 19/20; ; ; 1; 19/20; 19/20; ; 20/21; 19/20; 1; 1; 19/20; ; ; 1/50; ; 
Draw; 12/5; 23/10; ; 23/10; 5/2; 23/10; 13/5; 23/10; 12/5; 13/5; 11/5; ; 12/5; ; ; 12/5; 40/17; 23/10; ; 23/10; 40/17; 13/5; 12/5; 23/10; ; ; 1/100; ; 
Braintree Town; 11/4; 23/10; ; 23/10; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 11/5; ; 53/20; ; ; 13/5; 11/4; 27/10; ; 27/10; 11/4; 58/19; 9/4; 27/10; ; ; 1/50; ; 
META; english/non-league/national-league/woking-v-braintree-town; 2016-10-24 00:22:50 GMT+3; 2016-10-25 19:45; e70300-dr003
Woking; 1; 21/20; ; 1; 21/20; 17/20; 11/10; 10/11; 21/20; 21/20; 1; 23/20; 21/20; ; ; 21/20; 1; 19/20; 19/20; 20/21; 1; 11/10; 13/12; 19/20; ; ; 21/20; ; 
Draw; 12/5; 5/2; ; 23/10; 5/2; 23/10; 5/2; 23/10; 5/2; 5/2; 11/5; 5/2; 49/20; ; ; 12/5; 40/17; 23/10; 11/5; 23/10; 40/17; 13/5; 12/5; 23/10; ; ; 9/4; ; 
