META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-16 00:25:59 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; ; 2/5; ; ; 1/2; ; 9/20; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; 5; ; ; 5; ; 11/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-16 04:22:31 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; ; 2/5; ; ; 1/2; ; 9/20; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; 5; ; ; 5; ; 11/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-16 08:23:12 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; ; 2/5; ; ; 1/2; ; 9/20; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; 5; ; ; 5; ; 11/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-16 12:24:25 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; ; 2/5; ; ; 1/2; ; 9/20; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 7/2; ; ; 7/2; ; 7/2; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; 5; ; ; 5; ; 11/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-16 16:23:33 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; 4/9; 2/5; ; ; 9/20; ; 2/5; ; ; ; 4/9; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 7/2; ; ; 7/2; ; 7/2; ; ; ; 16/5; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 6; 5; ; ; 11/2; ; 13/2; ; ; ; 13/2; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-16 20:24:18 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; 4/9; 2/5; ; ; 4/9; ; 2/5; 4/9; 4/9; ; 4/9; 1/2; ; ; ; ; 2/5; ; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; 17/5; 7/2; ; ; 7/2; ; 7/2; 16/5; 10/3; ; 16/5; 3; ; ; ; ; 33/10; ; ; ; 33/10; ; ; ; ; ; ; ; 
North Ferriby Utd; 6; 5; ; ; 6; ; 13/2; 11/2; 6; ; 13/2; 9/2; ; ; ; ; 96/17; ; ; ; 96/17; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-17 00:23:20 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; 4/9; 2/5; ; ; 4/9; ; 2/5; 4/9; 4/9; ; 4/9; 1/2; 21/50; ; ; 4/9; 3/8; ; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; 17/5; 7/2; ; ; 7/2; ; 7/2; 16/5; 10/3; ; 16/5; 3; 10/3; ; ; 10/3; 33/10; ; ; ; 33/10; ; ; ; ; ; ; ; 
North Ferriby Utd; 6; 5; ; ; 6; ; 7; 11/2; 6; ; 13/2; 9/2; 6; ; ; 6; 113/19; ; ; ; 96/17; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-17 04:23:11 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; 4/9; 2/5; ; ; 4/9; ; 2/5; 4/9; 4/9; ; 4/9; 1/2; 21/50; ; ; 4/9; 2/5; ; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; 17/5; 7/2; ; ; 7/2; ; 7/2; 16/5; 10/3; ; 16/5; 3; 10/3; ; ; 10/3; 33/10; ; ; ; 33/10; ; ; ; ; ; ; ; 
North Ferriby Utd; 6; 5; ; ; 6; ; 7; 11/2; 6; ; 13/2; 9/2; 6; ; ; 6; 96/17; ; ; ; 96/17; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-17 08:23:09 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; 4/9; 2/5; ; ; 4/9; ; 2/5; 4/9; 4/9; ; 4/9; 1/2; 21/50; ; ; 4/9; 7/18; 5/12; ; 2/5; 7/18; ; ; 5/12; ; ; ; ; 
Draw; 17/5; 7/2; ; ; 7/2; ; 7/2; 16/5; 10/3; ; 16/5; 3; 10/3; ; ; 10/3; 13/4; 16/5; ; 3; 13/4; ; ; 16/5; ; ; ; ; 
North Ferriby Utd; 6; 5; ; ; 6; ; 7; 11/2; 6; ; 13/2; 9/2; 6; ; ; 6; 113/19; 6; ; 6; 113/19; ; ; 6; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-north-ferriby-utd; 2016-10-17 12:24:27 GMT+3; 2016-10-22 15:00; e70300-dr003
Boreham Wood; 4/9; 2/5; ; ; 4/9; ; 2/5; 4/9; 4/9; ; 4/9; 1/2; 21/50; ; ; 4/9; 7/18; 5/12; ; 2/5; 7/18; ; ; 5/12; ; ; ; ; 
Draw; 17/5; 7/2; ; ; 7/2; ; 7/2; 16/5; 10/3; ; 16/5; 3; 10/3; ; ; 10/3; 13/4; 16/5; ; 3; 13/4; ; ; 16/5; ; ; ; ; 
North Ferriby Utd; 6; 5; ; ; 6; ; 7; 11/2; 6; ; 13/2; 9/2; 6; ; ; 6; 113/19; 6; ; 6; 113/19; ; ; 6; ; ; ; ; 
