META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-05 16:25:12 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 17/10; ; 17/10; ; 17/10; ; 7/4; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 5/2; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-05 20:25:28 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 17/10; ; 17/10; ; 17/10; ; 17/10; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-06 00:22:20 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 17/10; ; 17/10; ; 17/10; ; 17/10; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-06 04:22:15 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 17/10; ; 17/10; ; 17/10; ; 17/10; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-06 08:22:13 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; ; 6/4; 7/5; 6/4; ; 31/20; ; 6/4; ; ; ; ; ; ; 6/4; 16/11; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Guiseley; 17/10; ; 17/10; 31/20; 17/10; ; 17/10; ; 13/8; ; ; ; ; ; ; 8/5; 17/11; ; 8/5; 17/11; ; ; 8/5; ; ; ; ; 
Draw; 12/5; ; 9/4; 9/4; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 12/5; 9/4; ; 23/10; 9/4; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-06 12:22:17 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; ; 6/4; 7/5; 6/4; ; 31/20; ; 6/4; ; ; ; ; ; ; 6/4; 16/11; 16/11; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Guiseley; 17/10; ; 17/10; 31/20; 17/10; ; 17/10; ; 13/8; ; ; ; ; ; ; 8/5; 8/5; 17/11; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Draw; 12/5; ; 9/4; 9/4; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 12/5; 23/10; 9/4; 23/10; 23/10; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-06 16:24:39 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; 3/2; 6/4; 7/5; 6/4; ; 31/20; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; 16/11; 16/11; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Guiseley; 17/10; 17/10; 17/10; 31/20; 17/10; ; 17/10; ; 13/8; ; 33/20; ; 33/20; ; ; 7/4; 8/5; 17/11; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Draw; 12/5; 9/4; 9/4; 9/4; 12/5; ; 12/5; ; 12/5; ; 11/5; ; 47/20; ; ; 23/10; 23/10; 9/4; 23/10; 23/10; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-06 20:23:40 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; 3/2; 6/4; 7/5; 6/4; ; 31/20; ; 6/4; ; 6/4; 6/4; 6/4; ; ; 6/4; 16/11; 16/11; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Guiseley; 17/10; 17/10; 17/10; 31/20; 17/10; ; 17/10; ; 13/8; ; 33/20; 6/4; 33/20; ; ; 8/5; 8/5; 17/11; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Draw; 12/5; 9/4; 9/4; 9/4; 12/5; ; 12/5; ; 12/5; ; 11/5; 12/5; 47/20; ; ; 12/5; 23/10; 9/4; 23/10; 23/10; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-07 00:22:12 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; 3/2; 6/4; 7/5; 6/4; ; 31/20; ; 6/4; ; 6/4; 6/4; 6/4; ; ; 6/4; 16/11; 16/11; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Guiseley; 17/10; 17/10; 17/10; 31/20; 17/10; ; 17/10; ; 13/8; ; 33/20; 6/4; 33/20; ; ; 8/5; 8/5; 17/11; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Draw; 12/5; 9/4; 9/4; 9/4; 12/5; ; 12/5; ; 12/5; ; 11/5; 12/5; 47/20; ; ; 12/5; 23/10; 9/4; 23/10; 23/10; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-07 04:22:26 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; 3/2; 6/4; 7/5; 6/4; ; 31/20; 6/4; 6/4; ; 6/4; 6/4; 6/4; ; ; 6/4; 16/11; 16/11; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Guiseley; 17/10; 17/10; 17/10; 31/20; 17/10; ; 17/10; 13/8; 13/8; ; 33/20; 6/4; 33/20; ; ; 8/5; 28/17; 17/11; 8/5; 28/17; ; ; 8/5; ; ; ; ; 
Draw; 12/5; 9/4; 9/4; 9/4; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; 12/5; 47/20; ; ; 12/5; 40/17; 9/4; 23/10; 40/17; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-07 08:22:34 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; 3/2; 6/4; 7/5; 6/4; ; 31/20; 6/4; 6/4; ; 6/4; 6/4; 6/4; ; ; 6/4; 16/11; 16/11; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Guiseley; 17/10; 17/10; 17/10; 31/20; 17/10; ; 17/10; 13/8; 13/8; ; 33/20; 6/4; 33/20; ; ; 8/5; 28/17; 17/11; 8/5; 28/17; ; ; 8/5; ; ; ; ; 
Draw; 12/5; 9/4; 9/4; 9/4; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; 12/5; 47/20; ; ; 12/5; 40/17; 9/4; 23/10; 40/17; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-07 12:23:58 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 6/4; 3/2; 6/4; 7/5; 6/4; ; 31/20; 6/4; 6/4; ; 6/4; 6/4; 6/4; ; ; 6/4; 16/11; 16/11; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Guiseley; 17/10; 17/10; 17/10; 31/20; 17/10; ; 17/10; 13/8; 13/8; ; 33/20; 6/4; 33/20; ; ; 8/5; 8/5; 17/11; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Draw; 12/5; 9/4; 9/4; 9/4; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; 12/5; 47/20; ; ; 12/5; 40/17; 9/4; 23/10; 40/17; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-07 16:23:22 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 11/8; 7/5; 11/8; 13/10; 29/20; 27/20; 7/5; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; ; 11/8; 7/5; 23/17; 16/11; 6/4; 23/17; 29/20; 9/7; 6/4; ; ; ; 13/10; 
Guiseley; 15/8; 9/5; 37/20; 7/4; 9/5; 13/8; 15/8; 15/8; 9/5; 9/5; 7/4; 9/5; 9/5; ; 9/5; 15/8; 7/4; 17/11; 8/5; 7/4; 101/50; 17/10; 8/5; ; ; ; 9/5; 
Draw; 12/5; 23/10; 9/4; 11/5; 12/5; 9/4; 12/5; 11/5; 23/10; 12/5; 9/4; 11/5; 23/10; ; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 23/10; ; ; ; 21/10; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-07 20:23:15 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 11/8; 7/5; 11/8; 13/10; 29/20; 27/20; 7/5; 11/8; 7/5; 7/5; 11/8; 11/8; 7/5; ; 11/8; 7/5; 23/17; 16/11; 6/4; 23/17; 29/20; 9/7; 6/4; ; ; ; 11/8; 
Guiseley; 15/8; 9/5; 9/5; 7/4; 9/5; 13/8; 15/8; 15/8; 9/5; 9/5; 7/4; 9/5; 9/5; ; 9/5; 15/8; 7/4; 17/11; 8/5; 7/4; 101/50; 17/10; 8/5; ; ; ; 9/5; 
Draw; 12/5; 23/10; 9/4; 11/5; 12/5; 9/4; 12/5; 11/5; 23/10; 12/5; 9/4; 11/5; 23/10; ; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 23/10; ; ; ; 21/10; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-08 00:22:20 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 11/8; 7/5; 11/8; 13/10; 29/20; 27/20; 7/5; 11/8; 7/5; 7/5; 11/8; 11/8; 7/5; ; 11/8; 7/5; 7/5; 16/11; 6/4; 7/5; 29/20; 9/7; 6/4; ; ; 11/8; 13/10; 
Guiseley; 15/8; 9/5; 9/5; 7/4; 9/5; 13/8; 15/8; 15/8; 9/5; 9/5; 7/4; 9/5; 9/5; ; 9/5; 15/8; 7/4; 17/11; 8/5; 7/4; 101/50; 17/10; 8/5; ; ; 9/5; 9/5; 
Draw; 12/5; 23/10; 9/4; 11/5; 12/5; 9/4; 12/5; 11/5; 23/10; 12/5; 9/4; 11/5; 23/10; ; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 23/10; ; ; 23/10; 21/10; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-08 04:22:21 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 11/8; 7/5; 11/8; 13/10; 29/20; 27/20; 7/5; 11/8; 7/5; 7/5; 11/8; 11/8; 7/5; ; 11/8; 7/5; 7/5; 16/11; 6/4; 7/5; 29/20; 9/7; 6/4; ; ; 11/8; 13/10; 
Guiseley; 15/8; 9/5; 9/5; 7/4; 9/5; 13/8; 15/8; 15/8; 9/5; 9/5; 7/4; 9/5; 9/5; ; 9/5; 15/8; 7/4; 17/11; 8/5; 7/4; 101/50; 17/10; 8/5; ; ; 9/5; 9/5; 
Draw; 12/5; 23/10; 9/4; 11/5; 12/5; 9/4; 12/5; 11/5; 23/10; 12/5; 9/4; 11/5; 23/10; ; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 23/10; ; ; 23/10; 21/10; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-08 08:22:00 GMT+2; 2017-02-11 15:00; e70300-dr003
Eastleigh; 11/8; 7/5; 11/8; 13/10; 29/20; 27/20; 7/5; 11/8; ; 7/5; 11/8; 11/8; 7/5; ; 11/8; 7/5; 7/5; 16/11; 7/5; 7/5; 29/20; 9/7; 7/5; ; ; 11/8; 13/10; 
Guiseley; 15/8; 9/5; 9/5; 7/4; 9/5; 13/8; 15/8; 15/8; ; 9/5; 7/4; 9/5; 9/5; ; 9/5; 15/8; 7/4; 17/11; 7/4; 7/4; 101/50; 17/10; 7/4; ; ; 9/5; 9/5; 
Draw; 12/5; 23/10; 9/4; 11/5; 12/5; 9/4; 12/5; 11/5; ; 12/5; 9/4; 11/5; 23/10; ; 12/5; 23/10; 23/10; 9/4; 9/4; 23/10; 5/2; 12/5; 9/4; ; ; 23/10; 21/10; 
META; english/non-league/national-league/guiseley-v-eastleigh; 2017-02-08 12:24:49 GMT+2; 2017-02-11 15:00; e70300-dr003
