META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-11 20:23:55 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 00:22:42 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 10/11; 1; ; 10/11; ; ; 20/21; ; ; ; 11/10; ; 10/11; ; ; 1; 13/15; ; ; 13/15; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; ; ; 13/5; ; ; ; 11/5; ; 51/20; ; ; 5/2; 13/5; ; ; 13/5; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; ; ; 27/10; ; ; ; 2; ; 27/10; ; ; 5/2; 14/5; ; ; 14/5; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 04:23:00 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 10/11; 1; ; 10/11; ; ; 20/21; ; ; ; 11/10; ; 10/11; ; ; 1; 13/15; ; ; 13/15; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; ; ; 13/5; ; ; ; 11/5; ; 51/20; ; ; 5/2; 28/11; ; ; 28/11; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; ; ; 27/10; ; ; ; 2; ; 27/10; ; ; 5/2; 14/5; ; ; 14/5; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 08:23:39 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 10/11; 1; ; 10/11; 10/11; ; 19/20; 5/6; ; ; 11/10; 10/11; 10/11; ; ; 19/20; 10/11; ; 5/6; 10/11; ; ; 8/9; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; 13/5; ; 13/5; 5/2; ; ; 11/5; 5/2; 51/20; ; ; 5/2; 28/11; ; 5/2; 28/11; ; ; 5/2; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; 29/10; ; 11/4; 11/4; ; ; 2; 12/5; 27/10; ; ; 13/5; 11/4; ; 27/10; 11/4; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 12:22:43 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 10/11; 1; ; 10/11; 10/11; ; 19/20; 5/6; ; ; 11/10; 10/11; 10/11; ; ; 19/20; 10/11; ; 5/6; 10/11; 1; ; 8/9; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; 13/5; ; 13/5; 5/2; ; ; 11/5; 5/2; 51/20; ; ; 5/2; 28/11; ; 5/2; 28/11; 13/5; ; 5/2; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; 29/10; ; 11/4; 11/4; ; ; 2; 12/5; 27/10; ; ; 13/5; 11/4; ; 27/10; 11/4; 61/20; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 16:22:49 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 10/11; 1; ; 10/11; 19/20; ; 19/20; 5/6; ; ; 11/10; 10/11; 10/11; ; 1; 19/20; 10/11; ; 5/6; 10/11; 1; ; 8/9; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; 5/2; ; 13/5; 5/2; ; ; 11/5; 5/2; 51/20; ; 12/5; 5/2; 28/11; ; 5/2; 28/11; 13/5; ; 5/2; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; 14/5; ; 27/10; 11/4; ; ; 2; 12/5; 27/10; ; 13/5; 13/5; 27/10; ; 27/10; 27/10; 61/20; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 20:24:23 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 19/20; 1; 1; 10/11; 20/21; ; 1; 5/6; ; 1; 11/10; 10/11; 19/20; ; 1; 1; 19/20; ; 5/6; 19/20; 1; ; 8/9; ; ; ; ; 
Draw; 13/5; 12/5; 47/20; 5/2; 5/2; ; 5/2; 5/2; ; 5/2; 11/5; 12/5; 5/2; ; 12/5; 5/2; 5/2; ; 5/2; 5/2; 13/5; ; 5/2; ; ; ; ; 
Sutton Utd; 13/5; 5/2; 13/5; 5/2; 11/4; ; 13/5; 11/4; ; 5/2; 2; 12/5; 13/5; ; 13/5; 5/2; 13/5; ; 27/10; 13/5; 61/20; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 00:22:12 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 19/20; 1; 1; 10/11; 1; ; 1; 10/11; ; 1; 11/10; 10/11; 19/20; ; 1; 1; 19/20; ; 5/6; 19/20; 1; ; 8/9; ; ; ; 20/21; 
Draw; 13/5; 12/5; 47/20; 5/2; 5/2; ; 5/2; 5/2; ; 5/2; 11/5; 12/5; 5/2; ; 12/5; 5/2; 27/11; ; 5/2; 27/11; 13/5; ; 5/2; ; ; ; 9/4; 
Sutton Utd; 13/5; 5/2; 13/5; 5/2; 13/5; ; 13/5; 13/5; ; 5/2; 2; 12/5; 13/5; ; 13/5; 5/2; 13/5; ; 27/10; 13/5; 61/20; ; 27/10; ; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 04:21:45 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 19/20; 1; 1; 10/11; 1; ; 1; 10/11; ; 1; 11/10; 20/21; 19/20; ; 1; 1; 1; ; 1; 1; 1; ; 1; ; ; ; 20/21; 
Draw; 13/5; 5/2; 47/20; 5/2; 5/2; ; 5/2; 5/2; ; 5/2; 11/5; 11/5; 5/2; ; 12/5; 5/2; 27/11; ; 5/2; 27/11; 13/5; ; 5/2; ; ; ; 9/4; 
Sutton Utd; 13/5; 13/5; 5/2; 5/2; 13/5; ; 13/5; 13/5; ; 13/5; 2; 5/2; 13/5; ; 13/5; 5/2; 5/2; ; 23/10; 5/2; 61/20; ; 40/17; ; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 08:22:14 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 19/20; 1; 1; 10/11; 1; ; 1; 10/11; ; 1; 11/10; 20/21; 19/20; ; 1; 1; 19/20; ; 1; 19/20; 1; ; 1; ; ; ; 20/21; 
Draw; 13/5; 5/2; 23/10; 5/2; 12/5; ; 5/2; 12/5; ; 12/5; 11/5; 9/4; 12/5; ; 5/2; 5/2; 12/5; ; 5/2; 12/5; 13/5; ; 5/2; ; ; ; 11/5; 
Sutton Utd; 13/5; 13/5; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; 13/5; 2; 5/2; 53/20; ; 5/2; 5/2; 27/10; ; 23/10; 27/10; 61/20; ; 40/17; ; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 12:23:32 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 1; 1; 21/20; 1; 10/11; 21/20; 10/11; ; 1; 11/10; 20/21; 19/20; ; 21/20; 1; 19/20; 19/20; 20/21; 19/20; 1; 1; 28/29; ; ; ; 20/21; 
Draw; 13/5; 5/2; 23/10; 12/5; 12/5; 9/4; 12/5; 12/5; ; 12/5; 11/5; 21/10; 12/5; ; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 13/5; 40/17; 9/4; ; ; ; 11/5; 
Sutton Utd; 5/2; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 13/5; ; 11/4; 2; 13/5; 53/20; ; 13/5; 13/5; 11/4; 12/5; 27/10; 11/4; 61/20; 23/10; 27/10; ; ; ; 5/2; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 16:26:56 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 1; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; ; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 11/10; 28/29; ; ; ; 21/20; 
Draw; 13/5; 5/2; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; ; 12/5; 11/5; 11/5; 47/20; ; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 28/11; 9/4; ; ; ; 21/10; 
Sutton Utd; 5/2; 13/5; 12/5; 13/5; 13/5; 9/4; 5/2; 13/5; ; 5/2; 2; 23/10; 13/5; ; 13/5; 5/2; 13/5; 12/5; 27/10; 13/5; 68/25; 11/5; 27/10; ; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 20:24:10 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; ; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 11/10; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; ; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 5/2; 28/11; 9/4; ; 9/4; ; ; 21/10; 
Sutton Utd; 5/2; 5/2; 12/5; 13/5; 13/5; 9/4; 5/2; 13/5; ; 13/5; 2; 23/10; 13/5; ; 13/5; 5/2; 45/17; 12/5; 27/10; 45/17; 68/25; 11/5; 27/10; ; 27/10; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 00:22:17 GMT+2; 2017-03-14 19:45; e70300-dr003
Forest Green; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 11/10; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 5/2; 28/11; 9/4; ; 9/4; ; ; 21/10; 
Sutton Utd; 5/2; 5/2; 12/5; 13/5; 13/5; 9/4; 5/2; 13/5; 13/5; 13/5; 2; 23/10; 13/5; ; 13/5; 5/2; 45/17; 12/5; 27/10; 45/17; 68/25; 11/5; 27/10; ; 27/10; ; ; 12/5; 
