META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-05 16:25:03 GMT+2; 2017-02-11 15:00; e70300-dr003
Braintree Town; 4/6; ; 4/6; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; ; 5/2; ; 14/5; ; 14/5; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 4; ; 4; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-05 20:25:19 GMT+2; 2017-02-11 15:00; e70300-dr003
Braintree Town; 4/6; ; 4/6; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; ; 5/2; ; 14/5; ; 14/5; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 4; ; 4; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-06 00:22:13 GMT+2; 2017-02-11 15:00; e70300-dr003
Braintree Town; 4/6; ; 4/6; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; ; 5/2; ; 14/5; ; 14/5; ; 11/4; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 4; ; 4; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-06 04:22:08 GMT+2; 2017-02-11 15:00; e70300-dr003
