META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-22 20:23:57 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-23 00:22:45 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 2/7; 1/4; ; ; 3/10; ; 2/7; ; ; ; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/4; 9/2; ; ; 21/5; ; 9/2; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 9; 9; ; ; 9; ; 10; ; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-23 04:21:25 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 2/7; 1/4; ; ; 2/7; ; 2/7; ; ; ; 1/4; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/4; 9/2; ; ; 9/2; ; 9/2; ; ; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 9; 9; ; ; 10; ; 10; ; ; ; 7; ; 10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-23 08:22:46 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 2/7; 1/4; ; ; 2/7; ; 1/4; ; ; ; 1/4; ; 1/4; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; 
Draw; 17/4; 9/2; ; ; 9/2; ; 9/2; ; ; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; ; 43/10; ; ; ; ; 
North Ferriby Utd; 9; 9; ; ; 10; ; 11; ; ; ; 7; ; 10; ; ; ; ; ; ; ; ; ; ; 9; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-23 12:23:00 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 2/7; 1/4; ; 1/4; 2/7; ; 1/4; 2/9; ; ; 1/4; ; 1/4; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; 
Draw; 17/4; 9/2; ; 15/4; 9/2; ; 9/2; 9/2; ; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; ; 43/10; ; ; ; ; 
North Ferriby Utd; 9; 9; ; 9; 10; ; 11; 9; ; ; 7; ; 10; ; ; ; ; ; ; ; ; ; ; 9; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-23 16:23:08 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 2/7; 1/4; ; 1/4; 2/7; ; 1/4; 2/9; ; ; 1/4; ; 1/4; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; 
Draw; 17/4; 9/2; ; 15/4; 9/2; ; 9/2; 9/2; ; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; ; 43/10; ; ; ; ; 
North Ferriby Utd; 9; 9; ; 9; 10; ; 11; 9; ; ; 7; ; 10; ; ; ; ; ; ; ; ; ; ; 9; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-23 20:23:38 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 1/4; 1/4; ; 1/4; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; ; 1/4; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; 1/50; ; 
Draw; 9/2; 9/2; ; 4; 9/2; 15/4; 9/2; 9/2; 9/2; 17/4; 4; ; 17/4; ; ; ; ; ; ; ; ; ; ; 43/10; ; ; 1/100; ; 
North Ferriby Utd; 11; 9; ; 17/2; 10; 8; 12; 9; 10; 10; 7; ; 11; ; ; ; ; ; ; ; ; ; ; 9; ; ; 1/50; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-24 00:22:48 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 1/4; 2/7; ; 1/4; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; 2/7; 1/4; ; ; ; ; ; 1/4; ; ; ; ; 1/4; ; ; 1/4; ; 
Draw; 9/2; 4; ; 15/4; 9/2; 15/4; 19/4; 9/2; 9/2; 17/4; 4; 4; 9/2; ; ; ; ; ; 4; ; ; ; ; 43/10; ; ; 21/5; ; 
North Ferriby Utd; 11; 9; ; 8; 10; 8; 11; 9; 9; 10; 7; 11; 10; ; ; ; ; ; 33/4; ; ; ; ; 9; ; ; 52/5; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-24 04:22:50 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 1/4; 2/7; ; 1/4; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; 2/7; 1/4; ; ; ; ; ; 1/4; ; ; ; ; 1/4; ; ; 1/4; ; 
Draw; 9/2; 4; ; 15/4; 9/2; 15/4; 19/4; 9/2; 9/2; 17/4; 4; 4; 9/2; ; ; ; ; ; 4; ; ; ; ; 43/10; ; ; 22/5; ; 
North Ferriby Utd; 11; 9; ; 8; 10; 8; 11; 9; 9; 10; 7; 11; 10; ; ; ; ; ; 33/4; ; ; ; ; 9; ; ; 57/5; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-24 08:23:18 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 1/4; 2/7; ; 1/4; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; 2/7; 1/4; ; ; ; ; ; 1/4; ; ; ; ; 1/4; ; ; 1/4; ; 
Draw; 9/2; 4; ; 15/4; 9/2; 15/4; 19/4; 9/2; 9/2; 17/4; 4; 4; 9/2; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; 22/5; ; 
North Ferriby Utd; 11; 9; ; 9; 10; 8; 11; 9; 9; 10; 7; 11; 10; ; ; ; ; ; 33/4; ; ; ; ; 9; ; ; 57/5; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-24 12:23:43 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 1/4; 2/7; ; 2/9; 1/4; 1/5; 2/9; 2/9; 1/4; 1/4; 1/4; 2/7; 1/4; ; 1/4; ; ; ; 1/4; ; ; ; ; 1/4; ; ; 1/4; ; 
Draw; 9/2; 4; ; 4; 9/2; 19/5; 19/4; 9/2; 9/2; 9/2; 9/2; 4; 17/4; ; 9/2; ; ; ; 4; ; ; ; ; 9/2; ; ; 21/5; ; 
North Ferriby Utd; 11; 9; ; 10; 11; 19/2; 12; 9; 10; 11; 11; 11; 11; ; 10; ; ; ; 33/4; ; ; ; ; 9; ; ; 59/5; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-24 16:23:44 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 2/9; 2/9; 1/4; 1/4; 1/4; 3/10; 2/9; 2/9; 1/4; ; ; ; 1/4; ; ; ; ; 1/4; ; ; 1/4; ; 
Draw; 9/2; 4; 17/4; 15/4; 9/2; 4; 5; 9/2; 19/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; ; ; ; 4; ; ; ; ; 9/2; ; ; 23/5; ; 
North Ferriby Utd; 11; 9; 10; 10; 11; 19/2; 12; 9; 11; 11; 11; 10; 12; 11; 10; ; ; ; 33/4; ; ; ; ; 9; ; ; 62/5; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-24 20:24:35 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 2/9; 1/4; 1/4; 2/9; 1/4; 1/5; 2/9; 1/5; 1/4; 1/4; 1/4; 1/4; 2/9; 2/9; 1/4; ; ; ; 1/4; ; ; ; ; 1/4; ; ; 1/4; ; 
Draw; 19/4; 17/4; 17/4; 15/4; 9/2; 4; 5; 9/2; 19/4; 19/4; 19/4; 9/2; 9/2; 9/2; 9/2; ; ; ; 4; ; ; ; ; 9/2; ; ; 24/5; ; 
North Ferriby Utd; 12; 10; 10; 10; 11; 19/2; 12; 11; 11; 12; 12; 12; 12; 11; 10; ; ; ; 33/4; ; ; ; ; 9; ; ; 62/5; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-25 00:23:12 GMT+3; 2016-10-25 19:45; e70300-dr003
Tranmere; 2/9; 1/4; 1/4; 2/9; 1/4; 1/5; 2/9; 1/5; 1/4; 1/4; 1/4; 1/4; 2/9; 2/9; 1/4; ; ; ; 1/4; ; ; ; ; 1/4; ; ; 1/4; ; 
Draw; 19/4; 17/4; 17/4; 4; 9/2; 4; 5; 9/2; 19/4; 19/4; 19/4; 9/2; 9/2; 9/2; 9/2; ; ; ; 4; ; ; ; ; 9/2; ; ; 24/5; ; 
North Ferriby Utd; 12; 10; 10; 11; 11; 19/2; 12; 11; 11; 12; 12; 12; 12; 10; 10; ; ; ; 33/4; ; ; ; ; 9; ; ; 66/5; ; 
META; english/non-league/national-league/tranmere-v-north-ferriby-utd; 2016-10-25 04:23:26 GMT+3; 2016-10-25 19:45; e70300-dr003
