META; english/non-league/national-league/aldershot-v-barrow; 2017-02-05 16:25:01 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; ; 6/5; ; 6/5; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 11/5; ; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 21/10; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-05 20:25:14 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; ; 6/5; ; 6/5; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 11/5; ; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 21/10; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-06 00:22:11 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; ; 6/5; ; 6/5; ; 6/5; ; 6/5; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 11/5; ; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 21/10; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-06 04:22:05 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; ; 6/5; ; 6/5; ; 6/5; ; 6/5; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 11/5; ; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 21/10; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-06 08:22:03 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; ; 6/5; ; 6/5; ; 6/5; ; 6/5; ; ; ; 5/4; ; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Barrow; 11/5; ; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; ; 21/10; ; ; 11/5; 39/19; ; 21/10; 39/19; ; ; 21/10; ; ; ; ; 
Draw; 12/5; ; 21/10; ; 12/5; ; 12/5; ; 12/5; ; ; ; 23/10; ; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-06 12:22:08 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; ; 6/5; 23/20; 5/4; ; 6/5; ; 5/4; ; ; ; 5/4; ; ; 6/5; 15/13; 15/13; 6/5; 15/13; ; ; 6/5; ; ; ; ; 
Barrow; 11/5; ; 9/4; 21/10; 11/5; ; 9/4; ; 11/5; ; ; ; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; 23/10; ; 12/5; ; 23/10; ; ; ; 23/10; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-06 16:24:25 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; 6/5; 6/5; 23/20; 5/4; ; 6/5; ; 5/4; ; 6/5; ; 5/4; ; ; 6/5; 15/13; 15/13; 6/5; 15/13; ; ; 6/5; ; ; ; ; 
Barrow; 11/5; 2; 9/4; 21/10; 11/5; ; 11/5; ; 11/5; ; 11/5; ; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 12/5; 21/10; 21/10; 23/10; ; 12/5; ; 23/10; ; 21/10; ; 23/10; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-06 20:23:29 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; 6/5; 6/5; 23/20; 5/4; ; 6/5; ; 5/4; ; 6/5; 5/4; 5/4; ; ; 6/5; 6/5; 15/13; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Barrow; 11/5; 2; 9/4; 21/10; 11/5; ; 11/5; ; 11/5; ; 11/5; 9/5; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 12/5; 21/10; 21/10; 23/10; ; 12/5; ; 23/10; ; 21/10; 12/5; 23/10; ; ; 12/5; 9/4; 21/10; 11/5; 9/4; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-07 00:22:03 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; 6/5; 6/5; 23/20; 5/4; ; 6/5; ; 5/4; ; 6/5; 5/4; 5/4; ; ; 6/5; 15/13; 15/13; 6/5; 15/13; ; ; 6/5; ; ; ; ; 
Barrow; 11/5; 2; 9/4; 21/10; 11/5; ; 11/5; ; 11/5; ; 11/5; 9/5; 21/10; ; ; 11/5; 28/13; 21/10; 21/10; 28/13; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 12/5; 21/10; 21/10; 23/10; ; 12/5; ; 23/10; ; 21/10; 12/5; 23/10; ; ; 12/5; 9/4; 21/10; 11/5; 9/4; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-07 04:22:16 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; 6/5; 6/5; 23/20; 5/4; ; 6/5; 11/10; 5/4; ; 6/5; 5/4; 5/4; ; ; 6/5; 6/5; 15/13; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Barrow; 11/5; 2; 9/4; 21/10; 11/5; ; 11/5; 11/5; 11/5; ; 11/5; 9/5; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 12/5; 21/10; 21/10; 23/10; ; 12/5; 11/5; 23/10; ; 21/10; 12/5; 23/10; ; ; 12/5; 9/4; 21/10; 11/5; 9/4; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-07 08:22:25 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; 6/5; 6/5; 23/20; 5/4; ; 6/5; 11/10; 5/4; ; 6/5; 5/4; 5/4; ; ; 6/5; 6/5; 15/13; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Barrow; 11/5; 2; 9/4; 21/10; 11/5; ; 11/5; 11/5; 11/5; ; 11/5; 9/5; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 12/5; 21/10; 21/10; 23/10; ; 12/5; 11/5; 23/10; ; 21/10; 12/5; 23/10; ; ; 12/5; 9/4; 21/10; 11/5; 9/4; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-07 12:23:43 GMT+2; 2017-02-11 15:00; e70300-dr003
Aldershot; 6/5; 6/5; 6/5; 23/20; 6/5; ; 6/5; 11/10; 5/4; ; 6/5; 5/4; 5/4; ; ; 6/5; 15/13; 15/13; 6/5; 15/13; ; ; 6/5; ; ; ; ; 
Barrow; 11/5; 2; 9/4; 21/10; 11/5; ; 11/5; 11/5; 11/5; ; 11/5; 9/5; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 12/5; 21/10; 21/10; 12/5; ; 12/5; 11/5; 23/10; ; 21/10; 12/5; 23/10; ; ; 12/5; 23/10; 21/10; 11/5; 23/10; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-barrow; 2017-02-07 16:23:13 GMT+2; 2017-02-11 15:00; e70300-dr003
