META; english/non-league/national-league/boreham-wood-v-dagenham-redbridge; 2017-04-10 16:43:26 GMT+3; 2017-04-14 15:00; e70300-dr003
Dagenham & Redbridge; 11/8; 13/8; 13/10; ; 7/5; ; 29/20; ; 7/5; ; 13/10; 5/4; 27/20; ; ; 11/8; 13/10; 13/10; 27/20; 13/10; 6/4; ; 23/17; ; 23/17; ; ; ; 
Boreham Wood; 2; 7/5; 19/10; ; 19/10; ; 19/10; ; 2; ; 15/8; 17/10; 39/20; ; ; 15/8; 19/10; 17/10; 9/5; 19/10; 101/50; ; 24/13; ; 24/13; ; ; ; 
Draw; 9/4; 23/10; 23/10; ; 23/10; ; 23/10; ; 9/4; ; 9/4; 23/10; 11/5; ; ; 9/4; 11/5; 9/4; 9/4; 11/5; 12/5; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-dagenham-redbridge; 2017-04-11 12:58:01 GMT+3; 2017-04-14 15:00; e70300-dr003
Dagenham & Redbridge; 11/8; 13/8; 13/10; ; 7/5; ; 7/5; 13/10; 7/5; ; 13/10; 5/4; 27/20; ; ; 11/8; 13/10; 13/10; 27/20; 13/10; 6/4; ; 23/17; ; 23/17; ; ; ; 
Boreham Wood; 2; 7/5; 19/10; ; 19/10; ; 19/10; 15/8; 2; ; 15/8; 17/10; 39/20; ; ; 15/8; 24/13; 17/10; 9/5; 24/13; 101/50; ; 24/13; ; 24/13; ; ; ; 
Draw; 9/4; 23/10; 23/10; ; 12/5; ; 12/5; 9/4; 9/4; ; 9/4; 23/10; 11/5; ; ; 23/10; 11/5; 9/4; 9/4; 11/5; 12/5; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-dagenham-redbridge; 2017-04-12 12:29:18 GMT+3; 2017-04-14 15:00; e70300-dr003
Boreham Wood; 17/10; 13/8; 33/20; 8/5; 17/10; ; 17/10; 17/10; 13/8; 7/4; 33/20; 17/10; 17/10; 17/10; 13/8; 8/5; 17/10; 17/10; 8/5; 17/10; 43/25; 20/13; 8/5; ; 8/5; ; ; 8/5; 
Dagenham & Redbridge; 13/8; 7/5; 8/5; 8/5; 13/8; ; 8/5; 6/4; 8/5; 8/5; 31/20; 31/20; 31/20; 8/5; 17/10; 8/5; 17/11; 13/10; 6/4; 17/11; 7/4; 20/13; 17/11; ; 17/11; ; ; 6/4; 
Draw; 11/5; 23/10; 21/10; 21/10; 9/4; ; 23/10; 21/10; 9/4; 11/5; 21/10; 19/10; 11/5; 2; 21/10; 11/5; 28/13; 9/4; 21/10; 28/13; 12/5; 11/5; 28/13; ; 28/13; ; ; 2; 
