META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-23 16:23:34 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; ; 7/5; ; 7/5; ; ; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 19/10; ; ; ; 19/10; ; 19/10; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 23/10; ; 23/10; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-23 20:24:13 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; ; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 19/10; ; ; ; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-24 00:23:18 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; ; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 19/10; ; ; ; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-24 04:23:19 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; ; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 19/10; ; ; ; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-macclesfield; 2016-10-24 08:23:46 GMT+3; 2016-10-29 15:00; e70300-dr003
Macclesfield; 11/8; ; ; ; 7/5; ; 11/8; ; 13/10; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 19/10; ; ; ; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
