META; english/non-league/national-league/north-ferriby-utd-v-eastleigh; 2017-04-10 16:43:50 GMT+3; 2017-04-14 15:00; e70300-dr003
Eastleigh; 4/5; 10/11; 4/5; ; 4/5; ; 4/5; ; 4/5; ; 3/4; 3/4; 10/13; ; ; 4/5; 10/13; 3/4; 8/11; 10/13; 9/10; ; 10/13; ; 10/13; ; ; ; 
Draw; 13/5; 5/2; 13/5; ; 13/5; ; 13/5; ; 13/5; ; 13/5; 5/2; 51/20; ; ; 13/5; 5/2; 5/2; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
North Ferriby Utd; 10/3; 5/2; 16/5; ; 10/3; ; 17/5; ; 10/3; ; 16/5; 3; 10/3; ; ; 16/5; 13/4; 3; 3; 13/4; 67/20; ; 13/4; ; 13/4; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-eastleigh; 2017-04-11 12:58:23 GMT+3; 2017-04-14 15:00; e70300-dr003
Eastleigh; 4/5; 10/11; 4/5; ; 4/5; ; 4/5; 8/11; 4/5; ; 3/4; 3/4; 10/13; ; ; 4/5; 10/13; 3/4; 8/11; 10/13; 9/10; ; 10/13; ; 10/13; ; ; ; 
Draw; 13/5; 5/2; 13/5; ; 13/5; ; 13/5; 13/5; 13/5; ; 13/5; 5/2; 51/20; ; ; 13/5; 5/2; 5/2; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
North Ferriby Utd; 10/3; 5/2; 16/5; ; 7/2; ; 17/5; 10/3; 10/3; ; 16/5; 3; 10/3; ; ; 16/5; 16/5; 3; 3; 16/5; 67/20; ; 13/4; ; 13/4; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-eastleigh; 2017-04-12 12:29:45 GMT+3; 2017-04-14 15:00; e70300-dr003
Eastleigh; 8/11; 5/6; 3/4; 4/5; 8/11; ; 3/4; 8/11; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 5/7; 3/4; 8/11; 5/7; 21/25; 3/4; 8/11; ; 8/11; ; ; 8/11; 
Draw; 11/4; 5/2; 13/5; 5/2; 11/4; ; 11/4; 13/5; 11/4; 14/5; 13/5; 13/5; 27/10; 12/5; 11/4; 27/10; 27/10; 5/2; 13/5; 27/10; 57/20; 13/5; 45/17; ; 45/17; ; ; 5/2; 
North Ferriby Utd; 7/2; 11/4; 10/3; 3; 7/2; ; 7/2; 10/3; 10/3; 10/3; 16/5; 3; 10/3; 10/3; 7/2; 10/3; 38/11; 3; 3; 38/11; 71/20; 56/19; 13/4; ; 13/4; ; ; 3; 
