META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-23 00:22:31 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 11/10; 1; ; ; 11/10; ; 21/20; ; ; ; ; ; 11/10; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 12/5; 5/2; ; ; 23/10; ; 5/2; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-23 04:21:10 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 11/10; 1; ; ; 11/10; ; 21/20; ; ; ; 10/11; ; 21/20; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 12/5; ; 5/2; ; ; ; 11/5; ; 47/20; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 12/5; 5/2; ; ; 5/2; ; 5/2; ; ; ; 5/2; ; 49/20; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-23 08:22:29 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 11/10; 1; ; ; 11/10; ; 21/20; 1; ; ; 10/11; ; 21/20; ; ; 21/20; ; 21/20; ; 21/20; 21/20; ; ; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 12/5; ; 12/5; 23/10; ; ; 11/5; ; 47/20; ; ; 12/5; ; 11/5; ; 11/5; 23/10; ; ; 11/5; ; ; ; ; 
Guiseley; 12/5; 5/2; ; ; 5/2; ; 13/5; 5/2; ; ; 5/2; ; 49/20; ; ; 5/2; ; 5/2; ; 5/2; 5/2; ; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-23 12:22:44 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 11/10; 1; ; 1; 11/10; ; 21/20; 1; ; ; 10/11; ; 21/20; ; ; 21/20; 21/20; 21/20; ; 21/20; 21/20; 6/5; ; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; ; 11/5; 12/5; ; 12/5; 23/10; ; ; 11/5; ; 47/20; ; ; 12/5; 23/10; 11/5; ; 11/5; 23/10; 5/2; ; 11/5; ; ; ; ; 
Guiseley; 12/5; 5/2; ; 12/5; 5/2; ; 13/5; 5/2; ; ; 5/2; ; 49/20; ; ; 5/2; 5/2; 5/2; ; 5/2; 5/2; 5/2; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-23 16:22:46 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 11/10; 1; ; 1; 11/10; ; 21/20; 1; ; ; 10/11; ; 21/20; ; ; 21/20; 21/20; 21/20; ; 21/20; 21/20; 6/5; ; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; ; 11/5; 12/5; ; 12/5; 23/10; ; ; 11/5; ; 47/20; ; ; 12/5; 23/10; 11/5; ; 11/5; 23/10; 5/2; ; 11/5; ; ; ; ; 
Guiseley; 12/5; 5/2; ; 12/5; 5/2; ; 13/5; 5/2; ; ; 5/2; ; 49/20; ; ; 5/2; 5/2; 5/2; ; 5/2; 5/2; 5/2; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-23 20:23:24 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 10/11; 1; ; 20/21; 1; 19/20; 1; 10/11; 1; 1; 10/11; ; 19/20; ; ; 19/20; 1; 21/20; ; 21/20; 1; 21/20; ; 21/20; ; ; 1/50; ; 
Draw; 5/2; 12/5; ; 9/4; 5/2; 23/10; 13/5; 12/5; 5/2; 13/5; 11/5; ; 49/20; ; ; 12/5; 40/17; 11/5; ; 11/5; 40/17; 5/2; ; 11/5; ; ; 1/100; ; 
Guiseley; 14/5; 5/2; ; 12/5; 13/5; 9/4; 5/2; 13/5; 13/5; 5/2; 5/2; ; 27/10; ; ; 11/4; 13/5; 5/2; ; 5/2; 13/5; 68/23; ; 5/2; ; ; 1/50; ; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-24 00:22:32 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 21/20; 21/20; ; 1; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 10/11; 23/20; 1; ; ; 21/20; 21/20; 21/20; 19/20; 21/20; 21/20; 21/20; ; 21/20; ; ; 1; 20/21; 
Draw; 12/5; 12/5; ; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 11/5; 12/5; 49/20; ; ; 12/5; 40/17; 11/5; 23/10; 11/5; 40/17; 5/2; ; 11/5; ; ; 9/4; 23/10; 
Guiseley; 5/2; 23/10; ; 11/5; 5/2; 9/4; 12/5; 13/5; 5/2; 12/5; 5/2; 23/10; 5/2; ; ; 5/2; 27/11; 5/2; 12/5; 5/2; 27/11; 68/23; ; 5/2; ; ; 9/4; 23/10; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-24 04:22:34 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 21/20; 21/20; ; 1; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 10/11; 23/20; 1; ; ; 21/20; 21/20; 21/20; 19/20; 21/20; 21/20; 21/20; ; 21/20; ; ; 1; 20/21; 
Draw; 12/5; 12/5; ; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 11/5; 12/5; 49/20; ; ; 12/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; ; 11/5; ; ; 9/4; 23/10; 
Guiseley; 5/2; 23/10; ; 11/5; 5/2; 9/4; 12/5; 13/5; 5/2; 12/5; 5/2; 23/10; 5/2; ; ; 5/2; 27/11; 5/2; 12/5; 5/2; 27/11; 68/23; ; 5/2; ; ; 9/4; 23/10; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-24 08:22:58 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 21/20; 21/20; ; 1; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 10/11; 23/20; 1; ; ; 21/20; 21/20; 21/20; 19/20; 21/20; 21/20; 21/20; ; 21/20; ; ; 1; 20/21; 
Draw; 12/5; 12/5; ; 23/10; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 11/5; 12/5; 49/20; ; ; 12/5; 40/17; 9/4; 23/10; 9/4; 40/17; 5/2; ; 9/4; ; ; 12/5; 23/10; 
Guiseley; 5/2; 23/10; ; 11/5; 5/2; 9/4; 12/5; 13/5; 5/2; 12/5; 5/2; 23/10; 5/2; ; ; 5/2; 27/11; 5/2; 12/5; 5/2; 27/11; 68/23; ; 5/2; ; ; 12/5; 23/10; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-24 12:23:24 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 21/20; 21/20; ; 1; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 21/20; 23/20; 1; ; 11/10; 21/20; 21/20; 21/20; 19/20; 21/20; 21/20; 19/17; ; 21/20; ; ; 1; 1; 
Draw; 12/5; 12/5; ; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; ; 12/5; 5/2; 40/17; 9/4; 23/10; 9/4; 40/17; 5/2; ; 9/4; ; ; 12/5; 23/10; 
Guiseley; 5/2; 23/10; ; 21/10; 5/2; 11/5; 12/5; 13/5; 5/2; 12/5; 5/2; 23/10; 5/2; ; 23/10; 12/5; 27/11; 5/2; 12/5; 5/2; 27/11; 49/18; ; 5/2; ; ; 12/5; 23/10; 
META; english/non-league/national-league/guiseley-v-gateshead; 2016-10-24 16:23:23 GMT+3; 2016-10-25 19:45; e70300-dr003
Gateshead; 21/20; 21/20; 1; 1; 21/20; 19/20; 21/20; 10/11; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 1; 1; 21/20; 19/20; 21/20; 1; 19/17; ; 21/20; ; ; 1; 20/21; 
Draw; 12/5; 12/5; 12/5; 12/5; 5/2; 9/4; 13/5; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 23/10; 12/5; 5/2; 27/11; 9/4; 23/10; 9/4; 27/11; 5/2; ; 9/4; ; ; 12/5; 23/10; 
