META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-02 12:20:38 GMT+3; ; e70300-dr003
Chris Wood; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; ; ; ; 2/5; 2/5; ; 4/11; ; ; 4/11; ; 2/5; ; 2/5; 2/5; ; ; ; 
Dwight Gayle; 7/4; 7/4; ; 7/4; 7/4; ; 7/4; 7/4; 15/8; 7/4; ; ; ; 7/4; 7/4; ; 9/5; ; ; 9/5; ; 8/5; ; 7/4; 7/4; ; ; ; 
Tammy Abraham; 25; 40; ; 33; 40; ; 40; 40; 25; 25; ; ; ; 40; 20; ; 53/2; ; ; 28; ; 33; ; 28; 20; ; ; ; 
Glenn Murray; 40; 40; ; 40; 40; ; 50; 50; 40; 40; ; ; ; 50; 40; ; 40; ; ; 40; ; 33; ; 40; 30; ; ; ; 
Jonathan Kodjia; 50; ; ; ; 66; ; ; ; ; 50; ; ; ; ; ; ; 60; ; ; 60; ; ; ; 50; 50; ; ; ; 
Scott Hogan; 66; ; ; 66; 66; ; ; ; ; ; ; ; ; ; 66; ; 60; ; ; 60; ; ; ; ; 66; ; ; ; 
Jay Emmanuel-Thomas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 160; ; ; ; ; ; ; ; ; ; ; ; 
Britt Assombalonga; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; 200; ; ; ; 150; 200; ; ; ; 
Sam Winnall; 200; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; 200; ; ; ; ; 200; ; ; ; 
Thomas Ince; 150; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; 125; ; ; 125; ; ; ; ; ; ; ; ; 
Atdhe Nuhiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 220; ; ; ; ; ; ; ; ; ; ; ; 
Gary Madine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 220; ; ; ; ; ; ; ; ; ; ; ; 
Cameron Jerome; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 225; ; ; 225; ; ; ; ; 200; ; ; ; 
Chris Martin; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 225; ; ; 225; ; ; ; ; 200; ; ; ; 
Fernando Forestieri; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 225; ; ; 225; ; ; ; ; 200; ; ; ; 
Nakhi Wells; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; 200; ; ; ; ; 200; ; ; ; 
Sam Baldock; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 225; ; ; 225; ; ; ; 200; ; ; ; ; 
Yann Kermorgant; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 250; ; ; 250; ; ; ; ; ; ; ; ; 
Simon Cox; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 260; ; ; ; ; ; ; ; ; ; ; ; 
Zach Clough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 260; ; ; ; ; ; ; ; ; ; ; ; 
Anthony Knockaert; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; 300; ; ; ; ; ; ; ; ; 
Danny Graham; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 250; ; ; 250; ; ; ; ; 250; ; ; ; 
Darren Bent; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; 300; ; ; ; 250; 300; ; ; ; 
Elias Kachunga; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 250; ; ; 250; ; ; ; ; ; ; ; ; 
Gareth McCleary; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; 300; ; ; ; ; ; ; ; ; 
Calum Gallagher; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; 500; ; ; ; 100; ; ; ; ; 
Daryl Murphy; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 450; ; ; 450; ; ; ; ; ; ; ; ; 
Garcia Perez Ayoze; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; 500; ; ; ; 150; ; ; ; ; 
Helder Costa; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; 
Matt Derbyshire; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; 
Stewart Downing; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; 
Danny Ward; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; ; ; ; ; ; ; 
Matt Ritchie; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; ; ; ; ; ; ; 
Ross McCormack; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; ; 200; ; ; ; ; 
Tomer Hemed; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; ; ; ; ; ; ; 
Ishmael Miller; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; ; ; ; ; ; ; ; ; ; 
Will Keane; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; ; ; ; ; ; ; ; ; ; 
Aleksandar Mitrovic; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; 1000; ; ; ; ; 
Apostolos Vellios; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; 200; ; ; ; ; 
Gary Hooper; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; 200; ; ; ; ; 
Jacob Murphy; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Lasse Vibe; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Ramallo Jota; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Sone Aluko; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Steven Fletcher; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; 1000; ; ; ; ; 
Steven Naismith; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Tom Bradshaw; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Will Grigg; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; 250; ; ; ; ; 
Nicklas Bendtner; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Tom Cairney; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1500; ; ; 1500; ; ; ; ; ; ; ; ; 
David McGoldrick; 2000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1500; ; ; 1500; ; ; ; ; ; ; ; ; 
Jon Dadi Bodvarsson; 2000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; ; 2000; ; ; ; ; ; ; ; ; 
Nouha Dicko; 2000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1500; ; ; 1500; ; ; ; ; ; ; ; ; 
Aaron Wilbraham; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; 2500; ; ; ; ; ; ; ; ; 
Clayton Donaldson; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; 2500; ; ; ; 200; ; ; ; ; 
Jack Grealish; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; 2500; ; ; ; ; ; ; ; ; 
Jermaine Beckford; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; 2500; ; ; ; ; ; ; ; ; 
Kenneth Zohore; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; 2500; ; ; ; ; ; ; ; ; 
Anthony Stokes; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Brett Pitman; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Conor Washington; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Deniss Rakels; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Freddie Sears; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Frederic Gounongbe; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Gabriel Agbonlahor; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Grant Ward; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Joe Mason; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Johnny Russell; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Joseph Mendes; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Kemar Roofe; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Libor Kozak; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Marcus Antonsson; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Mark Stewart; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Nick Blackman; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Philipp Hofmann; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
Simon Makienok; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; ; ; ; ; ; ; ; ; 
Stevie May; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; 4000; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-02 16:18:34 GMT+3; 2017-04-01 19:45; e70300-dr003
Utrecht; 8/13; 8/13; 8/13; 4/6; 8/13; 4/7; 3/5; 8/13; 4/7; 8/13; 4/7; 8/13; 13/20; 6/10; 8/13; 8/13; 11/18; 3/5; 8/13; 11/18; 31/50; 5/8; 11/17; 8/13; 4/6; ; 4/7; 4/7; 4/7
Draw; 11/4; 14/5; 11/4; 13/5; 3; 11/4; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 3; 27/10; 14/5; 29/10; 37/13; 13/5; 27/10; 37/13; 31/10; 58/19; 27/10; 11/4; 11/4; ; 14/5; 14/5; 3
Willem II; 9/2; 9/2; 9/2; 19/5; 9/2; 17/4; 19/4; 4; 9/2; 9/2; 9/2; 9/2; 17/4; 24/5; 17/4; 9/2; 23/5; 5; 21/5; 23/5; 51/10; 43/10; 43/10; 4; 22/5; ; 22/5; 22/5; 24/5
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-02 20:20:11 GMT+3; 2017-04-08 15:00; e70300-dr003
Forest Green; 8/11; 8/13; ; ; ; ; 7/10; ; 8/11; ; 7/10; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; 14/5; ; 14/5; ; 13/5; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 7/2; 18/5; ; ; ; ; 19/5; ; 7/2; ; 17/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-03 04:17:24 GMT+3; 2017-06-10 19:45; e70300-dr003
Germany; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/500; ; ; 1/100; ; ; 1/200; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; 18; ; ; 50; ; ; ; ; ; ; ; 
San Marino; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; ; 100; ; ; 150; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-forest-green; 2017-04-05 11:29:38 GMT+3; 2017-04-08 15:00; e70300-dr003
Forest Green; 8/11; 8/13; 8/11; ; 8/11; ; 7/10; 4/6; 8/11; ; 7/10; 7/10; 7/10; 4/6; ; 7/10; 9/13; 7/10; 4/6; 9/13; 77/100; ; 7/10; ; 7/10; ; ; ; 
Draw; 14/5; 11/4; 13/5; ; 14/5; ; 14/5; 11/4; 14/5; ; 13/5; 12/5; 11/4; 13/5; ; 14/5; 27/10; 13/5; 27/10; 27/10; 3; ; 27/10; ; 27/10; ; ; ; 
