META; english/non-league/national-league/boreham-wood-v-chester; 2016-08-16 00:22:01 GMT+3; 2016-08-20 15:00; e70300-dr003
Boreham Wood; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chester; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2016-08-16 04:21:55 GMT+3; 2016-08-20 15:00; e70300-dr003
Boreham Wood; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chester; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2016-08-16 08:22:12 GMT+3; 2016-08-20 15:00; e70300-dr003
Boreham Wood; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chester; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2016-08-16 12:23:24 GMT+3; 2016-08-20 15:00; e70300-dr003
Boreham Wood; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chester; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2016-08-16 16:23:53 GMT+3; 2016-08-20 15:00; e70300-dr003
Boreham Wood; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
