META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-12 00:22:51 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-12 04:23:06 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-12 08:23:46 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-12 12:22:54 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-12 16:22:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; 11/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-12 20:24:33 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; ; ; 5/4; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; ; ; 11/5; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 9/4; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-13 00:22:19 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; ; ; 5/4; ; ; ; 6/5; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; ; ; 11/5; ; ; ; 21/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 9/4; ; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-13 04:21:52 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; ; ; 5/4; ; ; ; 6/5; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; ; ; 11/5; ; ; ; 21/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 9/4; ; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-13 08:22:22 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; ; ; 5/4; ; ; ; 6/5; 23/20; ; ; ; 5/4; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; ; ; 9/4; ; ; ; 21/10; 21/10; ; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 28/13; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 9/4; ; ; ; 11/5; 21/10; ; ; ; 9/4; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-13 12:23:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; ; ; 6/5; 23/20; ; ; ; 5/4; 15/13; ; 6/5; 15/13; ; ; 6/5; ; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; 11/5; ; 11/5; ; ; ; 21/10; 21/10; ; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 28/13; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; ; ; 11/5; 21/10; ; ; ; 9/4; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-13 16:27:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; ; ; 6/5; 23/20; ; ; ; 5/4; 15/13; ; 6/5; 15/13; ; ; 6/5; ; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; 11/5; ; 11/5; ; ; ; 21/10; 21/10; ; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 28/13; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; ; ; 11/5; 21/10; ; ; ; 9/4; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-13 20:24:21 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; ; ; 6/5; 23/20; ; ; ; 5/4; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; 11/5; ; 11/5; ; ; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; ; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-14 00:22:24 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; ; ; ; 5/4; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; 9/4; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-14 04:22:23 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; ; ; ; 5/4; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; 9/4; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-14 08:22:22 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; ; ; ; 5/4; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 2; ; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; 9/4; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-14 12:24:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; ; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 11/5; ; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 9/4; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-14 16:23:02 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; ; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 11/5; ; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 9/4; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-14 20:23:44 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; ; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; ; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; 13/10; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 11/5; ; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; 28/13; 57/25; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 9/4; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; 5/2; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-15 00:22:28 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; 6/5; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; ; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; 13/10; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 11/5; 21/10; ; 11/5; ; 9/4; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; 28/13; 57/25; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; 11/5; ; 23/10; ; 23/10; ; 9/4; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; 11/5; 5/2; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-15 04:21:45 GMT+2; 2017-03-18 15:00; e70300-dr003
Barrow; 5/4; 5/4; 6/5; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; ; ; ; 6/5; 6/5; 6/5; 6/5; ; 13/10; ; 6/5; ; 6/5; ; ; ; 
Dagenham & Redbridge; 11/5; 11/5; 21/10; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 28/13; 2; 21/10; ; 57/25; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; 11/5; ; 23/10; ; 23/10; ; 9/4; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 21/10; 11/5; ; 5/2; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/barrow-v-dagenham-redbridge; 2017-03-15 08:21:24 GMT+2; 2017-03-18 15:00; e70300-dr003
