META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-28 00:22:54 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; ; 11/10; ; ; 23/20; ; 6/5; ; ; ; ; 1; 23/20; ; ; ; 15/13; ; ; ; ; ; ; ; ; 4/7; ; 
North Ferriby Utd; ; 21/10; ; ; 21/10; ; 9/4; ; ; ; ; 11/5; 9/5; ; ; ; 11/5; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 11/5; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; 1; ; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-28 04:20:47 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; ; 11/10; ; ; 11/10; ; 23/20; ; ; ; ; 1; 23/20; ; ; ; 11/10; ; ; ; ; ; ; ; ; 4/7; ; 
North Ferriby Utd; ; 21/10; ; ; 11/5; ; 23/10; ; ; ; ; 11/5; 9/5; ; ; ; 11/5; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 11/5; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-28 08:20:57 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; ; 11/10; ; ; 23/20; ; 6/5; ; ; ; ; 1; 23/20; ; ; ; 15/13; ; ; ; ; ; ; ; ; 8/13; ; 
North Ferriby Utd; ; 21/10; ; ; 21/10; ; 9/4; ; ; ; ; 11/5; 9/5; ; ; ; 11/5; ; ; ; ; ; ; ; ; 1; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 11/5; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-28 12:21:15 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; 11/10; 11/10; ; ; 23/20; ; 6/5; ; 6/5; ; ; 1; 23/20; ; ; 11/10; 15/13; ; ; ; 15/13; 6/5; ; ; ; 1/5; ; 
North Ferriby Utd; 21/10; 21/10; ; ; 21/10; ; 11/5; ; 11/5; ; ; 11/5; 9/5; ; ; 12/5; 11/5; ; ; ; 21/10; 5/2; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; 11/5; 23/10; ; ; 23/10; 12/5; ; ; ; 27/11; 5/2; ; ; ; 21/10; ; 
META; english/non-league/national-league/north-ferriby-utd-v-barrow; 2016-08-28 16:21:33 GMT+3; 2016-08-29 15:00; e70300-dr003
Barrow; 1; 11/10; ; 21/20; 21/20; 1; 11/10; 11/10; 21/20; 11/10; 11/10; 1; 21/20; 21/20; ; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 6/5; 11/10; ; ; 21/20; ; 
Draw; 5/2; 23/10; ; 12/5; 12/5; 23/10; 5/2; 23/10; 5/2; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 28/11; ; ; 12/5; ; 
