META; english/non-league/national-league/guiseley-v-sutton-utd; 2017-01-22 16:24:14 GMT+2; 2017-01-28 15:00; e70300-dr003
Sutton Utd; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-sutton-utd; 2017-01-22 20:23:25 GMT+2; 2017-01-28 15:00; e70300-dr003
Sutton Utd; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-sutton-utd; 2017-01-23 00:22:11 GMT+2; 2017-01-28 15:00; e70300-dr003
Sutton Utd; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-sutton-utd; 2017-01-23 04:21:57 GMT+2; 2017-01-28 15:00; e70300-dr003
Sutton Utd; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-sutton-utd; 2017-01-23 08:22:02 GMT+2; 2017-01-28 15:00; e70300-dr003
Sutton Utd; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-sutton-utd; 2017-01-23 12:22:23 GMT+2; 2017-01-28 15:00; e70300-dr003
Sutton Utd; 11/8; ; ; ; 7/5; 6/5; ; ; ; ; ; ; ; ; ; ; 5/4; 6/5; ; 5/4; ; ; ; ; ; ; ; 
Guiseley; 9/5; ; ; ; 9/5; 33/20; ; ; ; ; ; ; ; ; ; ; 17/10; 17/10; ; 17/10; ; ; ; ; ; ; ; 
