META; english/non-league/national-league/braintree-town-v-maidstone; 2017-02-19 00:24:05 GMT+2; 2017-02-25 15:00; e70300-dr003
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-maidstone; 2017-02-19 04:22:45 GMT+2; 2017-02-25 15:00; e70300-dr003
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-maidstone; 2017-02-19 08:24:14 GMT+2; 2017-02-25 15:00; e70300-dr003
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-maidstone; 2017-02-19 12:24:06 GMT+2; 2017-02-25 15:00; e70300-dr003
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-maidstone; 2017-02-19 16:25:14 GMT+2; 2017-02-25 15:00; e70300-dr003
Braintree Town; 11/10; 11/10; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 9/4; 21/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-maidstone; 2017-02-19 20:24:43 GMT+2; 2017-02-25 15:00; e70300-dr003
Braintree Town; 11/10; 11/10; ; ; ; ; 11/10; ; ; ; ; ; 11/10; ; ; ; 1; ; ; 1; ; ; ; ; ; ; ; 
Maidstone; 9/4; 21/10; ; ; ; ; 9/4; ; ; ; ; ; 11/5; ; ; ; 28/13; ; ; 28/13; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; ; ; 13/5; ; ; ; ; ; 51/20; ; ; ; 27/11; ; ; 27/11; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-maidstone; 2017-02-20 00:22:04 GMT+2; 2017-02-25 15:00; e70300-dr003
Braintree Town; 11/10; 11/10; ; ; 11/10; ; 11/10; ; ; ; ; 21/20; 11/10; ; ; 11/10; 1; ; ; 1; ; ; ; ; ; ; ; 
