META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-13 20:24:04 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 13/10; 5/4; 13/10; 13/10; ; 7/5; 11/10; ; ; 13/10; ; 13/10; 5/4; 13/10; 5/4; 7/5; ; ; 11/10; ; 
Lincoln; 15/8; 9/5; 39/20; 9/5; 15/8; 7/4; 19/10; 15/8; 15/8; 9/5; ; 7/4; 15/8; ; ; 2; ; 9/5; 9/5; 9/5; 24/13; 21/10; ; ; 13/8; ; 
Draw; 13/5; 23/10; 47/20; 11/5; 5/2; 5/2; 13/5; 5/2; 5/2; 12/5; ; 12/5; 23/10; ; ; 23/10; ; 12/5; 9/4; 12/5; 5/2; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-15 08:21:20 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 13/10; 5/4; 13/10; 13/10; ; 7/5; 11/10; ; ; 13/10; ; 13/10; 5/4; 13/10; 5/4; 7/5; ; ; 11/10; ; 
Lincoln; 15/8; 9/5; 39/20; 9/5; 15/8; 7/4; 19/10; 15/8; 15/8; 9/5; ; 7/4; 15/8; ; ; 2; ; 9/5; 9/5; 9/5; 24/13; 21/10; ; ; 13/8; ; 
Draw; 13/5; 23/10; 47/20; 11/5; 5/2; 5/2; 13/5; 5/2; 5/2; 12/5; ; 12/5; 23/10; ; ; 23/10; ; 12/5; 9/4; 12/5; 5/2; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-15 12:22:29 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; 7/5; 5/4; 7/5; 13/10; 13/10; 6/5; 29/20; 5/4; 13/10; 13/10; 7/5; 7/5; 13/10; 11/8; ; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 7/5; ; ; 5/4; ; 
Lincoln; 17/10; 9/5; 17/10; 31/20; 9/5; 7/4; 17/10; 15/8; 9/5; 9/5; 7/4; 7/4; 2; 17/10; ; 2; 9/5; 9/5; 9/5; 9/5; 24/13; 21/10; ; ; 7/5; ; 
Draw; 13/5; 23/10; 47/20; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 51/20; ; 23/10; 5/2; 12/5; 9/4; 12/5; 27/11; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-15 16:21:56 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; 13/10; 5/4; 11/8; 11/8; 13/10; 6/5; 7/5; 5/4; 13/10; 23/17; 7/5; 27/20; 13/10; 11/8; 11/8; 7/5; 13/10; 23/17; 5/4; 27/20; 23/17; 7/5; ; ; 11/8; 7/5; 
Lincoln; 9/5; 9/5; 9/5; 17/10; 9/5; 7/4; 9/5; 15/8; 9/5; 17/10; 9/5; 15/8; 2; 7/4; 17/10; 17/10; 15/8; 17/10; 9/5; 17/10; 9/5; 21/10; ; ; 13/8; 7/4; 
Draw; 13/5; 23/10; 47/20; 21/10; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 49/20; 11/5; 5/2; 12/5; 12/5; 9/4; 12/5; 12/5; 5/2; ; ; 21/10; 11/5; 
