META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-26 20:25:32 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-28 04:22:01 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 4/9; 40/85; 4/9; 9/20; ; 9/20; 2/5; 4/9; 10/21; 2/5; 1/2; 21/50; 4/9; 4/9; 4/9; 3/7; 5/11; 2/5; 4/9; 3/7; 9/20; ; 5/11; ; ; 4/9; 2/5; 
Draw; 7/2; 3; 31/10; 3; 7/2; ; 17/5; 10/3; 10/3; 10/3; 10/3; 3; 10/3; 10/3; 7/2; 7/2; 38/11; 33/10; 31/10; 3; 38/11; 18/5; ; 33/10; ; ; 3; 3; 
North Ferriby Utd; 13/2; 5; 11/2; 5; 6; ; 6; 11/2; 11/2; 11/2; 9/2; 9/2; 6; 11/2; 11/2; 11/2; 28/5; 5; 23/4; 5; 28/5; 37/5; ; 5; ; ; 32/5; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-28 08:22:06 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 1/2; 40/85; 4/9; 9/20; ; 9/20; 2/5; 4/9; 10/21; 2/5; 1/2; 21/50; 4/9; 4/9; 4/9; 3/7; 5/11; 2/5; 4/9; 3/7; 9/20; ; 5/11; ; ; 4/9; 2/5; 
Draw; 7/2; 3; 31/10; 3; 7/2; ; 17/5; 10/3; 10/3; 10/3; 10/3; 3; 10/3; 10/3; 7/2; 10/3; 38/11; 33/10; 31/10; 3; 38/11; 18/5; ; 33/10; ; ; 3; 3; 
North Ferriby Utd; 13/2; 5; 11/2; 5; 6; ; 6; 11/2; 11/2; 11/2; 9/2; 9/2; 6; 11/2; 11/2; 11/2; 28/5; 5; 23/4; 5; 28/5; 37/5; ; 5; ; ; 32/5; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-28 12:22:21 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 1/2; 4/9; 4/9; 9/20; 2/5; 9/20; 2/5; 4/9; 10/21; 2/5; 4/9; 21/50; 4/9; 4/9; 4/9; 7/17; 5/11; 2/5; 4/9; 7/17; 9/20; 3/7; 5/11; ; ; 4/9; 2/5; 
Draw; 7/2; 3; 31/10; 3; 7/2; 3; 17/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 7/2; 10/3; 7/2; 33/10; 31/10; 3; 7/2; 18/5; 33/10; 33/10; ; ; 10/3; 3; 
North Ferriby Utd; 13/2; 5; 11/2; 5; 6; 19/4; 6; 11/2; 11/2; 11/2; 9/2; 13/2; 6; 11/2; 11/2; 11/2; 113/19; 5; 23/4; 5; 113/19; 37/5; 49/10; 5; ; ; 32/5; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-28 16:22:13 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 1/2; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 7/19; 5/11; 2/5; 4/9; 7/19; 9/20; 3/7; 5/11; ; ; 4/9; 2/5; 
Draw; 7/2; 3; 16/5; 3; 7/2; 3; 17/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 17/5; 7/2; 10/3; 18/5; 33/10; 31/10; 3; 18/5; 18/5; 33/10; 33/10; ; ; 10/3; 3; 
North Ferriby Utd; 13/2; 5; 6; 6; 6; 19/4; 6; 11/2; 11/2; 6; 6; 13/2; 6; 6; 11/2; 6; 13/2; 5; 23/4; 5; 13/2; 37/5; 49/10; 5; ; ; 32/5; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-28 20:23:21 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 1/2; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 7/19; 5/11; 2/5; 4/9; 7/19; 9/20; 3/7; 5/11; ; ; 4/9; 2/5; 
Draw; 7/2; 3; 16/5; 3; 7/2; 3; 17/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 17/5; 7/2; 10/3; 18/5; 33/10; 31/10; 3; 18/5; 18/5; 33/10; 33/10; ; ; 7/2; 3; 
North Ferriby Utd; 13/2; 5; 11/2; 6; 6; 19/4; 6; 11/2; 11/2; 6; 6; 13/2; 6; 6; 11/2; 6; 13/2; 5; 23/4; 5; 13/2; 37/5; 49/10; 5; ; ; 32/5; 31/5; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-29 00:22:03 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 4/9; 2/5; 7/19; 5/11; 2/5; 4/9; 7/19; 9/20; 3/7; 5/11; ; ; 4/9; 2/5; 
Draw; 7/2; 16/5; 16/5; 3; 7/2; 3; 17/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 17/5; 7/2; 7/2; 18/5; 33/10; 31/10; 3; 18/5; 18/5; 33/10; 33/10; ; ; 10/3; 3; 
