META; english/non-league/national-league/chester-v-lincoln; 2016-10-25 04:23:43 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chester; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-25 08:23:46 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; 23/17; ; ; ; ; ; ; ; ; 1/50; ; 
Chester; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; 9/5; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; 23/10; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-25 12:25:02 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; 23/17; ; 27/20; ; ; ; 23/17; ; ; 1/50; ; 
Chester; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; 9/5; ; 9/5; ; ; ; 9/5; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; 23/10; ; 23/10; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-25 16:24:10 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; 23/17; ; 27/20; ; ; ; 23/17; ; ; 1/50; ; 
Chester; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; 9/5; ; 9/5; ; ; ; 9/5; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; 23/10; ; 23/10; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-25 20:24:24 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; 23/17; ; 27/20; ; ; ; 23/17; ; ; 1/50; ; 
Chester; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; 9/5; ; 9/5; ; ; ; 9/5; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; 23/10; ; 23/10; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-26 00:22:53 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; 13/10; 7/5; ; 27/20; ; ; ; ; 11/8; ; 23/17; ; 27/20; ; ; ; 23/17; ; ; 1/20; ; 
Chester; 19/10; ; ; 9/5; 15/8; ; 19/10; 9/5; 9/5; ; 15/8; ; ; ; ; 15/8; ; 9/5; ; 9/5; ; ; ; 9/5; ; ; 1/20; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; ; ; ; ; 9/4; ; 23/10; ; 23/10; ; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-26 04:22:52 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; 13/10; 7/5; ; 27/20; ; ; ; ; 11/8; 23/17; 23/17; ; 27/20; 23/17; ; ; 23/17; ; ; 1/20; ; 
Chester; 19/10; ; ; 9/5; 15/8; ; 19/10; 9/5; 9/5; ; 15/8; ; ; ; ; 15/8; 9/5; 9/5; ; 9/5; 9/5; ; ; 9/5; ; ; 1/20; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; 23/10; 12/5; ; 11/5; ; ; ; ; 9/4; 23/10; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; 21/10; ; 
