META; english/non-league/national-league/lincoln-v-southport; 2016-08-16 00:22:07 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/lincoln-v-southport; 2016-08-16 04:22:05 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/lincoln-v-southport; 2016-08-16 08:22:24 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/lincoln-v-southport; 2016-08-16 12:23:38 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/lincoln-v-southport; 2016-08-16 16:24:06 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/lincoln-v-southport; 2016-08-16 20:23:38 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/lincoln-v-southport; 2016-08-17 00:22:11 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/non-league/national-league/lincoln-v-southport; 2016-08-17 04:20:38 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/non-league/national-league/lincoln-v-southport; 2016-08-17 08:20:29 GMT+3; 2016-08-20 15:00; e70300-dr003
Lincoln; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Southport; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
