META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-02 20:20:13 GMT+3; 2017-04-01 18:45; e70300-dr003
PSV; 1/3; 1/3; 4/11; 1/3; 4/11; 1/3; 4/11; 3/10; 1/3; 4/11; 4/11; 4/11; 7/20; 7/20; 4/11; 1/3; ; 4/11; 1/3; 4/11; 39/100; 6/17; 1/3; 1/3; 10/29; ; 4/11; 4/11; 2/5
Draw; 15/4; 4; 19/5; 19/5; 4; 19/5; 21/5; 4; 4; 4; 15/4; 15/4; 4; 19/5; 4; 4; ; 4; 21/5; 75/19; 43/10; 75/19; 21/5; 15/4; 17/4; ; 4; 4; 4
Sparta Rotterdam; 17/2; 15/2; 7; 13/2; 8; 6; 7; 7; 13/2; 13/2; 13/2; 7; 15/2; 7; 13/2; 15/2; ; 13/2; 15/2; 27/4; 15/2; 11/2; 15/2; 6; 15/2; ; 7; 7; 38/5
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-03 04:17:27 GMT+3; 2017-06-09 18:45; e70300-dr003
Belgium; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; 3/13; ; ; 3/10; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; 5; ; ; ; ; ; ; ; 
Estonia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/2; ; ; 10; ; ; 11; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-05 11:29:41 GMT+3; 2017-04-08 15:00; e70300-dr003
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; 13/10; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; 13/10; 6/4; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; 7/4; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; 17/10; 181/100; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; 12/5; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 5/2; 5/2; 9/4; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
