META; english/non-league/national-league/tranmere-v-macclesfield; 2016-12-18 04:22:24 GMT+2; 2016-12-26 15:00; e70300-dr003
Tranmere; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-macclesfield; 2016-12-18 12:22:51 GMT+2; 2016-12-26 15:00; e70300-dr003
Tranmere; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-macclesfield; 2016-12-18 16:24:44 GMT+2; 2016-12-26 15:00; e70300-dr003
Tranmere; 8/11; 3/4; ; ; ; ; 8/11; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 5/2; ; ; ; ; 11/4; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 7/2; 10/3; ; ; ; ; 18/5; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-macclesfield; 2016-12-18 20:23:51 GMT+2; 2016-12-26 15:00; e70300-dr003
Tranmere; 8/11; 3/4; ; ; 8/11; ; 8/11; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 5/2; ; ; 11/4; ; 14/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 7/2; 10/3; ; ; 7/2; ; 18/5; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-macclesfield; 2016-12-19 00:22:20 GMT+2; 2016-12-26 15:00; e70300-dr003
Tranmere; 8/11; 3/4; ; ; 8/11; ; 8/11; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 5/2; ; ; 11/4; ; 14/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 7/2; 10/3; ; ; 7/2; ; 18/5; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-macclesfield; 2016-12-19 04:21:56 GMT+2; 2016-12-26 15:00; e70300-dr003
Tranmere; 8/11; 3/4; ; ; 8/11; ; 8/11; ; ; ; 8/11; ; ; ; ; ; ; 13/18; ; 4/6; ; ; ; 13/18; ; ; ; ; 
Draw; 14/5; 5/2; ; ; 14/5; ; 14/5; ; ; ; 5/2; ; ; ; ; ; ; 14/5; ; 14/5; ; ; ; 14/5; ; ; ; ; 
