META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-12 00:23:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-12 04:23:26 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-12 08:24:02 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-12 12:23:11 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-12 16:23:15 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-12 20:24:59 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; ; ; 21/10; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-13 00:22:36 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; ; ; 6/5; ; 6/5; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; ; ; 21/10; ; 11/5; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; ; 9/4; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-13 04:22:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; ; ; 6/5; ; 6/5; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; ; ; 21/10; ; 11/5; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; ; 9/4; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-13 08:22:38 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; ; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; ; ; 21/10; 2; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 28/13; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; 9/4; 9/4; ; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-13 12:24:00 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; ; ; 6/5; 23/20; 6/5; ; ; 6/5; 15/13; ; 6/5; 15/13; ; ; 6/5; ; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; ; ; 21/10; 2; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 28/13; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; 9/4; 9/4; ; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-13 16:27:40 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; ; ; 6/5; 23/20; 6/5; ; ; 6/5; 15/13; ; 6/5; 15/13; ; ; 6/5; ; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; ; ; 21/10; 2; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 28/13; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; 9/4; 9/4; ; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-13 20:24:41 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; ; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; ; ; 21/10; 2; 11/5; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; 9/4; 9/4; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-14 00:22:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; ; 5/4; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 2; 11/5; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 9/4; ; 9/4; 9/4; 9/4; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-14 04:22:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; 11/10; 5/4; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; 21/10; 11/5; ; 21/10; 2; 11/5; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 9/4; ; 9/4; 9/4; 9/4; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-14 08:22:37 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 6/5; ; ; 5/4; ; 5/4; 11/10; 5/4; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 21/10; ; ; 11/5; ; 11/5; 21/10; 11/5; ; 21/10; 2; 11/5; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 9/4; ; 9/4; 9/4; 9/4; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-14 12:24:21 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 5/4; ; ; 5/4; ; 5/4; 11/10; 5/4; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 11/5; ; ; 11/5; ; 11/5; 21/10; 11/5; ; 21/10; 2; 11/5; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 9/4; ; 9/4; 9/4; 9/4; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-14 16:23:19 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 5/4; ; ; 5/4; ; 5/4; 11/10; 5/4; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 11/5; ; ; 11/5; ; 11/5; 21/10; 11/5; ; 21/10; 2; 11/5; ; ; 11/5; 28/13; 2; 21/10; 28/13; ; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 9/4; ; 9/4; 9/4; 9/4; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; ; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-14 20:24:00 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 5/4; ; ; 5/4; ; 5/4; 11/10; 5/4; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; 27/20; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 11/5; ; ; 11/5; ; 11/5; 21/10; 11/5; ; 21/10; 2; 11/5; ; ; 11/5; 28/13; 2; 21/10; 28/13; 113/50; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 9/4; 9/4; ; 9/4; 9/4; 9/4; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; 12/5; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-15 00:22:44 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 5/4; 6/5; ; 5/4; ; 5/4; 11/10; 5/4; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; 27/20; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 11/5; 21/10; ; 11/5; ; 9/4; 21/10; 11/5; ; 21/10; 2; 11/5; ; ; 11/5; 28/13; 2; 21/10; 28/13; 113/50; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; ; 23/10; 9/4; 9/4; ; 9/4; 9/4; 9/4; ; ; 23/10; 11/5; 21/10; 11/5; 11/5; 12/5; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-15 04:22:01 GMT+2; 2017-03-18 15:00; e70300-dr003
Solihull Moors; 5/4; 5/4; 6/5; ; 5/4; ; 5/4; 11/10; 5/4; ; 6/5; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; ; 27/20; ; 6/5; ; 6/5; ; ; ; 
North Ferriby Utd; 11/5; 11/5; 21/10; ; 11/5; ; 9/4; 21/10; 11/5; ; 21/10; 2; 11/5; ; ; 11/5; 21/10; 2; 21/10; ; 113/50; ; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; ; 23/10; 9/4; 9/4; ; 9/4; 9/4; 9/4; ; ; 9/4; 11/5; 21/10; 11/5; ; 12/5; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/north-ferriby-utd-v-solihull-moors; 2017-03-15 08:21:41 GMT+2; 2017-03-18 15:00; e70300-dr003
