META; english/non-league/national-league/barrow-v-aldershot; 2016-07-29 00:19:49 GMT+3; 2016-08-06 15:00; e70300-dr003
Barrow; 10/11; ; ; ; 10/11; ; 9/10; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aldershot; 3; ; ; ; 29/10; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-aldershot; 2016-07-29 04:18:58 GMT+3; 2016-08-06 15:00; e70300-dr003
Barrow; 10/11; ; ; ; 10/11; ; 9/10; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aldershot; 3; ; ; ; 29/10; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-aldershot; 2016-07-29 08:18:51 GMT+3; 2016-08-06 15:00; e70300-dr003
Barrow; 10/11; ; ; ; 10/11; ; 9/10; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aldershot; 3; ; ; ; 29/10; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-aldershot; 2016-07-29 12:19:07 GMT+3; 2016-08-06 15:00; e70300-dr003
Barrow; 10/11; ; ; ; 10/11; 5/6; 9/10; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 5/2; 12/5; 5/2; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aldershot; 3; ; ; ; 14/5; 13/5; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-aldershot; 2016-07-29 16:19:49 GMT+3; 2016-08-06 15:00; e70300-dr003
Barrow; 10/11; ; ; 5/6; 10/11; 5/6; 9/10; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; 
Draw; 5/2; ; ; 23/10; 5/2; 12/5; 5/2; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; 
Aldershot; 3; ; ; 11/4; 14/5; 13/5; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
META; english/non-league/national-league/barrow-v-aldershot; 2016-07-29 20:21:02 GMT+3; 2016-08-06 15:00; e70300-dr003
Barrow; 10/11; ; ; 5/6; 10/11; 5/6; 9/10; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; 
