META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-20 20:26:44 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; ; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; ; ; ; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-21 00:24:19 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; ; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; ; ; ; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-21 04:24:20 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; ; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd; ; ; ; ; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-21 08:24:28 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; ; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; ; 6/11; ; 8/15; ; ; ; 6/11; ; ; ; ; 
Draw; ; ; ; ; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; ; 3; ; 3; ; ; ; 3; ; ; ; ; 
North Ferriby Utd; ; ; ; ; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; ; 21/5; ; 21/5; ; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-21 12:25:03 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; 8/15; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; ; 6/11; ; 8/15; ; ; ; 6/11; ; ; ; ; 
Draw; ; ; ; 13/5; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; ; 3; ; 3; ; ; ; 3; ; ; ; ; 
North Ferriby Utd; ; ; ; 9/2; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; ; 21/5; ; 21/5; ; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-21 16:25:34 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; 8/15; ; ; 4/7; ; 8/15; ; 4/7; ; ; ; ; ; 10/17; 6/11; ; 8/15; 10/17; ; ; 6/11; ; ; ; ; 
Draw; ; ; ; 13/5; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; 14/5; 3; ; 3; 14/5; ; ; 3; ; ; ; ; 
North Ferriby Utd; ; ; ; 9/2; ; ; 9/2; ; 9/2; ; 19/4; ; ; ; ; ; 39/10; 21/5; ; 21/5; 39/10; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-21 20:29:31 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; 8/15; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; 8/15; 6/11; ; 8/15; 8/15; ; ; 6/11; ; ; ; ; 
Draw; ; ; ; 13/5; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; 56/19; 3; ; 3; 56/19; ; ; 3; ; ; ; ; 
North Ferriby Utd; ; ; ; 9/2; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; 43/10; 21/5; ; 21/5; 43/10; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-22 00:24:18 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; 8/15; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; 8/15; 6/11; ; 8/15; 8/15; ; ; 6/11; ; ; ; ; 
Draw; ; ; ; 13/5; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; 56/19; 3; ; 3; 56/19; ; ; 3; ; ; ; ; 
North Ferriby Utd; ; ; ; 9/2; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; 43/10; 21/5; ; 21/5; 43/10; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-22 04:24:12 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; 8/15; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; 8/15; 6/11; ; 8/15; 8/15; ; ; 6/11; ; ; ; ; 
Draw; ; ; ; 13/5; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; 56/19; 3; ; 3; 56/19; ; ; 3; ; ; ; ; 
North Ferriby Utd; ; ; ; 9/2; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; 43/10; 21/5; ; 21/5; 43/10; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-22 08:24:00 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; 8/15; ; ; 11/20; ; 8/15; ; 4/7; ; ; ; ; ; 8/15; 6/11; ; 8/15; 8/15; ; ; 6/11; ; ; ; ; 
Draw; ; ; ; 13/5; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; 56/19; 3; ; 3; 56/19; ; ; 3; ; ; ; ; 
North Ferriby Utd; ; ; ; 9/2; ; ; 19/4; ; 9/2; ; 19/4; ; ; ; ; ; 43/10; 21/5; ; 21/5; 43/10; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-22 12:24:07 GMT+2; 2017-01-01 15:00; e70300-dr003
York; ; ; ; 8/15; ; ; 4/7; ; 8/15; ; 4/7; ; ; ; ; ; 10/17; 6/11; ; 8/15; 10/17; ; ; 6/11; ; ; ; ; 
Draw; ; ; ; 13/5; ; ; 31/10; ; 3; ; 11/4; ; ; ; ; ; 14/5; 3; ; 3; 14/5; ; ; 3; ; ; ; ; 
North Ferriby Utd; ; ; ; 9/2; ; ; 9/2; ; 9/2; ; 19/4; ; ; ; ; ; 39/10; 21/5; ; 21/5; 39/10; ; ; 21/5; ; ; ; ; 
META; english/non-league/national-league/york-v-north-ferriby-utd; 2016-12-22 16:24:38 GMT+2; 2017-01-01 15:00; e70300-dr003
